axis,offset_m,predicted_clearance_m,predicted_tau_s,predicted_nearest_link,current_clearance_m,reference_clearance_m,candidate_clearance_m,clearance_improvement_m,fast_ms,accepted_steps,max_delta_q_rad,local_repair_ready,formal_scene_feasible,rejection_reasons
z,0.1,0.11095548624449522,0.5,left_link,0.133995592619298,0.07912787239999652,0.08817255458062101,0.009044682180624486,54.257170006167144,1,0.019500000000000073,False,False,online_clearance_failed;verification_checks_failed:distance_ok
z,0.10250000000000001,0.1105877070015586,0.5,left_link,0.13311899164602092,0.07856226015351186,0.08457927876086385,0.006017018607351987,53.91174400574528,1,0.025500000000000078,False,False,online_clearance_failed;verification_checks_failed:distance_ok
z,0.10500000000000001,0.11023720652933597,0.5,left_link,0.13225902645949622,0.07801484793136587,0.07906230937038655,0.0010474614390206805,53.401318000396714,1,0.019500000000000073,False,False,online_clearance_failed;verification_checks_failed:distance_ok;insufficient_clearance_improvement
z,0.10750000000000001,0.109904036215168,0.5,left_link,0.13141582764243032,0.0774857276117995,0.09459100253741787,0.017105274925618363,47.940646996721625,1,0.02879247313470301,True,True,
z,0.11000000000000001,0.10958824509466528,0.5,left_link,0.1305895245618801,0.07697498859160129,0.0942496483919778,0.017274659800376513,51.381258002948016,1,0.029741880092495454,True,True,
z,0.11250000000000002,0.10928987981649876,0.5,left_link,0.1297802452870036,0.07648271771532111,0.09387939084014718,0.017396673124826068,54.049786005634815,1,0.030000000000000027,True,True,
z,0.11500000000000002,0.10840410048801744,0.5,wrist1_Link,0.12898811650604913,0.0760089992057365,0.09361881555587614,0.01760981635013964,54.517134005436674,1,0.030000000000000027,True,True,
z,0.11750000000000002,0.1074121371495079,0.5,wrist1_Link,0.12821326344267792,0.0755539145956905,0.09485218888967217,0.019298274293981676,54.59944097674452,1,0.030000000000000027,True,True,
z,0.12000000000000002,0.10643727976593512,0.5,wrist1_Link,0.12745580977172066,0.07511754266142412,0.09539192230296753,0.02027437964154341,54.260108998278156,1,0.030000000000000027,True,True,
z,0.12250000000000003,0.1054796913481246,0.5,wrist1_Link,0.12671587753447283,0.07469995935752166,0.09570267755892534,0.021002718201403675,54.24301902530715,1,0.030000000000000027,True,True,
z,0.12500000000000003,0.10453953404188301,0.5,wrist1_Link,0.1259935870536371,0.07430123775358949,0.09570660026020064,0.021405362506611153,54.17949700495228,1,0.030000000000000027,True,True,
z,0.12750000000000003,0.10361696902219572,0.5,wrist1_Link,0.1252890568480271,0.0739214479727846,0.09513194596740959,0.02121049799462499,53.992506000213325,1,0.030062543928147778,True,True,
z,0.13000000000000003,0.10271215638541989,0.5,wrist1_Link,0.1246024035471483,0.07356065713230941,0.09448284696989317,0.02092218983758376,54.98347000684589,1,0.03146623008752003,True,True,
z,0.13250000000000003,0.1018252550395791,0.5,wrist1_Link,0.12393374180577771,0.07321892928598517,0.09310125816492193,0.01988232887893676,54.135938989929855,1,0.032315365488695846,True,True,
z,0.13500000000000004,0.10095642259287443,0.5,wrist1_Link,0.12328318421866602,0.07289632536901641,0.09039650342428085,0.017500178055264437,52.98029299592599,1,0.02759920768860502,True,True,
z,0.13750000000000004,0.10010581524053594,0.5,wrist1_Link,0.1226508412354902,0.07259290314505201,0.09010026185834258,0.017507358713290566,54.11148301209323,1,0.0274793614889427,True,True,
z,0.14000000000000004,0.09927358765014774,0.5,wrist1_Link,0.12203682107618713,0.07230871715564918,0.0889541545002347,0.016645437344585512,53.826121002202854,1,0.02741689506391165,False,False,online_clearance_failed;verification_checks_failed:distance_ok
z,0.14250000000000004,0.09845989284558745,0.5,wrist1_Link,0.12144122964680099,0.07204381867224013,0.0902390501864348,0.018195231514194665,54.82983202091418,1,0.031551715227418065,True,True,
z,0.14500000000000005,0.09766488208973165,0.5,wrist1_Link,0.12086417045598041,0.0717982556506982,0.08901749835412764,0.01721924270342945,54.26187798730098,1,0.03145634253149421,False,False,online_clearance_failed;verification_checks_failed:distance_ok
z,0.14750000000000005,0.0968887047660841,0.5,wrist1_Link,0.12030574453226384,0.07090825237106857,0.08784345002648003,0.01693519765541146,56.52097400161438,1,0.031409956468219535,False,False,online_clearance_failed;verification_checks_failed:distance_ok
z,0.15000000000000005,0.0961315082594962,0.5,wrist1_Link,0.11976605034229099,0.06989368546146951,0.08665699260745252,0.01676330714598301,53.36859301314689,1,0.031331478015535597,False,False,online_clearance_failed;verification_checks_failed:distance_ok
