frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.188279,0,1,0,187,0.607101,-0.589477,0.343679,0.102550,0.122619,0.194276,0.149511,
2,0.327029,0,1,0,203,0.603756,-0.571586,0.342507,0.107380,0.154454,0.187862,0.139466,0.115983
3,0.459458,0,1,0,197,0.606004,-0.569188,0.339613,0.106106,0.175172,0.195872,0.144543,0.032932
4,0.590007,0,1,0,197,0.606720,-0.552492,0.334048,0.104122,0.154083,0.183507,0.155308,0.133891
5,0.721418,0,1,0,197,0.605007,-0.545513,0.342534,0.106491,0.149158,0.200951,0.145084,0.085347
6,0.855159,0,1,0,189,0.605463,-0.533628,0.337710,0.106185,0.136147,0.206937,0.145770,0.096653
7,0.987533,0,1,0,186,0.606542,-0.524635,0.334562,0.103461,0.133196,0.202387,0.152176,0.071505
8,1.126531,0,1,0,178,0.605306,-0.518310,0.339151,0.106480,0.131662,0.196272,0.162714,0.059602
9,1.253261,0,1,0,174,0.598247,-0.503116,0.338301,0.103674,0.128616,0.201260,0.144480,0.127709
10,1.374052,0,1,0,212,0.597571,-0.503675,0.333784,0.114311,0.150026,0.230979,0.175686,0.037961
11,1.508307,0,1,0,211,0.603146,-0.488103,0.341660,0.105261,0.143100,0.187815,0.165614,0.137404
12,1.643066,0,1,1,172,0.605447,-0.478445,0.345632,0.096690,0.134774,0.184817,0.140866,0.079431
13,1.780998,0,1,0,187,0.604776,-0.474056,0.334987,0.104588,0.125575,0.192847,0.153552,0.084924
14,1.917142,0,1,0,195,0.600952,-0.454506,0.336393,0.102551,0.133609,0.195233,0.143925,0.145832
15,2.055425,0,1,0,179,0.601309,-0.444192,0.335760,0.101833,0.132313,0.195264,0.151102,0.075218
16,2.187970,0,1,0,184,0.600682,-0.437742,0.336821,0.100303,0.139540,0.187184,0.146393,0.048294
17,2.327176,0,1,0,162,0.606570,-0.438206,0.339426,0.103802,0.134401,0.187079,0.150869,0.047835
18,2.463068,0,1,0,181,0.594816,-0.423849,0.331152,0.114748,0.157513,0.208906,0.149780,0.147523
19,2.598327,0,1,1,161,0.600451,-0.405213,0.344155,0.099986,0.112455,0.179892,0.140024,0.170575
20,2.725458,0,1,0,149,0.606524,-0.398856,0.339463,0.100697,0.117622,0.179049,0.151763,0.078452
21,2.868910,0,1,0,197,0.596254,-0.382816,0.336589,0.114706,0.190899,0.215985,0.157465,0.139180
22,3.003094,0,1,1,157,0.606191,-0.362045,0.343620,0.099686,0.110238,0.174470,0.149068,0.171971
23,3.137621,0,1,1,159,0.603914,-0.350301,0.338949,0.097519,0.116889,0.181818,0.141142,0.095892
24,3.278796,0,1,1,174,0.606669,-0.337234,0.342113,0.098917,0.120743,0.182957,0.160455,0.099209
25,3.411906,0,1,0,180,0.602095,-0.328483,0.336636,0.103831,0.136362,0.189078,0.151168,0.082116
26,3.546948,0,1,0,155,0.613289,-0.317226,0.332444,0.101236,0.103433,0.180713,0.143585,0.121979
27,3.688706,0,1,0,165,0.603224,-0.285482,0.341608,0.100713,0.116847,0.177835,0.155597,0.251318
28,3.822477,0,1,1,158,0.609151,-0.277482,0.342062,0.094636,0.133406,0.173518,0.150378,0.072459
29,3.956086,0,1,0,202,0.599673,-0.254842,0.333650,0.109658,0.136770,0.196402,0.158352,0.193865
30,4.090880,0,1,0,166,0.605988,-0.239132,0.339683,0.101208,0.129523,0.185340,0.149904,0.134704
31,4.224380,0,1,1,172,0.603504,-0.218718,0.337554,0.099495,0.131468,0.179784,0.143972,0.153091
32,4.356358,0,1,0,156,0.605578,-0.198299,0.341006,0.101945,0.123847,0.181290,0.161653,0.155488
33,4.497945,0,1,1,151,0.606257,-0.178782,0.342370,0.098792,0.109478,0.171081,0.164025,0.142412
34,4.630937,0,1,1,156,0.608763,-0.163108,0.337921,0.095686,0.122836,0.166015,0.148036,0.121753
35,4.767428,0,1,1,151,0.602648,-0.149134,0.341804,0.096575,0.117082,0.176850,0.145349,0.115481
36,4.907756,0,1,1,138,0.603248,-0.144479,0.335809,0.093273,0.112240,0.168853,0.142730,0.056318
37,5.045122,0,1,0,152,0.601088,-0.133744,0.340497,0.100814,0.134065,0.172220,0.139103,0.085630
