frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
19,2.591188,0,1,0,83,0.662572,-0.593397,0.325970,0.124016,0.202255,0.056380,0.213490,
29,3.947169,0,1,0,104,0.647751,-0.595048,0.309127,0.145754,0.266373,0.119344,0.221741,
56,7.523965,0,1,0,109,0.688812,-0.552374,0.349752,0.117145,0.201714,0.079807,0.214279,
62,8.323827,0,1,0,124,0.691369,-0.531959,0.363797,0.115221,0.179018,0.076552,0.218143,
69,9.270922,0,1,0,153,0.704675,-0.513636,0.372196,0.120207,0.158823,0.152710,0.217426,
70,9.423512,0,1,0,169,0.704205,-0.519701,0.368154,0.123426,0.149633,0.165508,0.212797,0.048032
71,9.575389,0,1,0,170,0.708878,-0.507652,0.362513,0.126097,0.192317,0.153824,0.217385,0.092486
72,9.733170,0,1,0,202,0.701754,-0.500086,0.388252,0.118826,0.142953,0.151947,0.202221,0.175750
73,9.906151,0,1,0,195,0.706295,-0.502639,0.378569,0.125797,0.156481,0.190880,0.212217,0.063520
74,10.061282,0,1,0,218,0.703374,-0.498538,0.385991,0.124604,0.146030,0.190053,0.207146,0.058053
75,10.216647,0,1,0,204,0.703771,-0.497579,0.377386,0.128781,0.132572,0.223733,0.205255,0.055002
76,10.377252,0,1,0,225,0.703039,-0.486441,0.384696,0.123328,0.171779,0.198781,0.202137,0.086396
77,10.527892,0,1,0,231,0.699893,-0.483420,0.389497,0.128667,0.164350,0.188336,0.203750,0.040973
78,10.683414,0,1,0,238,0.708418,-0.477651,0.381910,0.124353,0.133565,0.209331,0.200578,0.082052
79,10.850344,0,1,0,233,0.710384,-0.468749,0.379206,0.125829,0.139781,0.212554,0.207172,0.057937
80,11.025203,0,1,0,250,0.704496,-0.462922,0.375420,0.132716,0.154426,0.236869,0.209847,0.052127
81,11.183821,0,1,0,229,0.704506,-0.456693,0.382103,0.123721,0.146511,0.221922,0.199919,0.056895
82,11.350294,0,1,0,250,0.705655,-0.447285,0.382775,0.125889,0.143770,0.198284,0.206843,0.057659
83,11.513214,0,1,0,271,0.697410,-0.448431,0.391009,0.127520,0.156426,0.216086,0.199461,0.071761
84,11.670585,0,1,0,228,0.704192,-0.434650,0.379673,0.124398,0.154454,0.206649,0.198348,0.122109
85,11.828805,0,1,0,283,0.699396,-0.442327,0.375603,0.140292,0.192224,0.266370,0.217259,0.061945
86,11.989253,0,1,0,255,0.700858,-0.429200,0.386914,0.131247,0.159397,0.214069,0.199946,0.109843
87,12.152054,0,1,0,240,0.701348,-0.410740,0.390929,0.122853,0.156859,0.188879,0.204241,0.115580
88,12.315845,0,1,0,243,0.701199,-0.409685,0.374608,0.130931,0.158636,0.217389,0.215033,0.099986
89,12.470916,0,1,0,247,0.701291,-0.392533,0.382095,0.127956,0.147331,0.216147,0.211448,0.119462
90,12.635791,0,1,0,217,0.703940,-0.391244,0.385786,0.126395,0.157189,0.205427,0.199580,0.029359
91,12.796004,0,1,0,226,0.700420,-0.391403,0.390424,0.124251,0.158766,0.191177,0.191275,0.036268
92,12.966208,0,1,0,242,0.705477,-0.384222,0.381085,0.121568,0.134506,0.189001,0.206747,0.074176
93,13.123401,0,1,0,239,0.700296,-0.364181,0.378851,0.125633,0.153725,0.201833,0.210433,0.131788
94,13.281989,0,1,0,238,0.701914,-0.347666,0.381785,0.124068,0.145013,0.199913,0.204522,0.105608
95,13.449538,0,1,0,232,0.699907,-0.352201,0.386611,0.124926,0.168434,0.198748,0.192195,0.041679
96,13.606413,0,1,0,244,0.697735,-0.339080,0.381545,0.129371,0.143039,0.222656,0.216428,0.089477
97,13.770303,0,1,0,238,0.702487,-0.329700,0.382160,0.123941,0.146027,0.201832,0.203108,0.064594
98,13.930677,0,1,0,232,0.704153,-0.323568,0.378719,0.124718,0.127941,0.196633,0.205007,0.046160
99,14.105295,0,1,0,197,0.703845,-0.308117,0.375863,0.125946,0.123503,0.218670,0.214354,0.090539
100,14.254265,0,1,0,242,0.697043,-0.286116,0.381247,0.128798,0.157261,0.192371,0.204877,0.152950
101,14.430858,0,1,0,233,0.699806,-0.281055,0.378214,0.124058,0.127534,0.205236,0.213358,0.039178
102,14.578106,0,1,0,245,0.695328,-0.270350,0.378843,0.131604,0.146868,0.218529,0.205468,0.074278
103,14.735904,0,1,0,233,0.695840,-0.269806,0.371529,0.130184,0.154471,0.211966,0.208223,0.047137
104,14.893585,0,1,0,244,0.694374,-0.268726,0.379422,0.127678,0.143397,0.208407,0.208056,0.050742
105,15.047093,0,1,0,249,0.690223,-0.267534,0.385958,0.129045,0.154666,0.203292,0.205040,0.050933
106,15.202181,0,1,0,223,0.694778,-0.254729,0.387638,0.123609,0.142051,0.189783,0.198752,0.089418
107,15.375285,0,1,0,231,0.695621,-0.253183,0.384944,0.125959,0.145059,0.192071,0.198563,0.018738
108,15.533298,0,1,0,213,0.696145,-0.244625,0.381170,0.127039,0.151767,0.210978,0.208647,0.058109
109,15.696542,0,1,0,199,0.701478,-0.230885,0.377042,0.123705,0.130082,0.195850,0.218001,0.094586
110,15.854692,0,1,0,228,0.692502,-0.215327,0.381803,0.129626,0.152906,0.204949,0.213957,0.115649
111,16.012684,0,1,0,207,0.696249,-0.201615,0.385621,0.121448,0.145117,0.177946,0.196970,0.094935
112,16.180890,0,1,0,212,0.694123,-0.190874,0.387829,0.122231,0.154708,0.189500,0.198720,0.065899
