frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.103392,1786675502.816707,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,104.2781,0.00000000,0.00000000,1.57079637,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.214606,1786675502.921020,3420,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,161.7663,0.00000000,0.00000000,1.57080007,-0.00001100,1.57079637,0.00000000,0.00000000,0.00000000,0.00003323,-0.00009895,0.00000000,0.00000000
2,0.351742,1786675503.082800,3330,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,138.6319,0.00000000,-0.00173131,1.56931436,-0.00124713,1.57079637,0.00000000,0.00000000,-0.01262475,-0.01083380,-0.00901386,0.00000000,0.00000000
3,0.483994,1786675503.221447,3112,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.6602,0.00000000,-0.00941216,1.56134379,-0.00401649,1.57079637,0.00000000,0.00000000,-0.05807748,-0.06026816,-0.02094007,0.00000000,0.00000000
4,0.621378,1786675503.351122,3035,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.5144,0.00000000,-0.02472618,1.54605913,-0.00647774,1.57079637,0.00000000,0.00000000,-0.11146873,-0.11125502,-0.01791509,0.00000000,0.00000000
5,0.747931,1786675503.484662,3085,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590999,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.6245,-0.00000367,-0.04633453,1.52386761,-0.00891331,1.57079637,0.00000000,-0.00002898,-0.17074465,-0.17535273,-0.01924536,0.00000000,0.00000000
6,0.875710,1786675503.613301,3031,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.8066,0.00000000,-0.07095066,1.49595749,-0.01126085,1.57079637,0.00000000,0.00002871,-0.19264600,-0.21842471,-0.01837185,0.00000000,0.00000000
7,1.005026,1786675503.744132,3202,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,125.1975,0.00000000,-0.09729444,1.46199906,-0.01361939,1.57079637,0.00000000,0.00000000,-0.20371721,-0.26260159,-0.01823868,0.00000000,0.00000000
8,1.134042,1786675503.869354,3113,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,119.6158,0.00000000,-0.12375927,1.42684460,-0.01604762,1.57079637,0.00000000,0.00000000,-0.20512843,-0.27248164,-0.01882121,0.00000000,0.00000000
9,1.253471,1786675503.988985,3001,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.2141,0.00000000,-0.14805262,1.39656126,-0.01827412,1.57079637,0.00000000,0.00000000,-0.20341114,-0.25356600,-0.01864269,0.00000000,0.00000000
