frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
19,2.591188,1,1,0.668646,-0.587527,0.327461,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.124016,0.151592,0.206592,0.124016,0.008578,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
29,3.947169,2,1,0.619992,-0.587544,0.293258,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.145754,0.167508,0.222508,0.145754,0.032843,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
56,7.523965,1,1,0.661172,-0.566384,0.354125,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.117145,0.155218,0.210218,0.117145,0.031294,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
62,8.323827,2,1,0.652086,-0.543243,0.363714,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.115221,0.139263,0.194263,0.115221,0.040872,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
69,9.270922,3,1,0.663480,-0.520576,0.360920,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.120207,0.137747,0.192747,0.120207,0.043272,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
70,9.423512,3,2,0.681248,-0.517876,0.362840,0.010698,0.118867,0.118867,0.048032,0.116853,0.017755,0.012629,0.123426,0.152573,0.207573,0.123426,0.023635,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
71,9.575389,3,3,0.679011,-0.503282,0.355707,0.017426,0.078226,0.078226,0.092486,0.051004,0.056788,-0.017116,0.126097,0.150179,0.205179,0.126097,0.030943,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
72,9.733170,3,4,0.702887,-0.505317,0.378870,0.031345,0.099278,0.099278,0.175750,0.085211,0.032995,0.038814,0.118826,0.144029,0.199029,0.118826,0.010801,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
73,9.906151,3,5,0.690005,-0.523762,0.369637,0.000000,0.044215,0.044215,0.063520,0.041734,-0.005013,0.013716,0.125797,0.145683,0.200683,0.125797,0.028130,0,0,0,0,"speed_ok,valid_streak_not_ready"
74,10.061282,3,6,0.692706,-0.517139,0.369821,0.000000,0.021061,0.021061,0.058053,0.017959,0.001155,0.010942,0.124604,0.149108,0.204108,0.124604,0.026856,0,0,0,0,"speed_ok,valid_streak_not_ready"
