t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.60101742,-0.19713818,1.34850276,-0.02509665,1.57084036,0.60101008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.60101447,-0.19713291,1.34850230,-0.02509364,1.57084990,0.60100979,-0.00086989,0.00155361,-0.00013498,0.00088750,0.00281543,-0.00008641,-0.16839199,0.30035420,-0.02597335,0.17162583,0.54451025,-0.01671757
0.020000,0.60099495,-0.19709811,1.34849929,-0.02507375,1.57091299,0.60100785,-0.00325995,0.00580705,-0.00049979,0.00331916,0.01053173,-0.00032346,-0.30441723,0.54069861,-0.04604497,0.30924550,0.98147728,-0.03016890
0.030000,0.60094525,-0.19700970,1.34849172,-0.02502320,1.57107341,0.60100293,-0.00685804,0.01218222,-0.00103778,0.00696731,0.02211254,-0.00067968,-0.41038190,0.72543294,-0.06068613,0.41533542,1.31871433,-0.04058932
0.040000,0.60085473,-0.19684918,1.34847813,-0.02493136,1.57136492,0.60099396,-0.01137507,0.02014501,-0.00169699,0.01152903,0.03659962,-0.00112593,-0.48859219,0.85895688,-0.07036811,0.49237203,1.56403461,-0.04821414
0.050000,0.60071557,-0.19660315,1.34845754,-0.02479051,1.57181214,0.60098020,-0.01654505,0.02920532,-0.00243018,0.01672616,0.05311289,-0.00163543,-0.54135428,0.94567016,-0.07556219,0.54283173,1.72525137,-0.05327870
0.060000,0.60052247,-0.19626290,1.34842942,-0.02459557,1.57243125,0.60096112,-0.02212502,0.03891704,-0.00319484,0.02230533,0.07085035,-0.00218376,-0.57097435,0.98997246,-0.07673964,0.56919096,1.81017784,-0.05601831
0.070000,0.60027244,-0.19582398,1.34839366,-0.02434389,1.57323081,0.60093647,-0.02789509,0.04887806,-0.00395316,0.02803790,0.08908819,-0.00274883,-0.57975858,0.99626350,-0.07437176,0.57392614,1.82662725,-0.05666830
0.080000,0.59996459,-0.19528571,1.34835049,-0.02403498,1.57421252,0.60090616,-0.03365843,0.05873027,-0.00467203,0.03372002,0.10718068,-0.00331094,-0.57001316,0.96894299,-0.06892980,0.55951370,1.78241283,-0.05546399
0.090000,0.59959987,-0.19465079,1.34830045,-0.02367026,1.57537204,0.60087031,-0.03924127,0.06815955,-0.00532308,0.03917260,0.12456027,-0.00385272,-0.54404426,0.91241062,-0.06088505,0.52843005,1.68534781,-0.05264069
0.100000,0.59918087,-0.19392483,1.34824434,-0.02325281,1.57669971,0.60082922,-0.04449292,0.07689578,-0.00588263,0.04424131,0.14073752,-0.00435914,-0.50415808,0.83106611,-0.05070879,0.48315162,1.54324543,-0.04843374
0.110000,0.59871155,-0.19311594,1.34818317,-0.02278715,1.57818140,0.60078329,-0.04928573,0.08471283,-0.00633172,0.04879657,0.15530110,-0.00481756,-0.45266079,0.72930917,-0.03887230,0.42615484,1.36391892,-0.04307846
0.120000,0.59819704,-0.19223425,1.34811812,-0.02227895,1.57979924,0.60073306,-0.05351512,0.09142859,-0.00665611,0.05273360,0.16791786,-0.00521767,-0.39185858,0.61153949,-0.02584686,0.35991612,1.15518152,-0.03681017
0.130000,0.59764340,-0.19129151,1.34805049,-0.02173481,1.58153241,0.60067916,-0.05709957,0.09690491,-0.00684626,0.05597235,0.17833274,-0.00555151,-0.32405763,0.48215679,-0.01210374,0.28691190,0.92484644,-0.02986418
0.140000,0.59705739,-0.19030061,1.34798166,-0.02116201,1.58335795,0.60062227,-0.05998063,0.10104768,-0.00689736,0.05845754,0.18636884,-0.00581348,-0.25156413,0.34556077,0.00188578,0.20961858,0.68072694,-0.02247583
0.150000,0.59644625,-0.18927517,1.34791301,-0.02056827,1.58525152,0.60056314,-0.06212290,0.10380675,-0.00680930,0.06015868,0.19192737,-0.00600033,-0.17668424,0.20615113,0.01565043,0.13051261,0.43063623,-0.01488044
0.160000,0.59581744,-0.18822911,1.34784592,-0.01996148,1.58718817,0.60050252,-0.06351405,0.10517599,-0.00658667,0.06107001,0.19498770,-0.00611118,-0.10172417,0.06832759,0.02871891,0.05207040,0.18238755,-0.00731332
0.170000,0.59517844,-0.18717616,1.34778169,-0.01934944,1.58914313,0.60044117,-0.06416480,0.10519325,-0.00623881,0.06121055,0.19560731,-0.00614748,-0.02899009,-0.06351015,0.04061996,-0.02323163,-0.05620586,-0.00000980
0.180000,0.59453650,-0.18612948,1.34772151,-0.01873969,1.59109262,0.60037981,-0.06410896,0.10394040,-0.00577974,0.06062409,0.19392181,-0.00611304,0.03921182,-0.18496239,0.05088230,-0.09291705,-0.27733078,0.00679479
0.190000,0.59389843,-0.18510117,1.34766641,-0.01813916,1.59301459,0.60031912,-0.06340336,0.10154329,-0.00522820,0.05937919,0.19014497,-0.00601403,0.10057538,-0.29162942,0.05903464,-0.15450943,-0.47317396,0.01286514
0.200000,0.59327034,-0.18410187,1.34761718,-0.01755399,1.59488951,0.60025971,-0.06212793,0.09817176,-0.00460765,0.05756914,0.18456865,-0.00585897,0.15279439,-0.37911153,0.06460572,-0.20553236,-0.63592219,0.01796592
0.210000,0.59265743,-0.18314028,1.34757439,-0.01698927,1.59670118,0.60020209,-0.06038430,0.09403706,-0.00394596,0.05531057,0.17755831,-0.00565859,0.19409988,-0.44405331,0.06724466,-0.24409088,-0.75959350,0.02191649
0.220000,0.59206385,-0.18222292,1.34753830,-0.01644886,1.59843720,0.60014665,-0.05828105,0.08936309,-0.00327209,0.05272743,0.16950256,-0.00542435,0.22487164,-0.48727652,0.06708227,-0.27061588,-0.84553103,0.02475498
0.230000,0.59149267,-0.18135412,1.34750890,-0.01593542,1.60008895,0.60009368,-0.05591892,0.08435771,-0.00261281,0.04993499,0.16076288,-0.00516689,0.24602667,-0.51064718,0.06436977,-0.28611972,-0.89690921,0.02657419
0.240000,0.59094603,-0.18053624,1.34748592,-0.01545051,1.60165128,0.60004336,-0.05338951,0.07921010,-0.00199236,0.04703840,0.15166899,-0.00489595,0.25848196,-0.51603136,0.05935837,-0.29161478,-0.91690244,0.02746692
0.250000,0.59042517,-0.17976983,1.34746885,-0.01499468,1.60312215,0.59999578,-0.05077523,0.07409082,-0.00143247,0.04413268,0.14251887,-0.00462033,0.26315451,-0.50529510,0.05229928,-0.28811340,-0.90868514,0.02752599
0.260000,0.58993056,-0.17905382,1.34745700,-0.01456760,1.60450236,0.59995094,-0.04814931,0.06915172,-0.00095236,0.04130275,0.13357874,-0.00434790,0.26096131,-0.48030444,0.04344372,-0.27662795,-0.87543173,0.02684418
0.270000,0.58946200,-0.17838574,1.34744948,-0.01416812,1.60579521,0.59990879,-0.04557583,0.06452602,-0.00056875,0.03862336,0.12508311,-0.00408561,0.25281935,-0.44292542,0.03304291,-0.25817080,-0.82031663,0.02551431
0.280000,0.58901869,-0.17776187,1.34744526,-0.01379442,1.60700618,0.59986918,-0.04310969,0.06032828,-0.00029582,0.03615919,0.11723470,-0.00383946,0.23964564,-0.39502409,0.02134806,-0.23375430,-0.74651425,0.02362919
0.290000,0.58859930,-0.17717743,1.34744316,-0.01344404,1.60814263,0.59983193,-0.04079663,0.05665439,-0.00014526,0.03396477,0.11020453,-0.00361456,0.22235716,-0.33846650,0.00861039,-0.20439081,-0.65719902,0.02128162
0.300000,0.58820212,-0.17662678,1.34744191,-0.01311407,1.60921347,0.59979680,-0.03867321,0.05358159,-0.00012625,0.03208449,0.10413185,-0.00341506,0.20187091,-0.27511868,-0.00491889,-0.17109271,-0.55554533,0.01856439
0.310000,0.58782511,-0.17610360,1.34744017,-0.01280119,1.61022882,0.59976353,-0.03676682,0.05116843,-0.00024544,0.03055265,0.09912417,-0.00324420,0.17910389,-0.20684669,-0.01898855,-0.13487235,-0.44472762,0.01557033
0.320000,0.58746600,-0.17560108,1.34743653,-0.01250178,1.61119976,0.59973181,-0.03509568,0.04945485,-0.00050698,0.02939341,0.09525726,-0.00310427,0.15497309,-0.13551657,-0.03334740,-0.09674209,-0.32792030,0.01239223
0.330000,0.58712238,-0.17511210,1.34742955,-0.01221203,1.61213792,0.59970134,-0.03366884,0.04846208,-0.00091252,0.02862080,0.09257515,-0.00299666,0.13039550,-0.06299437,-0.04774420,-0.05771429,-0.20829779,0.00912289
0.340000,0.58679181,-0.17462942,1.34741780,-0.01192806,1.61305525,0.59967177,-0.03248620,0.04819271,-0.00146116,0.02823874,0.09109011,-0.00292181,0.10628812,0.00885388,-0.06192774,-0.01880133,-0.08903450,0.00585513
0.350000,0.58647187,-0.17414588,1.34739986,-0.01164597,1.61396365,0.59964279,-0.03153846,0.04863069,-0.00214952,0.02824102,0.09078268,-0.00287924,0.08356795,0.07816213,-0.07564681,0.01898445,0.02669515,0.00268174
0.360000,0.58616031,-0.17365456,1.34737436,-0.01136201,1.61487467,0.59961408,-0.03080716,0.04974127,-0.00297171,0.02861130,0.09160165,-0.00286755,0.06315197,0.14306432,-0.08865019,0.05463068,0.13571675,-0.00030446
0.370000,0.58585510,-0.17314899,1.34734001,-0.01107261,1.61579917,0.59958535,-0.03026468,0.05147107,-0.00391930,0.02932313,0.09346407,-0.00288440,0.04595719,0.20169443,-0.10068667,0.08712499,0.23485587,-0.00301068
0.380000,0.58555451,-0.17262332,1.34729560,-0.01077453,1.61674705,0.59955631,-0.02987422,0.05374803,-0.00498138,0.03033992,0.09625525,-0.00292652,0.03290059,0.25218639,-0.11150503,0.11545503,0.32093811,-0.00534411
0.390000,0.58525726,-0.17207251,1.34724004,-0.01046495,1.61772688,0.59952675,-0.02958982,0.05648145,-0.00614451,0.03161497,0.09982873,-0.00298973,0.02489918,0.29267418,-0.12085405,0.13860843,0.39078904,-0.00721194
0.400000,0.58496255,-0.17149253,1.34717242,-0.01014156,1.61874564,0.59949646,-0.02935633,0.05956195,-0.00739273,0.03309146,0.10400634,-0.00306890,0.02286994,0.32129174,-0.12848253,0.15557283,0.44123425,-0.00852137
0.410000,0.58467018,-0.17088053,1.34709197,-0.00980267,1.61980833,0.59946533,-0.02911020,0.06286282,-0.00870773,0.03470313,0.10858039,-0.00315805,0.02743181,0.33670152,-0.13419816,0.16561897,0.46999547,-0.00920636
0.420000,0.58438060,-0.17023497,1.34699811,-0.00944727,1.62091786,0.59943329,-0.02878764,0.06625454,-0.01007046,0.03638212,0.11333833,-0.00325108,0.03801146,0.33968000,-0.13804441,0.16915000,0.47837907,-0.00930797
0.430000,0.58409486,-0.16955553,1.34689046,-0.00907501,1.62207507,0.59940032,-0.02833282,0.06961933,-0.01146273,0.03806670,0.11808739,-0.00334249,0.05373751,0.33153214,-0.14012364,0.16685215,0.46858754,-0.00889401
0.440000,0.58381454,-0.16884302,1.34676881,-0.00868610,1.62327900,0.59936646,-0.02769864,0.07285244,-0.01286738,0.03970202,0.12265683,-0.00342747,0.07373855,0.31356290,-0.14053823,0.15941166,0.44282341,-0.00803230
0.450000,0.58354162,-0.16809923,1.34663313,-0.00828129,1.62452711,0.59933180,-0.02684670,0.07586220,-0.01426829,0.04124008,0.12689796,-0.00350187,0.09714320,0.28707723,-0.13939055,0.14751479,0.40328918,-0.00679066
0.460000,0.58327843,-0.16732679,1.34648351,-0.00786176,1.62581544,0.59929647,-0.02574733,0.07856995,-0.01565033,0.04263975,0.13068406,-0.00356224,0.12308006,0.25338012,-0.13678299,0.13184776,0.35218736,-0.00523691
0.470000,0.58302757,-0.16652906,1.34632023,-0.00742907,1.62713892,0.59926062,-0.02437956,0.08091011,-0.01699942,0.04386676,0.13391049,-0.00360580,0.15067776,0.21377652,-0.13281791,0.11309683,0.29172047,-0.00343887
0.480000,0.58279178,-0.16570999,1.34614368,-0.00698509,1.62849151,0.59922442,-0.02273114,0.08283014,-0.01830250,0.04489369,0.13649459,-0.00363043,0.17906489,0.16957139,-0.12759770,0.09194825,0.22409101,-0.00146435
0.490000,0.58257389,-0.16487399,1.34595437,-0.00653193,1.62986647,0.59918808,-0.02079854,0.08429055,-0.01954753,0.04570002,0.13837577,-0.00363472,0.20737006,0.12206969,-0.12122472,0.06908824,0.15150149,0.00061882
0.500000,0.58237674,-0.16402580,1.34575295,-0.00607188,1.63125655,0.59915179,-0.01858692,0.08526490,-0.02072350,0.04627204,0.13951543,-0.00361792,0.23472189,0.07257640,-0.11380135,0.04520305,0.07615442,0.00274282
0.510000,0.58220304,-0.16317036,1.34554017,-0.00560730,1.63265425,0.59911579,-0.01611018,0.08573979,-0.02182040,0.04660295,0.13989701,-0.00357995,0.26024898,0.02239648,-0.10542997,0.02097893,0.00025232,0.00483984
0.520000,0.58205534,-0.16231267,1.34531684,-0.00514062,1.63405198,0.59908026,-0.01339093,0.08571489,-0.02282928,0.04669278,0.13952597,-0.00352144,0.28307994,-0.02716512,-0.09621296,-0.00289788,-0.07400231,0.00684205
0.530000,0.58193593,-0.16145768,1.34508390,-0.00467422,1.63544235,0.59904542,-0.01046048,0.08520290,-0.02374218,0.04654844,0.13842980,-0.00344365,0.30234339,-0.07480342,-0.08625268,-0.02574114,-0.14440696,0.00868165
0.540000,0.58184671,-0.16061015,1.34484234,-0.00421039,1.63681832,0.59901145,-0.00735886,0.08422958,-0.02455219,0.04618369,0.13665801,-0.00334857,0.31716793,-0.11921347,-0.07565152,-0.04686460,-0.20875911,0.01029080
0.550000,0.58178916,-0.15977450,1.34459322,-0.00375122,1.63817349,0.59897850,-0.00413482,0.08283374,-0.02525342,0.04561916,0.13428213,-0.00323883,0.32668216,-0.15909029,-0.06451185,-0.06558203,-0.26485626,0.01160169
0.560000,0.58176423,-0.15895471,1.34433765,-0.00329858,1.63950226,0.59894671,-0.00084582,0.08106724,-0.02584098,0.04488236,0.13139574,-0.00311776,0.33001470,-0.19312894,-0.05293604,-0.08120717,-0.31049590,0.01254650
0.570000,0.58177224,-0.15815418,1.34407679,-0.00285403,1.64080009,0.59891617,0.00244197,0.07899497,-0.02631102,0.04400762,0.12811441,-0.00298935,0.32629417,-0.22002443,-0.04102647,-0.09305380,-0.34347551,0.01305742
0.580000,0.58181281,-0.15737558,1.34381183,-0.00241875,1.64206369,0.59888693,0.00565365,0.07669491,-0.02666073,0.04303616,0.12457577,-0.00285828,0.31464915,-0.23847182,-0.02888553,-0.10043565,-0.36159258,0.01306662
0.590000,0.58188478,-0.15662074,1.34354398,-0.00199347,1.64329127,0.59885900,0.00870563,0.07425805,-0.02688831,0.04201607,0.12093945,-0.00272992,0.29420828,-0.24716613,-0.01661557,-0.10266651,-0.36264461,0.01250628
0.600000,0.58198609,-0.15589053,1.34327448,-0.00157841,1.64448275,0.59883230,0.01150559,0.07178845,-0.02699296,0.04100229,0.11738710,-0.00261028,0.26410015,-0.24480240,-0.00431898,-0.09906010,-0.34442909,0.01130858
0.610000,0.58211372,-0.15518469,1.34300453,-0.00117320,1.64563997,0.59880674,0.01395350,0.06940199,-0.02697493,0.04005595,0.11412026,-0.00250602,0.22385174,-0.23056200,0.00790640,-0.08919513,-0.30561049,0.00943417
0.620000,0.58226366,-0.15450183,1.34273538,-0.00077686,1.64676677,0.59878211,0.01595256,0.06721304,-0.02683533,0.03923712,0.11133646,-0.00242361,0.17458349,-0.20557161,0.01998084,-0.07370995,-0.24832121,0.00695752
0.630000,0.58243100,-0.15383944,1.34246823,-0.00038786,1.64786888,0.59875818,0.01742017,0.06532102,-0.02657606,0.03859748,0.10920541,-0.00236854,0.11781420,-0.17144424,0.03182917,-0.05350786,-0.17556065,0.00398156
