tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.131757070,left_link,medium,0.142036606
0.040000,0.129827171,left_link,medium,0.142036606
0.080000,0.128207416,left_link,medium,0.142036606
0.120000,0.126974943,left_link,medium,0.142036606
0.160000,0.126041237,left_link,medium,0.142036606
0.200000,0.125226381,left_link,medium,0.142036606
0.240000,0.124352413,left_link,medium,0.142036606
0.280000,0.123333014,left_link,medium,0.142036606
0.320000,0.122184888,left_link,medium,0.142036606
0.360000,0.120993137,left_link,medium,0.142036606
0.400000,0.119864548,left_link,medium,0.142036606
0.440000,0.118875223,left_link,medium,0.142036606
0.480000,0.118032368,left_link,medium,0.142036606
0.520000,0.117283565,left_link,medium,0.142036606
0.560000,0.116549357,left_link,medium,0.142036606
0.600000,0.115763243,left_link,medium,0.142036606
0.640000,0.114760078,left_link,medium,0.142036606
0.680000,0.112802145,left_link,medium,0.142036606
0.720000,0.110905912,left_link,medium,0.142036606
0.760000,0.109109676,left_link,medium,0.142036606
0.800000,0.107444918,left_link,medium,0.142036606
0.840000,0.105909037,left_link,medium,0.142036606
0.880000,0.104436344,left_link,medium,0.142036606
0.920000,0.102911538,left_link,medium,0.142036606
0.960000,0.101233556,left_link,medium,0.142036606
1.000000,0.099406583,left_link,medium,0.142036606
