tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.150429260,left_link,medium,0.145771644
0.040000,0.150485707,left_link,medium,0.145771644
0.080000,0.150794460,left_link,medium,0.145771644
0.120000,0.151411131,left_link,medium,0.145771644
0.160000,0.152224577,left_link,medium,0.145771644
0.200000,0.153050825,left_link,medium,0.145771644
0.240000,0.153801170,left_link,medium,0.145771644
0.280000,0.154412986,left_link,medium,0.145771644
0.320000,0.154902438,left_link,medium,0.145771644
0.360000,0.155335239,left_link,medium,0.145771644
0.400000,0.155790235,left_link,medium,0.145771644
0.440000,0.156321163,left_link,medium,0.145771644
0.480000,0.156930748,left_link,medium,0.145771644
0.520000,0.157579639,left_link,medium,0.145771644
0.560000,0.158211021,left_link,medium,0.145771644
0.600000,0.158779050,left_link,medium,0.145771644
0.640000,0.159279914,left_link,medium,0.145771644
0.680000,0.159768938,left_link,medium,0.145771644
0.720000,0.160337434,left_link,medium,0.145771644
0.760000,0.161072337,left_link,medium,0.145771644
0.800000,0.162012914,left_link,medium,0.145771644
0.840000,0.163102855,left_link,medium,0.145771644
0.880000,0.164168548,left_link,medium,0.145771644
0.920000,0.164987585,left_link,medium,0.145771644
0.960000,0.165409390,left_link,medium,0.145771644
1.000000,0.165487383,left_link,medium,0.145771644
