tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.138800947,left_link,medium,0.134111027
0.040000,0.137445010,left_link,medium,0.134111027
0.080000,0.136337476,left_link,medium,0.134111027
0.120000,0.135540777,left_link,medium,0.134111027
0.160000,0.134977675,left_link,medium,0.134111027
0.200000,0.134433210,left_link,medium,0.134111027
0.240000,0.133690301,left_link,medium,0.134111027
0.280000,0.132288120,left_link,medium,0.134111027
0.320000,0.130809759,left_link,medium,0.134111027
0.360000,0.129258106,left_link,medium,0.134111027
0.400000,0.127669507,left_link,medium,0.134111027
0.440000,0.126112503,left_link,medium,0.134111027
0.480000,0.124679354,left_link,medium,0.134111027
0.520000,0.123465682,left_link,medium,0.134111027
0.560000,0.122548643,left_link,medium,0.134111027
0.600000,0.121969997,left_link,medium,0.134111027
0.640000,0.121724080,left_link,medium,0.134111027
0.680000,0.121754248,left_link,medium,0.134111027
0.720000,0.121964531,left_link,medium,0.134111027
0.760000,0.122235661,left_link,medium,0.134111027
0.800000,0.122439443,left_link,medium,0.134111027
0.840000,0.122447551,left_link,medium,0.134111027
0.880000,0.122137145,left_link,medium,0.134111027
0.920000,0.121414382,left_link,medium,0.134111027
0.960000,0.120263246,left_link,medium,0.134111027
1.000000,0.118809068,left_link,medium,0.134111027
