tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.139198283,left_link,medium,0.135934667
0.040000,0.138185085,left_link,medium,0.135934667
0.080000,0.137418062,left_link,medium,0.135934667
0.120000,0.136957467,left_link,medium,0.135934667
0.160000,0.136724145,left_link,medium,0.135934667
0.200000,0.136562241,left_link,medium,0.135934667
0.240000,0.136314476,left_link,medium,0.135934667
0.280000,0.135893678,left_link,medium,0.135934667
0.320000,0.135296907,left_link,medium,0.135934667
0.360000,0.134586503,left_link,medium,0.135934667
0.400000,0.133863430,left_link,medium,0.135934667
0.440000,0.133237440,left_link,medium,0.135934667
0.480000,0.132800576,left_link,medium,0.135934667
0.520000,0.132615879,left_link,medium,0.135934667
0.560000,0.132715590,left_link,medium,0.135934667
0.600000,0.133104738,left_link,medium,0.135934667
0.640000,0.133768829,left_link,medium,0.135934667
0.680000,0.134679516,left_link,medium,0.135934667
0.720000,0.135790470,left_link,medium,0.135934667
0.760000,0.137028382,left_link,medium,0.135934667
0.800000,0.138282968,left_link,medium,0.135934667
0.840000,0.139393470,left_link,medium,0.135934667
0.880000,0.140150842,left_link,medium,0.135934667
0.920000,0.139894415,left_link,medium,0.135934667
0.960000,0.139149867,left_link,medium,0.135934667
1.000000,0.138127818,left_link,medium,0.135934667
