tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.179495189,left_link,medium,0.193653066
0.040000,0.175993646,left_link,medium,0.193653066
0.080000,0.172764923,left_link,medium,0.193653066
0.120000,0.169863942,left_link,medium,0.193653066
0.160000,0.167197130,left_link,medium,0.193653066
0.200000,0.164594308,left_link,medium,0.193653066
0.240000,0.161901862,left_link,medium,0.193653066
0.280000,0.159064992,left_link,medium,0.193653066
0.320000,0.155789198,left_link,medium,0.193653066
0.360000,0.152562291,left_link,medium,0.193653066
0.400000,0.149565183,left_link,medium,0.193653066
0.440000,0.146944044,left_link,medium,0.193653066
0.480000,0.144760670,left_link,medium,0.193653066
0.520000,0.142990365,left_link,medium,0.193653066
0.560000,0.141544478,left_link,medium,0.193653066
0.600000,0.140301966,left_link,medium,0.193653066
0.640000,0.139148825,left_link,medium,0.193653066
0.680000,0.138010864,left_link,medium,0.193653066
0.720000,0.136854238,left_link,medium,0.193653066
0.760000,0.135667344,left_link,medium,0.193653066
0.800000,0.134200312,left_link,medium,0.193653066
0.840000,0.131640378,left_link,medium,0.193653066
0.880000,0.128905504,left_link,medium,0.193653066
0.920000,0.125964117,left_link,medium,0.193653066
0.960000,0.122797762,left_link,medium,0.193653066
1.000000,0.119469825,left_link,medium,0.193653066
