t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.67605424,-0.23701696,1.29744744,-0.03627680,1.57084036,0.67607993,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.67605172,-0.23701162,1.29744760,-0.03627382,1.57084989,0.67607974,-0.00074517,0.00157619,0.00004767,0.00088029,0.00281238,-0.00005666,-0.14427682,0.30475119,0.00936159,0.17021773,0.54393305,-0.01095951
0.020000,0.67603499,-0.23697631,1.29744869,-0.03625409,1.57091292,0.67607847,-0.00279365,0.00589268,0.00018383,0.00329166,0.01052081,-0.00021201,-0.26098808,0.54879990,0.01770392,0.30662671,0.98051062,-0.01976458
0.030000,0.67599239,-0.23688659,1.29745154,-0.03620397,1.57107317,0.67607524,-0.00587956,0.01236465,0.00039844,0.00690835,0.02209072,-0.00044529,-0.35208890,0.73658675,0.02505446,0.41169379,1.31752746,-0.02657127
0.040000,0.67591477,-0.23672364,1.29745689,-0.03611291,1.57136441,0.67606937,-0.00975658,0.02045168,0.00068171,0.01142928,0.03656547,-0.00073729,-0.41953442,0.87255237,0.03144067,0.48788581,1.56277827,-0.03153566
0.050000,0.67579538,-0.23647383,1.29746537,-0.03597329,1.57181122,0.67606035,-0.01419792,0.02965776,0.00102413,0.01657804,0.05306638,-0.00107038,-0.46527974,0.96113739,0.03689004,0.53766961,1.72405778,-0.03481379
0.060000,0.67562962,-0.23612826,1.29747754,-0.03578010,1.57242981,0.67604787,-0.01899636,0.03953129,0.00141648,0.02210287,0.07079271,-0.00142847,-0.49127998,1.00678242,0.04143004,0.56351205,1.80916073,-0.03656175
0.070000,0.67541489,-0.23568234,1.29749384,-0.03553074,1.57322874,0.67603175,-0.02396422,0.04966508,0.00184979,0.02777670,0.08902166,-0.00179704,-0.49949028,1.01392809,0.04508814,0.56787996,1.82588183,-0.03693559
0.080000,0.67515033,-0.23513531,1.29751464,-0.03522475,1.57420976,0.67601194,-0.02893338,0.05969633,0.00231539,0.03339711,0.10710839,-0.00216312,-0.49186575,0.98701502,0.04789182,0.55324019,1.78201582,-0.03609137
0.090000,0.67483671,-0.23448982,1.29754023,-0.03486357,1.57536854,0.67598853,-0.03375527,0.06930665,0.00280487,0.03878637,0.12448600,-0.00251532,-0.47036150,0.93048384,0.04986855,0.52205958,1.68535741,-0.03418516
0.100000,0.67447615,-0.23375149,1.29757079,-0.03445030,1.57669548,0.67596172,-0.03830086,0.07822208,0.00331010,0.04379139,0.14066554,-0.00284380,-0.43693267,0.84877517,0.05104580,0.47680498,1.54370134,-0.03137303
0.110000,0.67407198,-0.23292846,1.29760645,-0.03398945,1.57817648,0.67593177,-0.04246069,0.08621303,0.00382322,0.04828378,0.15523601,-0.00314028,-0.39353438,0.74632964,0.05145104,0.41994323,1.36484232,-0.02781104
0.120000,0.67362853,-0.23203094,1.29764726,-0.03348669,1.57979372,0.67589904,-0.04614483,0.09309435,0.00433664,0.05215979,0.16786436,-0.00339804,-0.34212173,0.62758786,0.05111177,0.35394117,1.15657509,-0.02365525
0.130000,0.67315091,-0.23107075,1.29769316,-0.03294858,1.58152643,0.67586395,-0.04928293,0.09872527,0.00484306,0.05534035,0.17829547,-0.00361193,-0.28464986,0.49699046,0.05005543,0.28126566,0.92669437,-0.01906173
0.140000,0.67264486,-0.23006093,1.29774407,-0.03238238,1.58335170,0.67582696,-0.05182415,0.10300944,0.00533545,0.05777108,0.18635218,-0.00377834,-0.22307389,0.35897806,0.04830952,0.20438353,0.68299488,-0.01418654
0.150000,0.67211652,-0.22901523,1.29779980,-0.03179576,1.58524522,0.67578855,-0.05373724,0.10589492,0.00580704,0.05942223,0.19193529,-0.00389524,-0.15934894,0.21799129,0.04590150,0.12576163,0.43327136,-0.00918575
0.160000,0.67157225,-0.22794772,1.29786012,-0.03119656,1.58718208,0.67574922,-0.05501048,0.10737416,0.00625136,0.06028873,0.19502351,-0.00396216,-0.09543012,0.07847077,0.04285884,0.04786680,0.18531852,-0.00421542
0.170000,0.67101842,-0.22687232,1.29792472,-0.03059254,1.58913756,0.67570947,-0.05565171,0.10748402,0.00666220,0.06039021,0.19567354,-0.00398017,-0.03327256,-0.05514287,0.03920903,-0.02683411,-0.05306891,0.00056838
0.180000,0.67046123,-0.22580234,1.29799323,-0.02999116,1.59108787,0.67566977,-0.05568832,0.10630579,0.00703361,0.05977092,0.19402000,-0.00395193,0.02516862,-0.17840901,0.03497953,-0.09587426,-0.27409619,0.00500960
0.190000,0.66990652,-0.22475008,1.29806524,-0.02939930,1.59301098,0.67563057,-0.05516725,0.10396514,0.00735995,0.05849982,0.19027547,-0.00388164,0.07793830,-0.28688704,0.03019782,-0.15678680,-0.46996862,0.00895216
