tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.146580942,left_link,medium,0.168991237
0.040000,0.151360567,left_link,medium,0.168991237
0.080000,0.156313174,left_link,medium,0.168991237
0.120000,0.161450498,left_link,medium,0.168991237
0.160000,0.166699646,left_link,medium,0.168991237
0.200000,0.171951818,left_link,medium,0.168991237
0.240000,0.177118027,left_link,medium,0.168991237
0.280000,0.182180293,left_link,medium,0.168991237
0.320000,0.187192862,left_link,medium,0.168991237
0.360000,0.192255217,left_link,medium,0.168991237
0.400000,0.197480127,left_link,medium,0.168991237
0.440000,0.202961829,left_link,medium,0.168991237
0.480000,0.208752143,left_link,medium,0.168991237
0.520000,0.214856428,left_link,medium,0.168991237
0.560000,0.221238438,left_link,medium,0.168991237
0.600000,0.227827983,left_link,medium,0.168991237
0.640000,0.234530754,left_link,medium,0.168991237
0.680000,0.241239322,left_link,medium,0.168991237
0.720000,0.247846021,left_link,medium,0.168991237
0.760000,0.254257370,left_link,medium,0.168991237
0.800000,0.260408888,left_link,medium,0.168991237
0.840000,0.266275933,left_link,medium,0.168991237
0.880000,0.271872314,left_link,medium,0.168991237
0.920000,0.277237581,left_link,medium,0.168991237
0.960000,0.282433105,left_link,medium,0.168991237
1.000000,0.287543842,left_link,medium,0.168991237
