frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092435,1786774009.019549,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,93.1888,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.197125,1786774009.112775,2493,50000,0,2493,18,1569,0.007220,0.225377,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,191.1301,0.00000000,0.00001100,1.57080364,0.00000000,1.57079637,0.00000000,0.00000000,0.00010511,0.00003416,0.00000000,0.00000000,0.00000000
2,0.365208,1786774009.303933,2541,50000,0,2541,22,1499,0.008658,0.226497,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,155.2791,0.00000000,-0.00212746,1.56877148,-0.00153690,1.57079637,0.00000000,0.00000000,-0.01272259,-0.01209017,-0.00914368,0.00000000,0.00000000
3,0.524343,1786774009.459239,2419,50000,0,2419,18,1587,0.007441,0.226350,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,166.4519,0.00000000,-0.01259601,1.55810869,-0.00467674,1.57079637,0.00000000,0.00000000,-0.06578447,-0.06700509,-0.01973073,0.00000000,0.00000000
4,0.688694,1786774009.625723,2515,50000,0,2515,11,1612,0.004374,0.224059,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,141.2863,0.00000000,-0.03477291,1.53588045,-0.00769552,1.57079256,0.00000000,0.00000000,-0.13493621,-0.13524861,-0.01836793,-0.00002321,0.00000000
5,0.830074,1786774009.767024,2477,50000,0,2477,13,1642,0.005248,0.224906,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.9085,0.00000000,-0.06085625,1.50780165,-0.01032183,1.57079637,0.00000000,0.00000000,-0.18449105,-0.19860512,-0.01857623,0.00002698,0.00000000
6,0.960063,1786774009.899960,2432,50000,0,2432,15,1583,0.006168,0.224279,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,165.9257,0.00000000,-0.08707532,1.47534323,-0.01269871,1.57079637,0.00000000,0.00000000,-0.20170120,-0.24970012,-0.01828518,0.00000000,0.00000000
7,1.124720,1786774010.065913,2558,50000,0,2558,13,1607,0.005082,0.225428,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.0331,0.00000000,-0.12060476,1.43075836,-0.01575051,1.57079637,0.00000000,0.00000000,-0.20363183,-0.27077390,-0.01853426,0.00000000,0.00000000
8,1.259284,1786774010.193980,2481,50000,0,2481,19,1580,0.007658,0.224447,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,142.2300,0.00000000,-0.14796458,1.39650631,-0.01827412,1.57079637,0.00000000,0.00000000,-0.20332201,-0.25454096,-0.01875392,0.00000000,0.00000000
9,1.396544,1786774010.336229,2435,50000,0,2435,14,1583,0.005749,0.224383,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.3644,0.00000000,-0.17444408,1.36774898,-0.02080139,1.57079637,0.00000000,0.00000000,-0.19291501,-0.20951007,-0.01841231,0.00000000,0.00000000
