frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
57,8.587591,0,1,1,58,0.687568,-0.429338,0.438334,0.081865,0.119079,0.107090,0.132547,
58,8.772090,0,1,0,71,0.663303,-0.409752,0.413058,0.115819,0.095313,0.144127,0.191866,0.215883
59,8.960525,0,1,0,80,0.669390,-0.392368,0.397849,0.121733,0.100860,0.153788,0.194526,0.127705
61,9.336670,0,1,1,45,0.641534,-0.412264,0.456311,0.086396,0.101939,0.169582,0.049448,
63,9.713356,0,1,0,84,0.656583,-0.330673,0.398498,0.129212,0.125220,0.188387,0.195944,
64,9.915258,0,1,1,59,0.644977,-0.339616,0.457343,0.079189,0.095196,0.141732,0.079052,0.301534
65,10.109394,0,1,0,104,0.661870,-0.303435,0.407013,0.131735,0.122273,0.187970,0.195096,0.327919
66,10.295344,0,1,0,98,0.664863,-0.292477,0.407755,0.125672,0.136336,0.161432,0.194892,0.061449
67,10.485090,0,1,1,56,0.649406,-0.307011,0.462344,0.074351,0.104381,0.161767,0.053922,0.311434
68,10.686885,0,1,0,79,0.654538,-0.272151,0.414409,0.126930,0.140904,0.184772,0.195756,0.293158
69,10.881652,0,1,0,73,0.651394,-0.273646,0.412513,0.127191,0.096822,0.189788,0.188078,0.020444
70,11.087290,0,1,0,83,0.655902,-0.260280,0.406712,0.134249,0.123961,0.189074,0.193302,0.073227
71,11.270728,0,1,1,58,0.652771,-0.278538,0.456815,0.082149,0.085455,0.158928,0.085784,0.291798
72,11.457864,0,1,0,87,0.650682,-0.264232,0.427040,0.119980,0.116012,0.184055,0.179513,0.179698
73,11.641122,0,1,0,90,0.663306,-0.253950,0.412567,0.130814,0.131504,0.172276,0.192355,0.117510
74,11.817188,0,1,0,94,0.653595,-0.259359,0.420325,0.120865,0.120173,0.176217,0.187760,0.080162
75,11.997084,0,1,0,94,0.651217,-0.247593,0.416618,0.120517,0.117643,0.160775,0.183023,0.067207
76,12.188529,0,1,0,79,0.653684,-0.253667,0.413940,0.123889,0.126762,0.163014,0.183474,0.038872
77,12.361922,0,1,1,48,0.642030,-0.273296,0.460345,0.083239,0.097962,0.144932,0.058821,0.282781
78,12.555030,0,1,1,35,0.642523,-0.276893,0.461649,0.080672,0.085003,0.163280,0.036574,0.020077
79,12.738701,0,1,0,97,0.656856,-0.251215,0.424813,0.125226,0.117292,0.158250,0.184092,0.253393
81,13.153029,0,1,0,83,0.668514,-0.206333,0.397732,0.122688,0.134750,0.172105,0.186881,
82,13.344331,0,1,0,85,0.652887,-0.218849,0.417256,0.123355,0.130807,0.162085,0.192618,0.145953
83,13.516392,0,1,0,93,0.661142,-0.212140,0.421644,0.119416,0.119900,0.167054,0.190953,0.066430
84,13.702675,0,1,1,52,0.631065,-0.242190,0.456360,0.082328,0.109157,0.162395,0.068929,0.292120
