frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
57,8.587591,1,1,0.691823,-0.424634,0.427871,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.081865,0.105070,0.160070,0.081865,0.012235,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
58,8.772090,1,2,0.666753,-0.398278,0.385660,0.026971,0.299678,0.299678,0.215883,-0.134826,0.141746,-0.227017,0.115819,0.132212,0.187212,0.115819,0.029903,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
59,8.960525,1,3,0.668643,-0.397904,0.377410,0.040447,0.165232,0.165232,0.127705,-0.062146,0.071665,-0.135291,0.121733,0.132255,0.187255,0.121733,0.021189,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
61,9.336670,1,4,0.633422,-0.416378,0.445392,0.028154,0.082987,0.082987,0.183874,-0.078768,0.011135,0.023632,0.086396,0.113553,0.168553,0.086396,0.014211,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
63,9.713356,1,5,0.645000,-0.331671,0.383331,0.037723,0.100621,0.100621,0.263505,-0.041613,0.082620,-0.039585,0.129212,0.149993,0.204993,0.129212,0.019110,1,1,1,0,valid_streak_not_ready
64,9.915258,1,6,0.636850,-0.347916,0.442919,0.044619,0.071827,0.071827,0.301534,-0.026222,0.044163,0.050211,0.079189,0.115895,0.170895,0.079189,0.018520,2,1,1,1,
65,10.109394,1,7,0.652021,-0.303166,0.379680,0.063513,0.083718,0.083718,0.327919,-0.014464,0.082435,0.001975,0.131735,0.144253,0.199253,0.131735,0.029055,3,1,1,1,
66,10.295344,1,8,0.655047,-0.284502,0.389843,0.078334,0.149809,0.149809,0.061449,0.022385,0.136511,-0.057502,0.125672,0.141831,0.196831,0.125672,0.021928,4,1,1,1,
67,10.485090,1,9,0.649023,-0.319294,0.444053,0.060933,0.080615,0.080615,0.311434,0.005223,0.016067,0.078825,0.074351,0.118495,0.173495,0.074351,0.022036,5,1,1,1,
68,10.686885,1,10,0.671506,-0.262228,0.397990,0.071431,0.133095,0.133095,0.293158,0.044881,0.110970,-0.058185,0.126930,0.140815,0.195815,0.126930,0.025612,6,1,1,1,
69,10.881652,1,11,0.647505,-0.258851,0.395680,0.073734,0.061458,0.061458,0.020444,-0.005863,0.057542,0.020776,0.127191,0.146739,0.201739,0.127191,0.022745,7,1,1,1,
70,11.087290,1,12,0.645168,-0.261229,0.380234,0.067686,0.034100,0.034100,0.073227,-0.012454,0.029342,-0.012115,0.134249,0.147079,0.202079,0.134249,0.028587,8,1,1,1,
71,11.270728,1,13,0.652003,-0.285878,0.442804,0.046551,0.042596,0.042596,0.291798,0.003781,0.042398,-0.001585,0.082149,0.119749,0.174749,0.082149,0.015836,9,1,1,1,
72,11.457864,1,14,0.650964,-0.252134,0.404276,0.047735,0.030849,0.030849,0.179698,-0.026699,0.013120,0.008169,0.119980,0.136492,0.191492,0.119980,0.025781,10,1,1,1,
73,11.641122,1,15,0.674316,-0.244239,0.400860,0.048819,0.040702,0.040702,0.117510,0.035235,0.019204,0.006808,0.130814,0.144318,0.199318,0.130814,0.018777,11,1,1,1,
74,11.817188,1,16,0.656401,-0.246299,0.403167,0.044322,0.040985,0.040985,0.080162,0.015563,0.020686,0.031775,0.120865,0.137002,0.192002,0.120865,0.021745,12,1,1,1,
75,11.997084,1,17,0.650890,-0.240524,0.395753,0.040639,0.090075,0.090075,0.067207,-0.001534,0.062504,-0.064842,0.120517,0.135542,0.190542,0.120517,0.022032,13,1,1,1,
76,12.188529,1,18,0.662758,-0.242808,0.398810,0.000000,0.022110,0.022110,0.038872,0.016299,0.012888,-0.007553,0.123889,0.135936,0.190936,0.123889,0.020717,14,1,1,1,
77,12.361922,1,19,0.639635,-0.278952,0.443683,0.026545,0.090316,0.090316,0.282781,-0.048094,-0.048140,0.059385,0.083239,0.115509,0.170509,0.083239,0.017758,15,1,1,1,
78,12.555030,1,20,0.639231,-0.283587,0.449092,0.039461,0.082775,0.082775,0.020077,-0.023072,-0.050107,0.061714,0.080672,0.104896,0.159896,0.080672,0.014605,16,1,1,1,
79,12.738701,1,21,0.652846,-0.233349,0.402020,0.012603,0.013085,0.013085,0.253393,0.002632,0.009653,0.008432,0.125226,0.132805,0.187805,0.125226,0.029237,17,1,1,1,
81,13.153029,1,22,0.659679,-0.217076,0.382633,0.000000,0.031419,0.031419,0.130564,-0.003166,0.026464,-0.016637,0.122688,0.135164,0.190164,0.122688,0.020529,18,1,1,1,
82,13.344331,1,23,0.658171,-0.208585,0.393195,0.018392,0.090277,0.090277,0.145953,0.018893,0.071726,-0.051463,0.123355,0.140781,0.195781,0.123355,0.026686,19,1,1,1,
83,13.516392,1,24,0.662606,-0.198648,0.395447,0.031959,0.107204,0.107204,0.066430,0.024295,0.088282,-0.055757,0.119416,0.139456,0.194456,0.119416,0.029503,20,1,1,1,
84,13.702675,1,25,0.631410,-0.250040,0.450099,0.021033,0.057285,0.057285,0.292120,-0.022236,-0.017313,0.049874,0.082328,0.123137,0.178137,0.082328,0.010047,21,1,1,1,
