tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.192954785,left_link,medium,0.132947227
0.040000,0.189377300,left_link,medium,0.132947227
0.080000,0.185850284,left_link,medium,0.132947227
0.120000,0.182413944,left_link,medium,0.132947227
0.160000,0.179094458,left_link,medium,0.132947227
0.200000,0.175875000,left_link,medium,0.132947227
0.240000,0.172371987,left_link,medium,0.132947227
0.280000,0.168880871,left_link,medium,0.132947227
0.320000,0.165332640,left_link,medium,0.132947227
0.360000,0.161671673,left_link,medium,0.132947227
0.400000,0.157874078,left_link,medium,0.132947227
0.440000,0.153963640,left_link,medium,0.132947227
0.480000,0.150017295,left_link,medium,0.132947227
0.520000,0.146148226,left_link,medium,0.132947227
0.560000,0.142482085,left_link,medium,0.132947227
0.600000,0.139136039,left_link,medium,0.132947227
0.640000,0.136201059,left_link,medium,0.132947227
0.680000,0.133727284,left_link,medium,0.132947227
0.720000,0.131712154,left_link,medium,0.132947227
0.760000,0.130088108,left_link,medium,0.132947227
0.800000,0.128709000,left_link,medium,0.132947227
0.840000,0.127335534,left_link,medium,0.132947227
0.880000,0.125650250,left_link,medium,0.132947227
0.920000,0.123357021,left_link,medium,0.132947227
0.960000,0.120320344,left_link,medium,0.132947227
1.000000,0.116712200,left_link,medium,0.132947227
