t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.64676869,-0.21982124,1.31974185,-0.03122226,1.57085133,0.64681637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.64676651,-0.21981858,1.31974488,-0.03122037,1.57086071,0.64681734,-0.00064290,0.00078522,0.00089641,0.00055546,0.00276816,0.00028475,-0.12408026,0.15188651,0.17331948,0.10747772,0.53551926,0.05508320
0.020000,0.64675214,-0.21980098,1.31976497,-0.03120792,1.57092276,0.64682372,-0.00239490,0.00293820,0.00335133,0.00207976,0.01036076,0.00106561,-0.22214927,0.27391416,0.31212156,0.19401602,0.96615095,0.09935152
0.030000,0.64671575,-0.21975622,1.31981599,-0.03117622,1.57108062,0.64683996,-0.00500579,0.00617117,0.00703221,0.00437100,0.02176678,0.00223834,-0.29618781,0.36824429,0.41893193,0.26111923,1.29946411,0.13358683
0.040000,0.64664993,-0.21967485,1.31990867,-0.03111857,1.57136768,0.64686947,-0.00824516,0.01021797,0.01163175,0.00724237,0.03605088,0.00370651,-0.34817664,0.43703829,0.49627631,0.31029168,1.54302777,0.15857102
0.050000,0.64654946,-0.21954997,1.32005075,-0.03103002,1.57180836,0.64691477,-0.01190242,0.01483402,0.01686793,0.01052208,0.05235340,0.00538153,-0.38009654,0.48245751,0.54668041,0.34303769,1.70441097,0.17508594
0.060000,0.64641112,-0.21937702,1.32024729,-0.03090729,1.57241886,0.64697752,-0.01578680,0.01979640,0.02248398,0.01405339,0.06989039,0.00718261,-0.39392827,0.50666331,0.57266993,0.36086160,1.79118274,0.18391349
0.070000,0.64623353,-0.21915356,1.32050092,-0.03074858,1.57320791,0.64705860,-0.01972730,0.02490378,0.02824837,0.01769459,0.08795358,0.00903678,-0.39165260,0.51181706,0.57677059,0.36526772,1.81091211,0.18583552
0.080000,0.64601690,-0.21887906,1.32081206,-0.03055345,1.57417757,0.64715822,-0.02357276,0.02997644,0.03395484,0.02131903,0.10591039,0.01087891,-0.37525031,0.50008013,0.56150809,0.35776038,1.77116812,0.18163392
0.090000,0.64576284,-0.21855468,1.32117922,-0.03032263,1.57532390,0.64727595,-0.02719182,0.03485629,0.03942240,0.02481510,0.12320393,0.01265165,-0.34670217,0.47361387,0.52940815,0.33984392,1.67951980,0.17209055
0.100000,0.64547419,-0.21818303,1.32159919,-0.03005790,1.57663782,0.64741085,-0.03047292,0.03940683,0.04449530,0.02808622,0.13935300,0.01430552,-0.30798893,0.43457964,0.48299647,0.31302266,1.54353618,0.15798730
0.110000,0.64515481,-0.21776802,1.32206737,-0.02976193,1.57810579,0.64756152,-0.03332431,0.04351319,0.04904305,0.03105088,0.15395210,0.01579881,-0.26109139,0.38513882,0.42479876,0.27880092,1.37078631,0.14010603
0.120000,0.64480938,-0.21731456,1.32257795,-0.02943813,1.57971059,0.64772618,-0.03567407,0.04708212,0.05296041,0.03364259,0.16667140,0.01709765,-0.20799030,0.32745277,0.35734074,0.23868304,1.16883922,0.11922862
0.130000,0.64444318,-0.21682841,1.32312421,-0.02909050,1.58143209,0.64790274,-0.03747004,0.05004197,0.05616741,0.03580990,0.17725679,0.01817600,-0.15066643,0.26368284,0.28314810,0.19417334,0.94526393,0.09613694
0.140000,0.64406193,-0.21631592,1.32369874,-0.02872347,1.58324801,0.64808890,-0.03867992,0.05234270,0.05860934,0.03751643,0.18552982,0.01901562,-0.09110056,0.19599041,0.20474656,0.14677614,0.70762949,0.07161287
0.150000,0.64367158,-0.21578385,1.32429374,-0.02834178,1.58513463,0.64828222,-0.03929119,0.05395591,0.06025673,0.03874082,0.19138774,0.01960609,-0.03127346,0.12653683,0.12466183,0.09799578,0.46350493,0.04643828
0.160000,0.64327808,-0.21523912,1.32490121,-0.02795028,1.58706761,0.64848018,-0.03931112,0.05487477,0.06110539,0.03947675,0.19480351,0.01994482,0.02683411,0.05748347,0.04541962,0.04933658,0.22045928,0.02139504
0.170000,0.64288724,-0.21468862,1.32551326,-0.02755384,1.58902272,0.64868029,-0.03876684,0.05511411,0.06117635,0.03973297,0.19582576,0.02003703,0.08124137,-0.00900831,-0.03045436,0.00230288,-0.01393842,-0.00273497
0.180000,0.64250447,-0.21413899,1.32612230,-0.02715715,1.59097656,0.64888015,-0.03770523,0.05471035,0.06051595,0.03953324,0.19457880,0.01989577,0.12996756,-0.07077714,-0.10043441,-0.04160102,-0.23211914,-0.02516988
0.190000,0.64213464,-0.21359637,1.32672137,-0.02676457,1.59290739,0.64907750,-0.03619303,0.05372152,0.05919573,0.03891639,0.19126266,0.01954189,0.17103190,-0.12566166,-0.16199481,-0.08087077,-0.42651384,-0.04512781
0.200000,0.64178183,-0.21306624,1.32730434,-0.02638003,1.59479582,0.64927037,-0.03431674,0.05222727,0.05731253,0.03793629,0.18615304,0.01900408,0.20245362,-0.17150051,-0.21260986,-0.11400205,-0.58955349,-0.06182690
