tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.177262403,left_link,medium,0.136024463
0.040000,0.174640358,left_link,medium,0.136024463
0.080000,0.172231055,left_link,medium,0.136024463
0.120000,0.170092313,left_link,medium,0.136024463
0.160000,0.168165371,left_link,medium,0.136024463
0.200000,0.166321564,left_link,medium,0.136024463
0.240000,0.164423692,left_link,medium,0.136024463
0.280000,0.162389186,left_link,medium,0.136024463
0.320000,0.160207731,left_link,medium,0.136024463
0.360000,0.157930000,left_link,medium,0.136024463
0.400000,0.155647847,left_link,medium,0.136024463
0.440000,0.153469715,left_link,medium,0.136024463
0.480000,0.151495732,left_link,medium,0.136024463
0.520000,0.149802037,left_link,medium,0.136024463
0.560000,0.148433137,left_link,medium,0.136024463
0.600000,0.147400624,left_link,medium,0.136024463
0.640000,0.146687449,left_link,medium,0.136024463
0.680000,0.146253748,left_link,medium,0.136024463
0.720000,0.145426625,left_link,medium,0.136024463
0.760000,0.144442900,left_link,medium,0.136024463
0.800000,0.143364758,left_link,medium,0.136024463
0.840000,0.142063237,left_link,medium,0.136024463
0.880000,0.140429777,left_link,medium,0.136024463
0.920000,0.138391779,left_link,medium,0.136024463
0.960000,0.135949510,left_link,medium,0.136024463
1.000000,0.133228962,left_link,medium,0.136024463
