t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.64676869,-0.21982124,1.31974185,-0.03122226,1.57085133,0.64681637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.64676661,-0.21981642,1.31974373,-0.03122080,1.57086081,0.64681637,-0.00061449,0.00142362,0.00055504,0.00042878,0.00279776,0.00000036,-0.11878771,0.27532859,0.10737187,0.08293802,0.54117922,0.00007549
0.020000,0.64675284,-0.21978452,1.31975617,-0.03121119,1.57092352,0.64681638,-0.00229650,0.00532525,0.00207725,0.00160436,0.01046897,0.00000155,-0.21380007,0.49626017,0.19368652,0.14955556,0.97597371,0.00016450
0.030000,0.64671788,-0.21970341,1.31978782,-0.03118675,1.57108300,0.64681641,-0.00481711,0.01118067,0.00436367,0.00336943,0.02198826,0.00000369,-0.28679939,0.66674498,0.26047075,0.20103295,1.31207834,0.00026372
0.040000,0.64665441,-0.21955601,1.31984536,-0.03114233,1.57137294,0.64681646,-0.00796499,0.01850516,0.00722665,0.00557849,0.03640722,0.00000685,-0.33954796,0.79073327,0.30925134,0.23855054,1.55718800,0.00036983
0.050000,0.64655714,-0.21932990,1.31993369,-0.03107415,1.57181790,0.64681655,-0.01154644,0.02685351,0.01049378,0.00809784,0.05285436,0.00001110,-0.37380811,0.87217530,0.34155508,0.26328866,1.71899754,0.00047953
0.060000,0.64642263,-0.21901688,1.32005606,-0.03097974,1.57243413,0.64681669,-0.01538540,0.03582001,0.01400792,0.01080559,0.07053515,0.00001644,-0.39134212,0.91502130,0.35890878,0.27642764,1.80520185,0.00058951
0.070000,0.64624910,-0.21861266,1.32021420,-0.03085778,1.57323031,0.64681688,-0.01932340,0.04503845,0.01762721,0.01359166,0.08873203,0.00002288,-0.39391231,0.92322153,0.36283921,0.27914782,1.82349580,0.00069646
0.080000,0.64603630,-0.21811637,1.32040853,-0.03070798,1.57420835,0.64681715,-0.02321964,0.05418212,0.02122505,0.01635776,0.10680435,0.00003035,-0.38328099,0.90072623,0.35487318,0.27262954,1.78157425,0.00079705
0.090000,0.64578526,-0.21753023,1.32063826,-0.03053098,1.57536410,0.64681749,-0.02695089,0.06296383,0.02469011,0.01901739,0.12418844,0.00003879,-0.36121046,0.85148565,0.33653748,0.25805313,1.68713209,0.00088799
0.100000,0.64549819,-0.21685913,1.32090157,-0.03032823,1.57668819,0.64681793,-0.03041159,0.07113585,0.02792632,0.02149589,0.14039757,0.00004807,-0.32946302,0.77945004,0.30935889,0.23659892,1.54786418,0.00096596
0.110000,0.64517823,-0.21611024,1.32119575,-0.03010188,1.57816676,0.64681846,-0.03351377,0.07849001,0.03085290,0.02373038,0.15502196,0.00005805,-0.28980098,0.68856964,0.27486421,0.20944726,1.37146540,0.00102765
0.120000,0.64482934,-0.21529262,1.32151737,-0.02985461,1.57978223,0.64681909,-0.03618710,0.08485760,0.03340431,0.02566978,0.16772876,0.00006856,-0.24398665,0.58279470,0.23458024,0.17777848,1.16563063,0.00106975
0.130000,0.64445609,-0.21441681,1.32186242,-0.02958960,1.58151408,0.64681983,-0.03837887,0.09010942,0.03553029,0.02727483,0.17826210,0.00007937,-0.19378234,0.46607547,0.19003376,0.14277291,0.93805472,0.00108895
0.140000,0.64406349,-0.21349446,1.32222644,-0.02931032,1.58333962,0.64682068,-0.04005399,0.09415579,0.03719586,0.02851805,0.18644303,0.00009025,-0.14095034,0.34236220,0.14275157,0.10561089,0.69643257,0.00108193
0.150000,0.64365680,-0.21253789,1.32260473,-0.02902049,1.58523475,0.64682163,-0.04119499,0.09694652,0.03838129,0.02938379,0.19216958,0.00010091,-0.08725297,0.21560513,0.09426046,0.06747275,0.44845903,0.00104539
0.160000,0.64324137,-0.21155975,1.32299245,-0.02872392,1.58717474,0.64682269,-0.04180204,0.09847092,0.03908213,0.02986819,0.19541669,0.00011105,-0.03445252,0.08975451,0.04608722,0.02953884,0.20182898,0.00097601
0.170000,0.64282248,-0.21057260,1.32338479,-0.02842438,1.58913499,0.64682385,-0.04189291,0.09875780,0.03930919,0.02997918,0.19623629,0.00012031,0.01568869,-0.03123941,-0.00024136,-0.00701052,-0.03576270,0.00087049
0.180000,0.64240512,-0.20958850,1.32377714,-0.02812551,1.59109179,0.64682509,-0.04150300,0.09787549,0.03908854,0.02973653,0.19475722,0.00012832,0.06140835,-0.14342638,-0.04319848,-0.04099498,-0.25662114,0.00072551
0.190000,0.64199385,-0.20861863,1.32416521,-0.02783072,1.59302315,0.64682641,-0.04068535,0.09593180,0.03846155,0.02917177,0.19118529,0.00013468,0.10094417,-0.24285616,-0.08125735,-0.07123422,-0.45305147,0.00053776
0.200000,0.64159260,-0.20767291,1.32454520,-0.02754301,1.59490946,0.64682778,-0.03951061,0.09307405,0.03748481,0.02832826,0.18580326,0.00013893,0.13253383,-0.32557850,-0.11289118,-0.09654789,-0.61735882,0.00030393
0.210000,0.64120453,-0.20675958,1.32491398,-0.02726490,1.59673436,0.64682918,-0.03806594,0.08948678,0.03622932,0.02726048,0.17896637,0.00014060,0.15485583,-0.38856748,-0.13693492,-0.11602914,-0.74363729,0.00002295
