tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.177262403,left_link,medium,0.136024463
0.040000,0.174638539,left_link,medium,0.136024463
0.080000,0.172217875,left_link,medium,0.136024463
0.120000,0.170053217,left_link,medium,0.136024463
0.160000,0.168087182,left_link,medium,0.136024463
0.200000,0.166200226,left_link,medium,0.136024463
0.240000,0.164272786,left_link,medium,0.136024463
0.280000,0.162246167,left_link,medium,0.136024463
0.320000,0.160130992,left_link,medium,0.136024463
0.360000,0.157984301,left_link,medium,0.136024463
0.400000,0.155878205,left_link,medium,0.136024463
0.440000,0.153864459,left_link,medium,0.136024463
0.480000,0.151948346,left_link,medium,0.136024463
0.520000,0.150094641,left_link,medium,0.136024463
0.560000,0.148249545,left_link,medium,0.136024463
0.600000,0.146367827,left_link,medium,0.136024463
0.640000,0.144444203,left_link,medium,0.136024463
0.680000,0.142532551,left_link,medium,0.136024463
0.720000,0.140237625,left_link,medium,0.136024463
0.760000,0.137667704,left_link,medium,0.136024463
0.800000,0.135204896,left_link,medium,0.136024463
0.840000,0.132837214,left_link,medium,0.136024463
0.880000,0.130496165,left_link,medium,0.136024463
0.920000,0.128077144,left_link,medium,0.136024463
0.960000,0.125496333,left_link,medium,0.136024463
1.000000,0.122764788,left_link,medium,0.136024463
