tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.175704220,left_link,medium,0.125115418
0.040000,0.172100461,left_link,medium,0.125115418
0.080000,0.168518304,left_link,medium,0.125115418
0.120000,0.164690163,left_link,medium,0.125115418
0.160000,0.160895003,left_link,medium,0.125115418
0.200000,0.157067533,left_link,medium,0.125115418
0.240000,0.153173742,left_link,medium,0.125115418
0.280000,0.149256693,left_link,medium,0.125115418
0.320000,0.145427265,left_link,medium,0.125115418
0.360000,0.141821962,left_link,medium,0.125115418
0.400000,0.138551724,left_link,medium,0.125115418
0.440000,0.135646775,left_link,medium,0.125115418
0.480000,0.133024241,left_link,medium,0.125115418
0.520000,0.130522472,left_link,medium,0.125115418
0.560000,0.127964453,left_link,medium,0.125115418
0.600000,0.125226434,left_link,medium,0.125115418
0.640000,0.122309672,left_link,medium,0.125115418
0.680000,0.119376182,left_link,medium,0.125115418
0.720000,0.116684401,left_link,medium,0.125115418
0.760000,0.114482047,left_link,medium,0.125115418
0.800000,0.112893564,left_link,medium,0.125115418
0.840000,0.111805563,left_link,medium,0.125115418
0.880000,0.110819412,gripper_base_link,medium,0.125115418
0.920000,0.108793216,gripper_base_link,medium,0.125115418
0.960000,0.106084586,gripper_base_link,medium,0.125115418
1.000000,0.102757706,gripper_base_link,medium,0.125115418
