frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
14,1.996755,1,1,0.638063,-0.595080,0.355179,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.124253,0.136751,0.191751,0.124253,0.031610,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
27,3.751492,2,1,0.635601,-0.600248,0.343561,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.128370,0.162356,0.217356,0.128370,0.025961,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
28,3.906895,2,2,0.626566,-0.606296,0.358377,0.010478,0.116427,0.116427,0.093804,-0.057241,-0.038318,0.093865,0.122214,0.154840,0.209840,0.122214,0.027744,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
64,8.638226,1,1,0.633782,-0.594901,0.361645,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.116435,0.136605,0.191605,0.116435,0.027572,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
65,8.789040,1,2,0.634254,-0.589239,0.361774,0.000000,0.039490,0.039490,0.067095,0.003280,0.039343,0.000895,0.117301,0.134666,0.189666,0.117301,0.028214,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
67,9.062151,1,3,0.630936,-0.574696,0.352694,0.000000,0.051959,0.051959,0.059122,-0.006636,0.047117,-0.020873,0.121651,0.141096,0.196096,0.121651,0.034793,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
68,9.220785,1,4,0.625327,-0.583492,0.355073,0.000000,0.026651,0.026651,0.117591,-0.014400,0.019433,-0.011193,0.115849,0.136729,0.191729,0.115849,0.044612,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
69,9.374482,1,5,0.649780,-0.542278,0.350071,0.028402,0.075811,0.075811,0.255535,0.021578,0.070979,-0.015612,0.128900,0.159302,0.214302,0.128900,0.032282,0,0,0,0,"speed_ok,valid_streak_not_ready"
70,9.539975,1,6,0.633236,-0.559381,0.360017,0.000000,0.039270,0.039270,0.160017,-0.001335,0.039180,-0.002306,0.118491,0.145773,0.200773,0.118491,0.038358,0,0,0,0,"speed_ok,valid_streak_not_ready"
72,9.829277,1,7,0.634431,-0.557719,0.360737,0.000000,0.024916,0.024916,0.020732,0.004558,0.022137,0.010487,0.116732,0.148218,0.203218,0.116732,0.038993,0,0,0,0,"speed_ok,valid_streak_not_ready"
