tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.186858363,left_link,medium,0.129768066
0.040000,0.184855818,left_link,medium,0.129768066
0.080000,0.182927530,left_link,medium,0.129768066
0.120000,0.181096071,left_link,medium,0.129768066
0.160000,0.179344565,left_link,medium,0.129768066
0.200000,0.177629961,left_link,medium,0.129768066
0.240000,0.175904818,left_link,medium,0.129768066
0.280000,0.174143290,left_link,medium,0.129768066
0.320000,0.172347481,left_link,medium,0.129768066
0.360000,0.170539557,left_link,medium,0.129768066
0.400000,0.168749037,left_link,medium,0.129768066
0.440000,0.166997847,left_link,medium,0.129768066
0.480000,0.165288854,left_link,medium,0.129768066
0.520000,0.163607588,left_link,medium,0.129768066
0.560000,0.161930990,left_link,medium,0.129768066
0.600000,0.160239033,left_link,medium,0.129768066
0.640000,0.158528764,left_link,medium,0.129768066
0.680000,0.156823327,left_link,medium,0.129768066
0.720000,0.155163479,left_link,medium,0.129768066
0.760000,0.153590411,left_link,medium,0.129768066
0.800000,0.152125663,left_link,medium,0.129768066
0.840000,0.150747009,left_link,medium,0.129768066
0.880000,0.149374793,left_link,medium,0.129768066
0.920000,0.147901323,left_link,medium,0.129768066
0.960000,0.146248797,left_link,medium,0.129768066
1.000000,0.144436917,left_link,medium,0.129768066
