frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
64,8.440071,0,1,0,174,0.712075,-0.490545,0.382725,0.129547,0.138698,0.174875,0.209553,
66,8.720774,0,1,0,191,0.717260,-0.485956,0.380129,0.125965,0.141432,0.205071,0.197025,
67,8.866478,0,1,0,233,0.709783,-0.477585,0.384823,0.126889,0.149593,0.204350,0.201815,0.079246
68,9.042225,0,1,0,231,0.713583,-0.471207,0.392014,0.119718,0.150756,0.180289,0.194957,0.059646
69,9.200927,0,1,0,236,0.715358,-0.471419,0.374133,0.125636,0.135141,0.213997,0.211507,0.111896
70,9.368445,0,1,0,198,0.716005,-0.462595,0.382695,0.131300,0.132581,0.215201,0.214243,0.074089
71,9.546249,0,1,0,214,0.713819,-0.438863,0.379101,0.129975,0.146876,0.212847,0.206849,0.134985
72,9.701790,0,1,0,204,0.717286,-0.423292,0.378241,0.126589,0.138849,0.201112,0.200239,0.100892
73,9.850005,0,1,0,249,0.710909,-0.400241,0.386826,0.125685,0.135089,0.227626,0.206357,0.170621
74,10.010306,0,1,0,212,0.716126,-0.387646,0.376642,0.129113,0.142959,0.224564,0.207321,0.107403
75,10.163570,0,1,0,241,0.707823,-0.377454,0.384567,0.127326,0.146318,0.198710,0.205083,0.101573
76,10.330544,0,1,0,257,0.707348,-0.355925,0.395153,0.122876,0.147892,0.207873,0.203491,0.144242
77,10.491480,0,1,0,191,0.708966,-0.327392,0.391858,0.123270,0.130558,0.198566,0.197832,0.175623
78,10.651586,0,1,0,194,0.709283,-0.289293,0.387395,0.118807,0.124475,0.188930,0.200620,0.240326
79,10.824807,0,1,0,190,0.712404,-0.280272,0.391306,0.120069,0.142030,0.172103,0.200761,0.063234
80,10.981318,0,1,0,213,0.708353,-0.250127,0.382252,0.123783,0.132287,0.196221,0.205536,0.190644
81,11.136629,0,1,0,204,0.707758,-0.253126,0.390188,0.124400,0.161338,0.195589,0.194656,0.054162
82,11.299171,0,1,0,225,0.705580,-0.255594,0.382341,0.126590,0.146578,0.221031,0.209701,0.052883
83,11.473387,0,1,0,204,0.705621,-0.249158,0.385572,0.123303,0.143409,0.194339,0.207178,0.041314
84,11.638455,0,1,0,210,0.705568,-0.239613,0.390528,0.121653,0.152993,0.188472,0.193524,0.066995
85,11.799578,0,1,0,203,0.699198,-0.234817,0.384099,0.127372,0.141529,0.202086,0.205295,0.061074
86,11.956264,0,1,0,215,0.704502,-0.210338,0.380769,0.124230,0.132998,0.193837,0.208537,0.159746
87,12.129620,0,1,0,218,0.707284,-0.205442,0.383476,0.127138,0.150443,0.211270,0.217094,0.036701
88,12.287103,0,1,0,216,0.700602,-0.193281,0.377159,0.125085,0.139981,0.198568,0.198896,0.094644
89,12.446977,0,1,0,199,0.708163,-0.180664,0.378764,0.124154,0.116690,0.187894,0.201137,0.092987
90,12.593850,0,1,0,224,0.702489,-0.174516,0.377831,0.125635,0.145730,0.196335,0.209379,0.058277
91,12.757954,0,1,0,214,0.701900,-0.162294,0.395750,0.120573,0.147213,0.181991,0.197495,0.139098
92,12.909949,0,1,0,243,0.697791,-0.152305,0.384140,0.131664,0.164947,0.191524,0.203095,0.099112
93,13.074021,0,1,0,220,0.697383,-0.143644,0.382388,0.125731,0.145372,0.192444,0.201199,0.053120
