frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.087597,1786696142.804718,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,88.4629,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.185822,1786696142.893217,3034,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,153.5136,0.00000000,0.00000734,1.57080364,0.00000000,1.57079637,0.00000000,0.00000000,0.00007469,0.00003641,0.00000000,0.00000000,0.00000000
2,0.322748,1786696143.046756,2931,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.1833,0.00000000,-0.00154424,1.56955290,-0.00106740,1.57079637,0.00000000,0.00000000,-0.01133150,-0.00913446,-0.00779543,0.00000000,0.00000000
3,0.462685,1786696143.178964,2910,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,135.3853,0.00000000,-0.00860519,1.56215811,-0.00384043,1.57079637,0.00000000,0.00000000,-0.05045789,-0.05284351,-0.01981619,0.00000000,0.00000000
4,0.587994,1786696143.314364,2954,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.5883,0.00000000,-0.02197516,1.54881382,-0.00612561,1.57079637,0.00000000,0.00000000,-0.10669609,-0.10649118,-0.01823640,0.00000000,0.00000000
5,0.720916,1786696143.444977,3008,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.9467,0.00000000,-0.04359818,1.52678001,-0.00862720,1.57079637,0.00000000,0.00000000,-0.16267473,-0.16576517,-0.01882005,0.00000000,0.00000000
6,0.850429,1786696143.576940,2880,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.4176,0.00000000,-0.06892958,1.49833810,-0.01108111,1.57079637,0.00000000,0.00000000,-0.19558921,-0.21960609,-0.01894717,0.00000000,0.00000000
7,0.985328,1786696143.711382,2986,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.1347,0.00000000,-0.09626739,1.46326077,-0.01352035,1.57079637,0.00000000,0.00000000,-0.20265388,-0.26002659,-0.01808196,0.00000000,0.00000000
8,1.116552,1786696143.841533,2899,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.9392,0.00000000,-0.12267720,1.42815042,-0.01595225,1.57079637,0.00000000,0.00000000,-0.20125766,-0.26756077,-0.01853247,0.00000000,0.00000000
9,1.247289,1786696143.970487,2831,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.8828,0.00000000,-0.14903931,1.39528120,-0.01836582,1.57079256,0.00000000,0.00000000,-0.20164215,-0.25141460,-0.01846120,-0.00002918,0.00000000
