tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.144013363,left_link,medium,0.162613878
0.040000,0.141782826,left_link,medium,0.162613878
0.080000,0.139667973,left_link,medium,0.162613878
0.120000,0.137687421,left_link,medium,0.162613878
0.160000,0.135790579,left_link,medium,0.162613878
0.200000,0.133891240,left_link,medium,0.162613878
0.240000,0.131905740,left_link,medium,0.162613878
0.280000,0.129788015,left_link,medium,0.162613878
0.320000,0.127540906,left_link,medium,0.162613878
0.360000,0.125214653,left_link,medium,0.162613878
0.400000,0.122902415,left_link,medium,0.162613878
0.440000,0.120733722,left_link,medium,0.162613878
0.480000,0.118859443,left_link,medium,0.162613878
0.520000,0.117418737,left_link,medium,0.162613878
0.560000,0.116500598,left_link,medium,0.162613878
0.600000,0.116107100,left_link,medium,0.162613878
0.640000,0.116118980,left_link,medium,0.162613878
0.680000,0.116288190,left_link,medium,0.162613878
0.720000,0.116237279,gripper_base_link,medium,0.162613878
0.760000,0.115603258,gripper_base_link,medium,0.162613878
0.800000,0.114204395,gripper_base_link,medium,0.162613878
0.840000,0.112055506,gripper_base_link,medium,0.162613878
0.880000,0.109430756,gripper_base_link,medium,0.162613878
0.920000,0.106724449,gripper_base_link,medium,0.162613878
0.960000,0.104260350,gripper_base_link,medium,0.162613878
1.000000,0.102111629,gripper_base_link,medium,0.162613878
