tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.152849148,left_link,medium,0.146786654
0.040000,0.150951303,left_link,medium,0.146786654
0.080000,0.149165852,left_link,medium,0.146786654
0.120000,0.147509769,left_link,medium,0.146786654
0.160000,0.145933931,left_link,medium,0.146786654
0.200000,0.144355518,left_link,medium,0.146786654
0.240000,0.142694531,left_link,medium,0.146786654
0.280000,0.140907080,left_link,medium,0.146786654
0.320000,0.138786758,gripper_base_link,medium,0.146786654
0.360000,0.136423989,gripper_base_link,medium,0.146786654
0.400000,0.134067793,gripper_base_link,medium,0.146786654
0.440000,0.131834839,gripper_base_link,medium,0.146786654
0.480000,0.129888044,gripper_base_link,medium,0.146786654
0.520000,0.128395252,gripper_base_link,medium,0.146786654
0.560000,0.127475748,gripper_base_link,medium,0.146786654
0.600000,0.127148677,gripper_base_link,medium,0.146786654
0.640000,0.127284964,gripper_base_link,medium,0.146786654
0.680000,0.127595061,gripper_base_link,medium,0.146786654
0.720000,0.127704427,gripper_base_link,medium,0.146786654
0.760000,0.127262562,gripper_base_link,medium,0.146786654
0.800000,0.126051691,gripper_base_link,medium,0.146786654
0.840000,0.124088389,gripper_base_link,medium,0.146786654
0.880000,0.121651598,gripper_base_link,medium,0.146786654
0.920000,0.119141964,gripper_base_link,medium,0.146786654
0.960000,0.116887789,gripper_base_link,medium,0.146786654
1.000000,0.114960530,gripper_base_link,medium,0.146786654
