tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.127435939,gripper_base_link,medium,0.172452068
0.040000,0.126351698,gripper_base_link,medium,0.172452068
0.080000,0.125263934,gripper_base_link,medium,0.172452068
0.120000,0.124178571,gripper_base_link,medium,0.172452068
0.160000,0.123106763,gripper_base_link,medium,0.172452068
0.200000,0.122054613,gripper_base_link,medium,0.172452068
0.240000,0.121019170,gripper_base_link,medium,0.172452068
0.280000,0.119993551,gripper_base_link,medium,0.172452068
0.320000,0.118973453,gripper_base_link,medium,0.172452068
0.360000,0.117959436,gripper_base_link,medium,0.172452068
0.400000,0.116955820,gripper_base_link,medium,0.172452068
0.440000,0.115967715,gripper_base_link,medium,0.172452068
0.480000,0.114997478,gripper_base_link,medium,0.172452068
0.520000,0.114043203,gripper_base_link,medium,0.172452068
0.560000,0.113099391,gripper_base_link,medium,0.172452068
0.600000,0.112159735,gripper_base_link,medium,0.172452068
0.640000,0.111221987,gripper_base_link,medium,0.172452068
0.680000,0.110292207,gripper_base_link,medium,0.172452068
0.720000,0.109383598,gripper_base_link,medium,0.172452068
0.760000,0.108511770,gripper_base_link,medium,0.172452068
0.800000,0.107687807,gripper_base_link,medium,0.172452068
0.840000,0.106907722,gripper_base_link,medium,0.172452068
0.880000,0.106143081,gripper_base_link,medium,0.172452068
0.920000,0.105348735,gripper_base_link,medium,0.172452068
0.960000,0.104487398,gripper_base_link,medium,0.172452068
1.000000,0.103562571,gripper_base_link,medium,0.172452068
