t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.70466119,-0.25614208,1.27230322,-0.04234005,1.57084036,0.70466858,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.70465964,-0.25613845,1.27230552,-0.04233765,1.57084988,0.70466963,-0.00045645,0.00107256,0.00067847,0.00070835,0.00280853,0.00030822,-0.08836825,0.20745424,0.13125474,0.13699577,0.54320613,0.05961589
0.020000,0.70464940,-0.25611441,1.27232073,-0.04232177,1.57091282,0.70467653,-0.00171093,0.00401288,0.00253942,0.00264971,0.01050708,0.00115318,-0.15980601,0.37404636,0.23680619,0.24692899,0.97930030,0.10749087
0.030000,0.70462331,-0.25605328,1.27235942,-0.04228141,1.57107287,0.70469410,-0.00360016,0.00842717,0.00533509,0.00556328,0.02206340,0.00242174,-0.21552030,0.50274307,0.31850833,0.33176583,1.31605351,0.14447589
0.040000,0.70457579,-0.25594217,1.27242978,-0.04220807,1.57136376,0.70472603,-0.00597295,0.01395131,0.00883627,0.00920792,0.03652292,0.00400924,-0.25671816,0.59651108,0.37821515,0.39347249,1.56123679,0.17142188
0.050000,0.70450271,-0.25577167,1.27253780,-0.04209556,1.57181007,0.70477503,-0.00869016,0.02025085,0.01283226,0.01336218,0.05300880,0.00581955,-0.28460662,0.65831709,0.41778062,0.43401515,1.72262112,0.18917977
0.060000,0.70440126,-0.25553558,1.27268744,-0.04193981,1.57242802,0.70484287,-0.01162474,0.02702100,0.01713092,0.01782423,0.07072192,0.00776504,-0.30039270,0.69112782,0.43905873,0.45536000,1.80797752,0.19860052
0.070000,0.70426987,-0.25523060,1.27288084,-0.04173866,1.57322619,0.70493051,-0.01466170,0.03398664,0.02155865,0.02241194,0.08894083,0.00976660,-0.30528344,0.69790996,0.44390345,0.45947322,1.82507699,0.20053504
0.080000,0.70410803,-0.25485602,1.27311852,-0.04149169,1.57420636,0.70503815,-0.01769811,0.04090233,0.02596039,0.02696281,0.10702184,0.01175362,-0.30048586,0.68163024,0.43416876,0.44832100,1.78169053,0.19583429
0.090000,0.70391621,-0.25441344,1.27339951,-0.04120000,1.57536427,0.70516533,-0.02064314,0.04755227,0.03019961,0.03133403,0.12439893,0.01366401,-0.28720699,0.64525535,0.41170865,0.42386953,1.68558916,0.18534919
0.100000,0.70369574,-0.25390649,1.27372158,-0.04086602,1.57669036,0.70531100,-0.02341801,0.05375034,0.03415833,0.03540243,0.14058381,0.01544416,-0.26665386,0.59175201,0.37837709,0.38808499,1.54454387,0.16993069
0.110000,0.70344865,-0.25334047,1.27408141,-0.04049331,1.57817059,0.70547363,-0.02595600,0.05934010,0.03773709,0.03906451,0.15516589,0.01704901,-0.24003350,0.52408692,0.33602806,0.34293357,1.36632567,0.15042972
