tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.120713271,gripper_base_link,medium,0.167819414
0.040000,0.120554303,gripper_base_link,medium,0.167819414
0.080000,0.120411617,gripper_base_link,medium,0.167819414
0.120000,0.120286189,gripper_base_link,medium,0.167819414
0.160000,0.120165072,gripper_base_link,medium,0.167819414
0.200000,0.120021389,gripper_base_link,medium,0.167819414
0.240000,0.119818892,gripper_base_link,medium,0.167819414
0.280000,0.119524897,gripper_base_link,medium,0.167819414
0.320000,0.119126796,gripper_base_link,medium,0.167819414
0.360000,0.118646069,gripper_base_link,medium,0.167819414
0.400000,0.118149831,gripper_base_link,medium,0.167819414
0.440000,0.117760806,gripper_base_link,medium,0.167819414
0.480000,0.117651847,gripper_base_link,medium,0.167819414
0.520000,0.118002789,gripper_base_link,medium,0.167819414
0.560000,0.118943270,gripper_base_link,medium,0.167819414
0.600000,0.120496329,gripper_base_link,medium,0.167819414
0.640000,0.122524867,gripper_base_link,medium,0.167819414
0.680000,0.124716888,gripper_base_link,medium,0.167819414
0.720000,0.126667046,gripper_base_link,medium,0.167819414
0.760000,0.127995466,gripper_base_link,medium,0.167819414
0.800000,0.128466864,gripper_base_link,medium,0.167819414
0.840000,0.128104027,gripper_base_link,medium,0.167819414
0.880000,0.127222715,gripper_base_link,medium,0.167819414
0.920000,0.126277863,gripper_base_link,medium,0.167819414
0.960000,0.125643148,gripper_base_link,medium,0.167819414
1.000000,0.125392924,gripper_base_link,medium,0.167819414
