tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.149686959,left_link,medium,0.194168860
0.040000,0.147773071,left_link,medium,0.194451201
0.080000,0.145593844,left_link,medium,0.194733543
0.120000,0.143096010,left_link,medium,0.195015885
0.160000,0.140381991,left_link,medium,0.195298226
0.200000,0.137620983,left_link,medium,0.195580568
0.240000,0.134961827,left_link,medium,0.195862910
0.280000,0.132472420,left_link,medium,0.196145251
0.320000,0.130143890,left_link,medium,0.196427593
0.360000,0.127919746,left_link,medium,0.196709935
0.400000,0.125725566,left_link,medium,0.196992276
0.440000,0.123498056,left_link,medium,0.197274618
0.480000,0.121205437,left_link,medium,0.197556960
0.520000,0.118846358,left_link,medium,0.197839301
0.560000,0.116440415,left_link,medium,0.198121643
0.600000,0.114018442,left_link,medium,0.198403985
0.640000,0.111612974,left_link,medium,0.198686326
0.680000,0.109250395,left_link,medium,0.198968668
0.720000,0.106947052,left_link,medium,0.199251010
0.760000,0.104706935,left_link,medium,0.199533351
0.800000,0.102519416,left_link,medium,0.199815693
0.840000,0.100357189,left_link,medium,0.200098035
0.880000,0.098178860,left_link,medium,0.200380376
0.920000,0.095943321,left_link,medium,0.200662718
0.960000,0.093628596,left_link,medium,0.200945060
1.000000,0.091250596,left_link,medium,0.201227402
