frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.221092,0,1,0,181,0.625360,-0.596832,0.363790,0.121436,0.146422,0.185256,0.213725,
2,0.388580,0,1,0,186,0.624245,-0.595789,0.359714,0.123396,0.159643,0.179179,0.210846,0.023791
3,0.546841,0,1,0,213,0.618441,-0.600862,0.356556,0.130339,0.192829,0.197604,0.221477,0.051280
4,0.711694,0,1,0,181,0.620636,-0.594306,0.370513,0.115917,0.154665,0.167309,0.202226,0.096386
5,0.882073,0,1,0,206,0.628103,-0.596715,0.367536,0.119636,0.144446,0.189019,0.202025,0.049852
6,1.046823,0,1,0,230,0.618810,-0.596721,0.356937,0.132062,0.200660,0.219121,0.224142,0.086524
7,1.206006,0,1,0,187,0.625089,-0.595010,0.355006,0.127478,0.184921,0.197959,0.220062,0.040493
8,1.367178,0,1,0,204,0.622682,-0.595075,0.356138,0.126982,0.186963,0.209053,0.219194,0.017385
9,1.516676,0,1,0,179,0.624549,-0.600878,0.374519,0.115169,0.152675,0.179192,0.202111,0.120173
10,1.667096,0,1,0,192,0.622836,-0.591006,0.355550,0.128998,0.176608,0.216338,0.216517,0.143185
11,1.852159,0,1,0,197,0.626097,-0.597996,0.365194,0.116458,0.150871,0.185305,0.202567,0.076283
12,2.000262,0,1,0,197,0.618349,-0.595118,0.368505,0.118847,0.154937,0.210451,0.208386,0.052234
13,2.164224,0,1,0,183,0.622051,-0.589417,0.362884,0.118495,0.186987,0.194809,0.210473,0.054361
14,2.322716,0,1,0,171,0.624352,-0.595945,0.367579,0.119066,0.150045,0.183614,0.198439,0.052296
15,2.474012,0,1,0,195,0.617512,-0.597430,0.363564,0.125127,0.174052,0.186478,0.218099,0.053470
16,2.633593,0,1,0,198,0.620680,-0.593191,0.352678,0.129085,0.198066,0.192168,0.221386,0.075618
17,2.784839,0,1,0,190,0.621273,-0.597208,0.361751,0.122057,0.162906,0.195782,0.210728,0.065616
18,2.947477,0,1,0,194,0.625861,-0.597632,0.363579,0.119687,0.165042,0.183326,0.211153,0.030693
19,3.109068,0,1,0,215,0.623085,-0.594544,0.351998,0.130455,0.221230,0.197176,0.225529,0.074636
20,3.268586,0,1,0,186,0.623264,-0.592928,0.360772,0.120150,0.175341,0.184643,0.221879,0.056146
21,3.433698,0,1,0,196,0.621767,-0.596660,0.354167,0.124278,0.193161,0.172015,0.215517,0.049261
22,3.607200,0,1,0,188,0.627849,-0.594934,0.353943,0.122332,0.168166,0.190736,0.206905,0.035828
23,3.767033,0,1,0,218,0.622909,-0.594162,0.356528,0.125935,0.175885,0.189716,0.219633,0.035311
24,3.932273,0,1,0,229,0.621712,-0.597882,0.344456,0.138979,0.273755,0.220174,0.227478,0.074948
25,4.106743,0,1,0,196,0.625634,-0.595325,0.359493,0.121963,0.167959,0.179015,0.215572,0.089269
26,4.280241,0,1,0,186,0.619607,-0.590648,0.368046,0.122729,0.178857,0.214375,0.205984,0.067918
27,4.435336,0,1,0,179,0.629134,-0.594504,0.357635,0.117346,0.156142,0.181166,0.217521,0.093645
28,4.607767,0,1,0,191,0.629641,-0.589384,0.362132,0.117143,0.150571,0.174706,0.204075,0.039300
29,4.768562,0,1,0,183,0.627501,-0.596253,0.363196,0.116042,0.153385,0.173764,0.199391,0.045353
30,4.919248,0,1,0,189,0.625165,-0.593076,0.358387,0.118071,0.156897,0.175343,0.217419,0.040378
31,5.078860,0,1,0,188,0.622107,-0.594876,0.364938,0.116692,0.168866,0.148092,0.238080,0.046975
32,5.239492,0,1,0,194,0.620152,-0.595478,0.362821,0.126768,0.166341,0.211510,0.210457,0.018624
33,5.407270,0,1,0,208,0.621830,-0.596513,0.355534,0.127026,0.188090,0.185422,0.214779,0.047933
34,5.564827,0,1,0,177,0.626106,-0.594972,0.364472,0.119034,0.151748,0.175772,0.206760,0.058970
35,5.716379,0,1,0,181,0.624860,-0.593468,0.356300,0.126127,0.176351,0.198644,0.217143,0.055551
36,5.899693,0,1,0,184,0.623432,-0.595221,0.362048,0.125649,0.164172,0.196571,0.209598,0.035744
37,6.048609,0,1,0,222,0.623677,-0.595422,0.353906,0.130511,0.191103,0.205439,0.220227,0.050941
38,6.206648,0,1,0,208,0.623704,-0.598717,0.362465,0.120483,0.172600,0.194254,0.216736,0.058895
39,6.363070,0,1,0,188,0.624924,-0.595163,0.366822,0.116936,0.136983,0.175990,0.210217,0.037169
40,6.507353,0,1,0,175,0.622232,-0.591593,0.366772,0.115921,0.149441,0.172288,0.203568,0.030028
41,6.654185,0,1,0,227,0.627547,-0.592058,0.358595,0.129883,0.176711,0.211621,0.222000,0.067239
42,6.812649,0,1,0,227,0.625831,-0.587259,0.369425,0.125580,0.154847,0.226131,0.213242,0.075470
43,6.970194,0,1,0,237,0.626142,-0.583798,0.358505,0.134105,0.202076,0.202841,0.229271,0.073751
44,7.106694,0,1,0,240,0.622811,-0.581060,0.362558,0.127281,0.173850,0.203824,0.226052,0.042387
45,7.264238,0,1,0,235,0.624780,-0.574942,0.370817,0.123645,0.164849,0.204333,0.210148,0.068443
46,7.425793,0,1,0,260,0.630354,-0.570571,0.364082,0.133525,0.165371,0.239793,0.214964,0.060221
47,7.588417,0,1,0,275,0.627573,-0.562091,0.372876,0.125124,0.161812,0.242311,0.207204,0.078100
48,7.740904,0,1,0,285,0.626611,-0.558619,0.369941,0.135460,0.185795,0.236478,0.217011,0.029950
49,7.899314,0,1,0,286,0.627073,-0.559425,0.376803,0.129693,0.158955,0.222309,0.203944,0.043709
50,8.067795,0,1,0,271,0.625576,-0.554307,0.376779,0.127688,0.168321,0.228120,0.211623,0.031957
51,8.216657,0,1,0,269,0.623186,-0.550597,0.371889,0.133952,0.175442,0.232147,0.219613,0.043135
52,8.387193,0,1,0,297,0.622838,-0.546636,0.364830,0.137955,0.182365,0.257447,0.221969,0.052075
53,8.554237,0,1,0,252,0.628555,-0.535700,0.370738,0.126291,0.153195,0.234822,0.207808,0.077747
54,8.702985,0,1,0,262,0.628089,-0.523094,0.371531,0.130819,0.165447,0.282488,0.203941,0.083264
55,8.868670,0,1,0,283,0.628203,-0.514683,0.372025,0.131947,0.155539,0.256211,0.204565,0.052544
56,9.028570,0,1,0,320,0.619662,-0.526428,0.356350,0.151840,0.212120,0.312900,0.229099,0.132712
57,9.197849,0,1,0,257,0.624472,-0.484986,0.364138,0.130761,0.173928,0.243350,0.211103,0.246531
58,9.359912,0,1,0,281,0.623007,-0.469697,0.364497,0.133736,0.169770,0.243898,0.207216,0.094340
59,9.515139,0,1,0,244,0.625712,-0.459694,0.376509,0.129841,0.167536,0.222619,0.203690,0.099595
60,9.672975,0,1,0,264,0.623954,-0.442022,0.370282,0.126876,0.164753,0.217963,0.207864,0.119944
61,9.846599,0,1,0,261,0.624747,-0.432699,0.366395,0.133373,0.177755,0.231224,0.210569,0.062558
62,9.997297,0,1,0,261,0.624338,-0.416277,0.379652,0.127636,0.170141,0.211346,0.201530,0.131233
63,10.158332,0,1,0,268,0.624982,-0.411177,0.374010,0.128290,0.154687,0.214941,0.217191,0.047584
