frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.117437,1786586751.520902,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,118.4862,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.221092,1786586751.639419,2659,50000,1,0,0,0.317923,left_link,0,0.625360,-0.596832,0.363790,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.121436,1,0.006564,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.329210,,0,1.000000,SAFE,1,current,50000,182.9327,0.00000000,-0.00000367,1.57080007,-0.00001100,1.57079637,0.00000000,0.00000000,-0.00003539,0.00000000,-0.00010616,0.00000000,0.00000000
2,0.388580,1786586751.822367,2660,50000,1,0,0,0.323747,left_link,0,0.624245,-0.595789,0.359714,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.047921,0.025139,0.035781,-0.019601,0.123396,2,0.009094,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.332078,,0,1.000000,SAFE,1,current,50000,162.4282,0.00000000,-0.00329756,1.56755757,-0.00213112,1.57079637,0.00000000,0.00000000,-0.01966637,-0.01935950,-0.01265831,0.00000000,0.00000000
3,0.546841,1786586751.984812,2622,50000,1,1,0,0.322464,left_link,0,0.618441,-0.600862,0.356556,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.106607,-0.095693,-0.005317,-0.046686,0.130339,3,0.031149,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.020925,0.000000,0.331661,,0,1.000000,SAFE,1,current,50000,161.5799,0.00000000,-0.01522232,1.55544937,-0.00514624,1.57079637,0.00000000,0.00000000,-0.07534868,-0.07650783,-0.01905156,0.00000000,0.00000000
4,0.711694,1786586752.146407,2635,50000,1,1,0,0.315766,left_link,0,0.620636,-0.594306,0.370513,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.028243,-0.005279,0.027363,0.004588,0.115917,4,0.013589,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.011525,0.000000,0.328715,,0,1.000000,SAFE,1,current,50000,168.3044,0.00000000,-0.03905716,1.53144205,-0.00815036,1.57079637,0.00000000,0.00000000,-0.14458218,-0.14562841,-0.01822296,0.00000000,0.00000000
5,0.882073,1786586752.314729,2633,50000,1,1,0,0.308988,left_link,0,0.628103,-0.596715,0.367536,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.005848,0.001865,-0.000909,-0.005467,0.119636,5,0.006741,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.320895,,0,1.000000,SAFE,1,current,50000,162.8987,0.00000000,-0.07190069,1.49465179,-0.01135255,1.57079637,0.00000000,0.00000000,-0.19276782,-0.21593226,-0.01879454,0.00000000,0.00000000
6,1.046823,1786586752.477644,2610,50000,1,1,0,0.288295,left_link,0,0.618810,-0.596721,0.356937,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.047490,-0.045680,0.009775,-0.008547,0.132062,6,0.027628,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.013091,0.000000,0.300178,,0,1.000000,SAFE,1,current,50000,167.6083,0.00000000,-0.10536043,1.45104623,-0.01435299,1.57079637,0.00000000,0.00000000,-0.20309377,-0.26467682,-0.01821209,0.00000000,0.00000000
7,1.206006,1786586752.645283,2577,50000,1,1,0,0.292959,left_link,0,0.625089,-0.595010,0.355006,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.056536,0.037747,0.035853,0.022047,0.127478,7,0.027789,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.307166,,0,1.000000,SAFE,1,current,50000,153.0115,0.00000000,-0.13789952,1.40867317,-0.01736444,1.57079637,0.00000000,0.00000000,-0.20441326,-0.26619112,-0.01891819,0.00000000,0.00000000
8,1.367178,1786586752.798309,2581,50000,1,1,0,0.284629,left_link,0,0.622682,-0.595075,0.356138,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.018667,0.002861,-0.017129,-0.006845,0.126982,8,0.010683,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.296591,,0,1.000000,SAFE,1,current,50000,161.1270,0.00000000,-0.16920979,1.37321067,-0.02025118,1.57079637,0.00000000,0.00000000,-0.19426604,-0.22002870,-0.01791090,0.00000000,0.00000000
9,1.516676,1786586752.959456,2595,50000,1,1,0,0.305193,left_link,0,0.624549,-0.600878,0.374519,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.052716,-0.045203,-0.026317,-0.006562,0.115169,9,0.036405,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.018689,0.000000,0.318985,,0,1.000000,SAFE,1,current,50000,149.8098,0.00000000,-0.19225235,1.34998477,-0.02309391,1.57079637,0.00000000,0.00000000,-0.15413319,-0.15535959,-0.01901516,0.00000000,0.00000000
10,1.667096,1786586753.109281,2647,50000,1,1,0,0.271578,left_link,0,0.622836,-0.591006,0.355550,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.044252,0.038054,-0.022566,0.000955,0.128998,10,0.007255,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.282957,,0,1.000000,SAFE,1,current,50000,161.8646,0.00000000,-0.20553428,1.33671010,-0.02578257,1.57079637,0.00000000,0.00000000,-0.08829899,-0.08825075,-0.01787438,0.00000000,0.00000000
11,1.852159,1786586753.271164,2689,50000,1,1,0,0.284114,left_link,0,0.626097,-0.597996,0.365194,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.039667,0.017654,-0.035174,0.004958,0.116458,11,0.005903,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.298400,,0,1.000000,SAFE,1,current,50000,170.4189,0.00000000,-0.21010464,1.33220208,-0.02847857,1.57079637,0.00000000,0.00000000,-0.02469623,-0.02435934,-0.01456799,0.00000000,0.00000000
