frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.096505,1786437893.048669,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,97.4646,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.194768,1786437893.146173,2361,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,163.1449,0.00000000,0.00000734,1.57080364,-0.00000367,1.57079637,0.00000000,0.00000000,0.00007466,0.00003639,-0.00003733,0.00000000,0.00000000
2,0.340175,1786437893.309332,2373,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,122.8836,0.00000000,-0.00202842,1.56897700,-0.00147455,1.57079637,0.00000000,0.00000000,-0.01400046,-0.01256234,-0.01011565,0.00000000,0.00000000
3,0.460068,1786437893.432240,2250,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8578,0.00000000,-0.00860519,1.56219482,-0.00384409,1.57079637,0.00000000,0.00000000,-0.05485517,-0.05656837,-0.01976377,0.00000000,0.00000000
4,0.588299,1786437893.560113,2326,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.3182,0.00000000,-0.02264640,1.54815364,-0.00621364,1.57079637,0.00000000,0.00000000,-0.10949932,-0.10949912,-0.01847873,0.00000000,0.00000000
5,0.720095,1786437893.689447,2324,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,113.2138,0.00000000,-0.04359084,1.52682400,-0.00863087,1.57079637,0.00000000,0.00000000,-0.15891510,-0.16183781,-0.01834064,0.00000000,0.00000000
6,0.831853,1786437893.802695,2308,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.6874,0.00000000,-0.06490943,1.50320554,-0.01070697,1.57079637,0.00000000,0.00000000,-0.19075709,-0.21133620,-0.01857682,0.00000000,0.00000000
7,0.959440,1786437893.933397,2328,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.3969,0.00000000,-0.09118351,1.47010171,-0.01306552,1.57079637,0.00000000,0.00000000,-0.20593123,-0.25946148,-0.01848580,0.00000000,0.00000000
8,1.098998,1786437894.063810,2231,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.5148,0.00000000,-0.11963274,1.43216324,-0.01566248,1.57079637,0.00000000,0.00000000,-0.20385178,-0.27184658,-0.01860844,0.00000000,0.00000000
9,1.241794,1786437894.198351,2347,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,138.5119,0.00000000,-0.14802693,1.39656496,-0.01828512,1.57079637,0.00000000,0.00000000,-0.19884542,-0.24929586,-0.01836643,0.00000000,0.00000000
