tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.179347133,upperArm_Link,medium,0.201688260
0.040000,0.178354114,upperArm_Link,medium,0.201912523
0.080000,0.177307470,upperArm_Link,medium,0.202136786
0.120000,0.176330645,upperArm_Link,medium,0.202361049
0.160000,0.175431510,upperArm_Link,medium,0.202585312
0.200000,0.174467247,upperArm_Link,medium,0.202809575
0.240000,0.173464228,upperArm_Link,medium,0.203033838
0.280000,0.172443041,upperArm_Link,medium,0.203258101
0.320000,0.171355702,upperArm_Link,medium,0.203482364
0.360000,0.170162773,upperArm_Link,medium,0.203706627
0.400000,0.168842632,upperArm_Link,medium,0.203930890
0.440000,0.167400544,upperArm_Link,medium,0.204155153
0.480000,0.165872352,upperArm_Link,medium,0.204379417
0.520000,0.164315075,upperArm_Link,medium,0.204603680
0.560000,0.162792509,upperArm_Link,medium,0.204827943
0.600000,0.161361030,upperArm_Link,medium,0.205052206
0.640000,0.160055861,upperArm_Link,medium,0.205276469
0.680000,0.158882397,upperArm_Link,medium,0.205500732
0.720000,0.157820518,upperArm_Link,medium,0.205724995
0.760000,0.156834079,upperArm_Link,medium,0.205949258
0.800000,0.155880996,upperArm_Link,medium,0.206173521
0.840000,0.154923894,upperArm_Link,medium,0.206397784
0.880000,0.153938484,upperArm_Link,medium,0.206622047
0.920000,0.152914816,upperArm_Link,medium,0.206846310
0.960000,0.151855446,upperArm_Link,medium,0.207070573
1.000000,0.150773304,upperArm_Link,medium,0.207294836
