tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.179347133,upperArm_Link,medium,0.201688260
0.039062,0.178379310,upperArm_Link,medium,0.201907267
0.078125,0.177355104,upperArm_Link,medium,0.202126274
0.117188,0.176396779,upperArm_Link,medium,0.202345280
0.156250,0.175512646,upperArm_Link,medium,0.202564287
0.195312,0.174585857,upperArm_Link,medium,0.202783294
0.234375,0.173605238,upperArm_Link,medium,0.203002301
0.273438,0.172613894,upperArm_Link,medium,0.203221308
0.312500,0.171566620,upperArm_Link,medium,0.203440315
0.351562,0.170424613,upperArm_Link,medium,0.203659322
0.390625,0.169163688,upperArm_Link,medium,0.203878329
0.429688,0.167782489,upperArm_Link,medium,0.204097336
0.468750,0.166307805,upperArm_Link,medium,0.204316343
0.507812,0.164788801,upperArm_Link,medium,0.204535349
0.546875,0.163284508,upperArm_Link,medium,0.204754356
0.585938,0.161851100,upperArm_Link,medium,0.204973363
0.625000,0.160529505,upperArm_Link,medium,0.205192370
0.664062,0.159334989,upperArm_Link,medium,0.205411377
0.703125,0.158256959,upperArm_Link,medium,0.205630384
0.742188,0.157266715,upperArm_Link,medium,0.205849391
0.781250,0.156326213,upperArm_Link,medium,0.206068398
0.820312,0.155397347,upperArm_Link,medium,0.206287405
0.859375,0.154451053,upperArm_Link,medium,0.206506412
0.898438,0.153471503,upperArm_Link,medium,0.206725418
0.937500,0.152455186,upperArm_Link,medium,0.206944425
0.976562,0.151409089,upperArm_Link,medium,0.207163432
1.015625,0.150353708,upperArm_Link,medium,0.207382439
1.054688,0.149410642,upperArm_Link,medium,0.207601446
1.093750,0.148531616,upperArm_Link,medium,0.207820453
1.132812,0.147587564,upperArm_Link,medium,0.208039460
1.171875,0.146666359,upperArm_Link,medium,0.208258467
1.210938,0.145650471,upperArm_Link,medium,0.208477474
1.250000,0.144591627,upperArm_Link,medium,0.208696481
