t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.57222337,-0.18524642,1.36334741,-0.02217323,1.57084405,0.57221973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.57222216,-0.18524628,1.36334804,-0.02217294,1.57084424,0.57221791,-0.00035768,0.00004482,0.00018465,0.00008661,0.00005547,-0.00053575,-0.06985383,0.00928195,0.03592430,0.01662412,0.01054640,-0.10370553
0.020000,0.57221405,-0.18524519,1.36335220,-0.02217101,1.57084546,0.57220590,-0.00136423,0.00019141,0.00069895,0.00031908,0.00020046,-0.00200758,-0.12985301,0.02029409,0.06598878,0.02922734,0.01795311,-0.18745323
0.030000,0.57219303,-0.18524206,1.36336292,-0.02216620,1.57084845,0.57217529,-0.00292349,0.00045528,0.00148607,0.00065887,0.00040503,-0.00422301,-0.18047782,0.03267970,0.09054600,0.03814419,0.02250944,-0.25265844
0.040000,0.57215404,-0.18523565,1.36338266,-0.02215759,1.57085367,0.57211955,-0.00494414,0.00084839,0.00249269,0.00107079,0.00064211,-0.00700366,-0.22220850,0.04608207,0.10994853,0.04370920,0.02450471,-0.30073650
0.050000,0.57209290,-0.18522463,1.36341334,-0.02214465,1.57086132,0.57203388,-0.00733962,0.00137912,0.00366903,0.00152300,0.00088755,-0.01018536,-0.25552531,0.06014448,0.12454890,0.04625688,0.02422821,-0.33310274
0.060000,0.57200627,-0.18520759,1.36345645,-0.02212710,1.57087138,0.57191501,-0.01002820,0.00205229,0.00496884,0.00198699,0.00112007,-0.01361806,-0.28090851,0.07451020,0.13469967,0.04612178,0.02196927,-0.35117250
0.070000,0.57189162,-0.18518310,1.36351299,-0.02210495,1.57088362,0.57176113,-0.01293294,0.00286915,0.00634937,0.00243760,0.00132129,-0.01716588,-0.29883836,0.08882251,0.14075341,0.04363840,0.01801717,-0.35636112
0.080000,0.57174713,-0.18514974,1.36358357,-0.02207846,1.57089765,0.57157172,-0.01598172,0.00382737,0.00777142,0.00285304,0.00147573,-0.02070707,-0.30979511,0.10272469,0.14306265,0.03914128,0.01266124,-0.35008395
0.090000,0.57157173,-0.18510611,1.36366844,-0.02204807,1.57091293,0.57134738,-0.01910720,0.00492108,0.00919932,0.00321483,0.00157080,-0.02413405,-0.31425903,0.11586003,0.14197997,0.03296494,0.00619079,-0.33375631
0.100000,0.57136494,-0.18505090,1.36376747,-0.02201439,1.57092883,0.57108973,-0.02224686,0.00614083,0.01060089,0.00350786,0.00159680,-0.02735341,-0.31271036,0.12787180,0.13785790,0.02544390,-0.00110489,-0.30879355
0.110000,0.57112694,-0.18498291,1.36388027,-0.02197818,1.57094462,0.57080126,-0.02534297,0.00747359,0.01194752,0.00372034,0.00154692,-0.03028586,-0.30562938,0.13840328,0.13104901,0.01691269,-0.00893649,-0.27661102
0.120000,0.57085841,-0.18490110,1.36400615,-0.02194028,1.57095951,0.57048519,-0.02834261,0.00890277,0.01321409,0.00384386,0.00141725,-0.03286628,-0.29349633,0.14709776,0.12190585,0.00770583,-0.01701469,-0.23862403
0.130000,0.57056057,-0.18480460,1.36414421,-0.02190162,1.57097269,0.57014528,-0.03119766,0.01040823,0.01437903,0.00387332,0.00120677,-0.03504371,-0.27679147,0.15359850,0.11078097,-0.00184215,-0.02505018,-0.19624794
