frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
99,12.813548,1,1,0.792932,-0.258027,0.401350,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.137398,0.176246,0.231246,0.137398,0.022362,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
100,12.963679,1,2,0.791473,-0.262454,0.394402,0.000000,0.055178,0.055178,0.063889,-0.009622,-0.029194,-0.045823,0.137124,0.174680,0.229680,0.137124,0.023071,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
101,13.118557,1,3,0.777406,-0.267293,0.401782,0.010040,0.059078,0.059078,0.066270,-0.050716,-0.030268,0.001409,0.137145,0.172293,0.227293,0.137145,0.022203,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
102,13.274318,1,4,0.774989,-0.284901,0.403455,0.022251,0.070914,0.070914,0.073165,-0.039294,-0.058852,0.004610,0.141729,0.168031,0.223031,0.141729,0.018990,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
103,13.425713,1,5,0.764560,-0.286445,0.402129,0.030710,0.065584,0.065584,0.043338,-0.046328,-0.046404,0.001271,0.138781,0.162182,0.217182,0.138781,0.025122,0,0,0,0,"speed_ok,valid_streak_not_ready"
104,13.596994,1,6,0.763141,-0.279089,0.396678,0.000000,0.052442,0.052442,0.061241,-0.045115,-0.026489,0.003624,0.136838,0.159535,0.214535,0.136838,0.027254,0,0,0,0,"speed_ok,valid_streak_not_ready"
105,13.760802,1,7,0.753443,-0.276150,0.396361,0.011247,0.040922,0.040922,0.090974,-0.037548,-0.013879,-0.008493,0.143604,0.166228,0.221228,0.143604,0.028847,0,0,0,0,"speed_ok,valid_streak_not_ready"
106,13.922225,1,8,0.739660,-0.280628,0.397328,0.023756,0.055738,0.055738,0.098032,-0.054532,0.006595,-0.009458,0.142826,0.161150,0.216150,0.142826,0.037352,0,0,0,0,"speed_ok,valid_streak_not_ready"
107,14.078107,1,9,0.753905,-0.286560,0.403843,0.000000,0.016627,0.016627,0.063446,-0.016415,-0.000176,0.002641,0.136919,0.158912,0.213912,0.136919,0.024479,0,0,0,0,"speed_ok,valid_streak_not_ready"
108,14.237712,1,10,0.741708,-0.281003,0.399492,0.000000,0.033858,0.033858,0.051461,-0.033439,-0.002986,0.004390,0.140213,0.163721,0.218721,0.140213,0.029085,0,0,0,0,"speed_ok,valid_streak_not_ready"
109,14.395478,1,11,0.727664,-0.284737,0.398497,0.014409,0.042837,0.042837,0.060549,-0.040517,-0.013495,0.003356,0.141570,0.162329,0.217329,0.141570,0.031190,0,0,0,0,"speed_ok,valid_streak_not_ready"
110,14.545492,1,12,0.740071,-0.286956,0.399013,0.000000,0.010454,0.010454,0.058033,0.000655,-0.010082,0.002685,0.138583,0.163617,0.218617,0.138583,0.021197,0,0,0,0,"speed_ok,valid_streak_not_ready"
111,14.696086,1,13,0.723764,-0.286058,0.396773,0.012335,0.050026,0.050026,0.051155,-0.048697,0.000811,-0.011423,0.141802,0.162261,0.217261,0.141802,0.027540,0,0,0,0,"speed_ok,valid_streak_not_ready"
112,14.848121,1,14,0.726351,-0.286633,0.379851,0.019627,0.041731,0.041731,0.032656,-0.025073,-0.009192,-0.032068,0.135959,0.169934,0.224934,0.135959,0.038954,0,0,0,0,"speed_ok,valid_streak_not_ready"
113,15.003177,1,15,0.698268,-0.291853,0.387716,0.034067,0.052812,0.052812,0.094659,-0.048350,-0.011704,-0.017732,0.144305,0.179792,0.234792,0.144305,0.038235,0,0,0,0,"speed_ok,valid_streak_not_ready"
114,15.149075,1,16,0.702812,-0.286523,0.396330,0.035371,0.061995,0.061995,0.073523,-0.061831,0.000718,-0.004453,0.137338,0.166170,0.221170,0.137338,0.031471,0,0,0,0,"speed_ok,valid_streak_not_ready"
115,15.303396,1,17,0.692476,-0.290952,0.393878,0.039176,0.052155,0.052155,0.063725,-0.051315,-0.008026,-0.004748,0.143877,0.171453,0.226453,0.143877,0.032571,0,0,0,0,"speed_ok,valid_streak_not_ready"
116,15.465569,1,18,0.683663,-0.291109,0.392148,0.042319,0.072427,0.072427,0.074939,-0.069246,-0.007262,0.019948,0.144992,0.166676,0.221676,0.144992,0.029565,0,0,0,0,"speed_ok,valid_streak_not_ready"
117,15.615372,1,19,0.681154,-0.291230,0.396855,0.042019,0.031692,0.031692,0.075870,-0.027942,0.001017,0.014920,0.138133,0.168687,0.223687,0.138133,0.027399,0,0,0,0,"speed_ok,valid_streak_not_ready"
118,15.767790,1,20,0.671901,-0.291236,0.390168,0.043585,0.051540,0.051540,0.070896,-0.049990,-0.007622,-0.009966,0.141747,0.174939,0.229939,0.141747,0.028522,0,0,0,0,"speed_ok,valid_streak_not_ready"
119,15.941548,1,21,0.669947,-0.295102,0.388696,0.041199,0.037524,0.037524,0.043644,-0.035994,-0.006631,-0.008279,0.141862,0.172040,0.227040,0.141862,0.023906,0,0,0,0,"speed_ok,valid_streak_not_ready"
120,16.085170,1,22,0.655416,-0.291395,0.391198,0.044816,0.045548,0.045548,0.071988,-0.045520,-0.000461,-0.001532,0.143236,0.170121,0.225121,0.143236,0.027752,0,0,0,0,"speed_ok,valid_streak_not_ready"
121,16.234954,1,23,0.656874,-0.295043,0.387594,0.042362,0.042397,0.042397,0.042955,-0.039193,-0.006155,-0.014950,0.140543,0.176999,0.231999,0.140543,0.026606,0,0,0,0,"speed_ok,valid_streak_not_ready"
122,16.398052,1,24,0.630283,-0.296975,0.385873,0.052785,0.067953,0.067953,0.087426,-0.066967,-0.009236,-0.006910,0.144202,0.182107,0.237107,0.144202,0.040757,0,0,0,0,"speed_ok,valid_streak_not_ready"
123,16.548391,1,25,0.634482,-0.292445,0.387528,0.050393,0.058119,0.058119,0.058903,-0.057925,0.004339,-0.001908,0.139588,0.169991,0.224991,0.139588,0.035671,0,0,0,0,"speed_ok,valid_streak_not_ready"
124,16.696327,1,26,0.642293,-0.297499,0.390188,0.000000,0.023698,0.023698,0.043774,-0.021436,-0.009969,-0.001650,0.135261,0.168306,0.223306,0.135261,0.023652,0,0,0,0,"speed_ok,valid_streak_not_ready"
125,16.855455,1,27,0.632146,-0.291638,0.389524,0.000000,0.040300,0.040300,0.063380,-0.039805,0.005481,0.003108,0.137124,0.167162,0.222162,0.137124,0.023590,0,0,0,0,"speed_ok,valid_streak_not_ready"
126,17.012482,1,28,0.629222,-0.293995,0.390852,0.000000,0.009530,0.009530,0.049779,-0.001715,0.004815,0.008044,0.135822,0.170370,0.225370,0.135822,0.022220,0,0,0,0,"speed_ok,valid_streak_not_ready"
127,17.161942,1,29,0.617651,-0.299051,0.387693,0.013029,0.029238,0.029238,0.068047,-0.027215,-0.010681,0.000266,0.141080,0.171185,0.226185,0.141080,0.024130,0,0,0,0,"speed_ok,valid_streak_not_ready"
128,17.310056,1,30,0.608969,-0.302873,0.390198,0.024090,0.055020,0.055020,0.066039,-0.054318,-0.008761,0.000017,0.136101,0.169156,0.224156,0.136101,0.025547,0,0,0,0,"speed_ok,valid_streak_not_ready"
129,17.474913,1,31,0.606906,-0.292816,0.382523,0.027271,0.042910,0.042910,0.054227,-0.041307,-0.001929,-0.011458,0.144457,0.169054,0.224054,0.144457,0.024522,0,0,0,0,"speed_ok,valid_streak_not_ready"
130,17.619964,1,32,0.578085,-0.296102,0.386092,0.043772,0.084068,0.084068,0.065156,-0.083636,-0.003446,-0.007785,0.142404,0.178763,0.233763,0.142404,0.041067,1,1,1,0,valid_streak_not_ready
