t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.59074324,-0.19269985,1.35407829,-0.02397423,1.57085502,0.59073228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.59074093,-0.19269929,1.35407935,-0.02397419,1.57085478,0.59073063,-0.00068220,0.00016505,0.00031016,0.00001303,-0.00007019,-0.00048593,-0.13141376,0.03204702,0.05980848,0.00263008,-0.01336550,-0.09405570
0.020000,0.59072571,-0.19269558,1.35408627,-0.02397388,1.57085324,0.59071973,-0.00253148,0.00062231,0.00115334,0.00005304,-0.00025440,-0.00182067,-0.23378797,0.05850594,0.10676754,0.00539137,-0.02285817,-0.16997868
0.030000,0.59068734,-0.19268605,1.35410378,-0.02397303,1.57084944,0.59069197,-0.00526857,0.00131776,0.00240591,0.00012117,-0.00051556,-0.00382935,-0.30934733,0.07974501,0.14184913,0.00824634,-0.02881035,-0.22905582
0.040000,0.59061824,-0.19266859,1.35413537,-0.02397136,1.57084278,0.59064144,-0.00863646,0.00220104,0.00395397,0.00021815,-0.00081991,-0.00634992,-0.36031650,0.09613249,0.16602518,0.01115743,-0.03155433,-0.27257397
0.050000,0.59051329,-0.19264156,1.35418349,-0.02396857,1.57083300,0.59056377,-0.01240035,0.00322547,0.00569331,0.00034438,-0.00113706,-0.00923325,-0.38892018,0.10803663,0.18026765,0.01408710,-0.03142244,-0.30182002
0.060000,0.59036962,-0.19260376,1.35424956,-0.02396438,1.57082009,0.59045602,-0.01634772,0.00434806,0.00752945,0.00049983,-0.00143988,-0.01234304,-0.39738304,0.11582568,0.18554848,0.01699780,-0.02874698,-0.31808081
0.070000,0.59018637,-0.19255440,1.35433412,-0.02395848,1.57080433,0.59031656,-0.02028829,0.00552949,0.00937764,0.00068414,-0.00170462,-0.01555587,-0.38792976,0.11986789,0.18283960,0.01985198,-0.02386028,-0.32264322
0.080000,0.58996444,-0.19249309,1.35443690,-0.02395060,1.57078619,0.59014493,-0.02405401,0.00673415,0.01116285,0.00089656,-0.00191083,-0.01876120,-0.36278502,0.12053151,0.17311297,0.02261210,-0.01709466,-0.31679411
0.090000,0.58970636,-0.19241975,1.35455695,-0.02394046,1.57076636,0.58994169,-0.02749910,0.00793009,0.01281975,0.00113595,-0.00204136,-0.02186134,-0.32417350,0.11818479,0.15734053,0.02524061,-0.00878241,-0.30182035
0.100000,0.58941594,-0.19233461,1.35469268,-0.02392780,1.57074566,0.58970834,-0.03050001,0.00908904,0.01429275,0.00140081,-0.00208243,-0.02477148,-0.27431989,0.11319599,0.13649423,0.02769996,0.00074414,-0.27900880
0.110000,0.58909818,-0.19223817,1.35484204,-0.02391237,1.57072505,0.58944714,-0.03295544,0.01018643,0.01553596,0.00168926,-0.00202354,-0.02741968,-0.21544887,0.10593335,0.11154600,0.02995260,0.01115267,-0.24964634
0.120000,0.58875892,-0.19213116,1.35500252,-0.02389394,1.57070555,0.58916101,-0.03478635,0.01120136,0.01651323,0.00199904,-0.00185754,-0.02974686,-0.14978511,0.09676513,0.08346779,0.03196099,0.02211088,-0.21501982
