tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.127649488,left_link,medium,0.221078713
0.040000,0.126332441,left_link,medium,0.221312432
0.080000,0.124767777,left_link,medium,0.221546151
0.120000,0.122904453,left_link,medium,0.221779870
0.160000,0.120835680,left_link,medium,0.222013589
0.200000,0.118717576,left_link,medium,0.222247308
0.240000,0.116688677,left_link,medium,0.222481027
0.280000,0.114813310,left_link,medium,0.222714746
0.320000,0.113084649,left_link,medium,0.222948465
0.360000,0.111451052,left_link,medium,0.223182184
0.400000,0.109843192,left_link,medium,0.223415903
0.440000,0.108200940,left_link,medium,0.223649622
0.480000,0.106492644,left_link,medium,0.223883341
0.520000,0.104714857,left_link,medium,0.224117060
0.560000,0.102884302,left_link,medium,0.224350779
0.600000,0.101029515,left_link,medium,0.224584498
0.640000,0.099182497,left_link,medium,0.224818218
0.680000,0.097371363,left_link,medium,0.225051937
0.720000,0.095615484,left_link,medium,0.225285656
0.760000,0.093921604,left_link,medium,0.225519375
0.800000,0.092279994,left_link,medium,0.225753094
0.840000,0.090660805,left_link,medium,0.225986813
0.880000,0.089016445,left_link,medium,0.226220532
0.920000,0.087299265,left_link,medium,0.226454251
0.960000,0.085485323,left_link,medium,0.226687970
1.000000,0.083598373,left_link,medium,0.226921689
