frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
9,1.249080,0,1,0,112,0.699473,-0.538442,0.350540,0.118957,0.133637,0.147288,0.245489,
20,2.685965,0,1,0,129,0.697515,-0.537705,0.356010,0.120575,0.141721,0.141945,0.255681,
40,5.295923,0,1,0,136,0.694373,-0.539924,0.330898,0.122184,0.200560,0.155688,0.260873,
63,8.277425,0,1,0,158,0.701740,-0.527700,0.362320,0.139761,0.125691,0.182498,0.254651,
66,8.708096,0,1,0,173,0.703923,-0.519219,0.370021,0.140723,0.126969,0.198967,0.252115,
67,8.863004,0,1,0,202,0.704023,-0.513204,0.364042,0.149631,0.159687,0.218735,0.270862,0.055189
68,9.015697,0,1,0,184,0.704414,-0.512165,0.376724,0.137103,0.121217,0.208105,0.247533,0.081573
69,9.186473,0,1,0,201,0.701298,-0.509109,0.371896,0.146259,0.151321,0.228886,0.256412,0.039403
70,9.338760,0,1,0,208,0.703498,-0.504042,0.374171,0.135793,0.143238,0.220007,0.253579,0.038744
71,9.489789,0,1,0,217,0.702286,-0.502074,0.376556,0.140835,0.159091,0.231546,0.262236,0.021708
72,9.654641,0,1,0,218,0.703324,-0.499934,0.384086,0.134624,0.128103,0.246082,0.253657,0.049051
73,9.799070,0,1,0,250,0.701689,-0.512280,0.371878,0.152998,0.145826,0.303555,0.266051,0.119361
74,9.950210,0,1,0,230,0.699279,-0.505034,0.373380,0.150443,0.174016,0.279697,0.261967,0.050762
75,10.105063,0,1,0,220,0.702184,-0.503155,0.377457,0.146213,0.132715,0.273892,0.248072,0.034568
76,10.259549,0,1,0,265,0.701986,-0.494904,0.379564,0.147230,0.141029,0.282270,0.256289,0.056518
77,10.421896,0,1,0,262,0.697530,-0.489653,0.386533,0.147489,0.141761,0.279400,0.264529,0.059391
78,10.573244,0,1,0,271,0.699198,-0.490368,0.383033,0.149319,0.133125,0.276485,0.252718,0.025508
79,10.729324,0,1,0,281,0.696478,-0.489053,0.380274,0.151758,0.145536,0.312327,0.253157,0.026820
80,10.880951,0,1,0,272,0.699838,-0.484955,0.385671,0.145982,0.146947,0.268892,0.261132,0.049669
81,11.034455,0,1,0,243,0.701515,-0.481722,0.385754,0.143534,0.116600,0.262602,0.255115,0.024098
82,11.186731,0,1,0,274,0.695772,-0.479346,0.392880,0.150855,0.143750,0.276584,0.257443,0.061738
83,11.355868,0,1,0,245,0.701919,-0.473351,0.392695,0.139871,0.128668,0.268294,0.247120,0.050910
