frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.090211,1786451537.911777,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,90.8513,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.188550,1786451538.002666,2459,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,151.5046,0.00000000,0.00001467,1.57080364,0.00000000,1.57079637,0.00000000,0.00000000,0.00014920,0.00003637,0.00000000,0.00000000,0.00000000
2,0.319388,1786451538.154184,2519,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.7186,0.00000000,-0.00112242,1.56981337,-0.00090967,1.57079637,0.00000000,0.00000000,-0.00869082,-0.00756869,-0.00695266,0.00000000,0.00000000
3,0.456444,1786451538.284918,2524,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,124.9439,0.00000000,-0.00743142,1.56336856,-0.00355432,1.57079637,0.00000000,0.00000000,-0.04603241,-0.04702327,-0.01929614,0.00000000,0.00000000
4,0.580505,1786451538.409887,2560,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,136.2236,0.00000000,-0.01997608,1.55077255,-0.00586885,1.57079637,0.00000000,0.00000000,-0.10111706,-0.10153103,-0.01865640,0.00000000,0.00000000
5,0.714300,1786451538.546136,2541,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.5427,0.00000000,-0.04082515,1.52965939,-0.00834843,1.57079637,0.00000000,0.00000000,-0.15582803,-0.15780184,-0.01853267,0.00000000,0.00000000
6,0.850297,1786451538.680704,2640,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.7417,0.00000000,-0.06686448,1.50082493,-0.01089404,1.57079637,0.00000000,0.00000000,-0.19147020,-0.21202311,-0.01871818,0.00000000,0.00000000
7,0.986117,1786451538.813472,2487,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.2223,0.00000000,-0.09419129,1.46606314,-0.01334429,1.57079637,0.00000000,0.00000000,-0.20119821,-0.25593949,-0.01804032,0.00000000,0.00000000
8,1.115043,1786451538.947719,2479,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.4765,0.00000000,-0.12059742,1.43082809,-0.01576518,1.57079637,0.00000000,0.00000000,-0.20481730,-0.27329816,-0.01877753,0.00000000,0.00000000
9,1.249080,1786451539.080220,2460,50000,1,0,0,0.287534,left_link,0,0.699473,-0.538442,0.350540,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.118957,1,0.039218,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.293831,,0,1.000000,SAFE,1,current,50000,151.6690,0.00000000,-0.14798293,1.39656126,-0.01827778,1.57079637,0.00000000,0.00000000,-0.20431179,-0.25565049,-0.01874546,0.00000000,0.00000000
10,1.401535,1786451539.231905,2580,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.3973,0.00000000,-0.17615706,1.36606526,-0.02098112,1.57079637,0.00000000,0.00000000,-0.18480336,-0.20003326,-0.01773206,0.00000000,0.00000000
11,1.529196,1786451539.363318,2541,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.8354,0.00000000,-0.19455586,1.34767020,-0.02346438,1.57079637,0.00000000,0.00000000,-0.14412198,-0.14409268,-0.01945190,0.00000000,0.00000000
12,1.659125,1786451539.492169,2505,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,115.8269,0.00000000,-0.20552695,1.33672106,-0.02578624,1.57079637,0.00000000,0.00000000,-0.08443938,-0.08427044,-0.01787028,0.00000000,0.00000000
13,1.776414,1786451539.608012,2522,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.6532,0.00000000,-0.20942239,1.33276331,-0.02782933,1.57079637,0.00000000,0.00000000,-0.03321234,-0.03374352,-0.01741928,0.00000000,0.00000000
14,1.907667,1786451539.740680,2487,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7226,0.00000000,-0.21019635,1.33210683,-0.02857027,1.57079637,0.00000000,0.00000000,-0.00589664,-0.00500168,-0.00564514,0.00000000,0.00000000
15,2.035785,1786451539.870417,2583,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.8252,0.00000000,-0.21020734,1.33206272,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00008584,-0.00034427,-0.00011452,0.00000000,0.00000000
16,2.172057,1786451540.001257,2494,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590637,0.869488,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,135.0316,0.00053553,-0.21085292,1.33137679,-0.02924519,1.57079637,0.00036680,0.00392987,-0.00473741,-0.00503352,-0.00484504,0.00000000,0.00269169
17,2.303871,1786451540.136315,2552,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.587811,0.864433,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.4286,0.00539934,-0.21554066,1.32650566,-0.03250973,1.57079637,0.00542501,0.03689904,-0.03556333,-0.03695460,-0.02476633,0.00000000,0.03837388
18,2.434355,1786451540.269769,2419,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.580925,0.852908,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,118.3308,0.01692428,-0.22444664,1.31583166,-0.03647854,1.57079637,0.01704899,0.08832480,-0.06825358,-0.08180334,-0.03041614,0.00000000,0.08908380
19,2.556937,1786451540.388116,2504,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.570064,0.835863,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.0502,0.03396961,-0.23373409,1.30278087,-0.04005120,1.57080007,0.03406497,0.13905261,-0.07576527,-0.10646596,-0.02914505,0.00003015,0.13881321
20,2.685965,1786451540.520182,2571,50000,1,0,0,0.307887,left_link,0,0.697515,-0.537705,0.356010,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.554900,0.810451,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.120575,1,0.033612,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.312241,,0,1.000000,SAFE,1,current,50000,149.5546,0.05938170,-0.24381383,1.28815639,-0.04398333,1.57080007,0.05960179,0.19695009,-0.07812051,-0.11334334,-0.03047498,0.00000000,0.19791667
21,2.842786,1786451540.669753,2481,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.528932,0.769226,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.1685,0.10060667,-0.25621909,1.27013171,-0.04879944,1.57080364,0.10089277,0.26287880,-0.07910450,-0.11493780,-0.03071089,0.00002280,0.26329979
22,2.966934,1786451540.799937,2534,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.504441,0.731100,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.9358,0.13873217,-0.26551387,1.25662243,-0.05229507,1.57080364,0.13915031,0.30709681,-0.07486846,-0.10881577,-0.02815693,0.00000000,0.30816037
23,3.096657,1786451540.928888,2412,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.472939,0.682884,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,119.5082,0.18694839,-0.27561563,1.24200165,-0.05625654,1.57080364,0.18755360,0.37168484,-0.07787157,-0.11270735,-0.03053782,0.00000000,0.37312690
24,3.220386,1786451541.048412,2249,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.438457,0.630945,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.9992,0.23888767,-0.28530288,1.22790897,-0.05999427,1.57080734,0.23956257,0.41978314,-0.07829416,-0.11389975,-0.03020898,0.00002987,0.42034641
25,3.348936,1786451541.178427,2235,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.400469,0.574567,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.3361,0.29526526,-0.29537162,1.21325529,-0.06381269,1.57081473,0.29609054,0.43856674,-0.07832574,-0.11399242,-0.02970388,0.00005750,0.43973658
26,3.478210,1786451541.308779,2206,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.361785,0.517871,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,120.7546,0.35196197,-0.30546239,1.19865656,-0.06777782,1.57081473,0.35280192,0.43857761,-0.07805717,-0.11292850,-0.03067229,0.00000000,0.43869103
27,3.596237,1786451541.429549,2218,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.327233,0.467674,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.2530,0.40215892,-0.31437567,1.18571937,-0.07118542,1.57081831,0.40302458,0.42529987,-0.07551886,-0.10961194,-0.02887136,0.00003030,0.42551778
28,3.726672,1786451541.557827,2304,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.287977,0.410955,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.5627,0.45887762,-0.32445541,1.17102528,-0.07509554,1.57081831,0.45973596,0.43484268,-0.07727789,-0.11265453,-0.02997751,0.00000000,0.43478648
29,3.856834,1786451541.687405,2363,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.248638,0.354240,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.3263,0.51559269,-0.33453518,1.15639353,-0.07902767,1.57081831,0.51643997,0.43572726,-0.07744028,-0.11241195,-0.03020951,0.00000000,0.43564231
30,3.984442,1786451541.817747,2428,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.209345,0.297514,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.2544,0.57231879,-0.34459290,1.14177275,-0.08284975,1.57082200,0.57315874,0.44453532,-0.07881753,-0.11457607,-0.02995182,0.00002896,0.44447787
