tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.095581074,left_link,medium,0.221539720
0.040000,0.093142707,left_link,medium,0.221894121
0.080000,0.089549812,left_link,medium,0.222248522
0.120000,0.085129194,left_link,medium,0.222602923
0.160000,0.081159495,left_link,medium,0.222957324
0.200000,0.079114592,left_link,medium,0.223311725
0.240000,0.079924657,left_link,medium,0.223666126
0.280000,0.083481226,left_link,medium,0.224020527
0.320000,0.088775686,left_link,medium,0.224374929
0.360000,0.094286499,left_link,medium,0.224729330
0.400000,0.098227019,left_link,medium,0.225083731
0.440000,0.099805644,left_link,medium,0.225438132
0.480000,0.098742629,left_link,medium,0.225792533
0.520000,0.095495199,left_link,medium,0.226146934
0.560000,0.090957922,left_link,medium,0.226501335
0.600000,0.086138886,left_link,medium,0.226855736
0.640000,0.081835517,left_link,medium,0.227210138
0.680000,0.078411335,left_link,medium,0.227564539
0.720000,0.075832784,left_link,medium,0.227918940
0.760000,0.073813345,left_link,medium,0.228273341
0.800000,0.071970168,left_link,medium,0.228627742
0.840000,0.069987348,left_link,medium,0.228982143
0.880000,0.067731711,left_link,medium,0.229336544
0.920000,0.065234621,left_link,medium,0.229690946
0.960000,0.062616418,left_link,medium,0.230045347
1.000000,0.060002031,left_link,medium,0.230399748
