frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
71,9.496803,1,1,0.719739,-0.503633,0.389338,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.137475,0.158449,0.213449,0.137475,0.030898,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
74,9.912329,1,2,0.700202,-0.506015,0.389736,0.000000,0.047841,0.047841,0.035153,-0.047480,-0.005790,0.000967,0.130579,0.157685,0.212685,0.130579,0.029344,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
76,10.187920,1,3,0.715121,-0.489285,0.385114,0.000000,0.022530,0.022530,0.025281,-0.006647,0.020651,-0.006080,0.137094,0.160182,0.215182,0.137094,0.017115,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
77,10.341709,1,4,0.726289,-0.487973,0.387237,0.000000,0.020174,0.020174,0.033567,0.007725,0.018470,-0.002479,0.135083,0.155868,0.210868,0.135083,0.015347,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
79,10.638826,1,5,0.716810,-0.496588,0.388729,0.000000,0.006694,0.006694,0.025435,-0.002561,0.006161,-0.000533,0.136828,0.163487,0.218487,0.136828,0.026031,0,0,0,0,"speed_ok,valid_streak_not_ready"
80,10.791387,1,6,0.693062,-0.483057,0.381997,0.016428,0.028433,0.028433,0.122718,-0.008038,0.025844,-0.008712,0.141657,0.166048,0.221048,0.141657,0.026416,0,0,0,0,"speed_ok,valid_streak_not_ready"
81,10.941746,1,7,0.704463,-0.473861,0.369396,0.024452,0.032314,0.032314,0.034689,-0.014077,0.020373,-0.020760,0.140757,0.188515,0.243515,0.140757,0.020752,0,0,0,0,"speed_ok,valid_streak_not_ready"
82,11.086985,1,8,0.693412,-0.499069,0.336217,0.041650,0.082564,0.082564,0.100823,-0.043993,-0.014847,-0.068271,0.162939,0.207981,0.262981,0.162939,0.045581,1,1,1,0,valid_streak_not_ready
83,11.249376,1,9,0.697361,-0.473231,0.355260,0.038942,0.073865,0.073865,0.104496,-0.031776,0.038160,-0.054682,0.151059,0.205932,0.260932,0.151059,0.030698,2,1,1,1,
84,11.407918,1,10,0.693680,-0.483943,0.390394,0.020654,0.013688,0.013688,0.081953,0.000999,-0.001432,0.013576,0.145283,0.187751,0.242751,0.145283,0.026492,3,1,1,1,
85,11.565103,1,11,0.688263,-0.473778,0.365788,0.023938,0.026581,0.026581,0.047898,-0.025944,0.000133,-0.005779,0.147639,0.202196,0.257196,0.147639,0.032489,4,1,1,1,
86,11.738998,1,12,0.690140,-0.468711,0.360876,0.000000,0.060337,0.060337,0.032179,-0.005031,0.046670,0.037910,0.151687,0.202104,0.257104,0.151687,0.034509,5,1,1,1,
87,11.912390,1,13,0.695174,-0.456734,0.384980,0.014367,0.051457,0.051457,0.036562,-0.003305,0.024922,0.044898,0.148130,0.194061,0.249061,0.148130,0.025747,6,1,1,1,
88,12.065617,1,14,0.696468,-0.445065,0.346082,0.024219,0.089678,0.089678,0.091743,0.004236,0.059077,-0.067336,0.154859,0.217166,0.272166,0.154859,0.038367,7,1,1,1,
89,12.220619,1,15,0.699509,-0.443804,0.378745,0.027639,0.052777,0.052777,0.109611,0.017186,0.045804,0.019800,0.146094,0.200510,0.255510,0.146094,0.021223,8,1,1,1,
90,12.398139,1,16,0.704790,-0.447681,0.392079,0.028723,0.061442,0.061442,0.062004,0.022292,0.031999,0.047478,0.140911,0.193953,0.248953,0.140911,0.013218,9,1,1,1,
91,12.555201,1,17,0.701402,-0.460224,0.393171,0.024549,0.016821,0.016821,0.089438,0.009641,-0.005404,0.012680,0.144963,0.190463,0.245463,0.144963,0.027481,10,1,1,1,
92,12.710483,1,18,0.689194,-0.451642,0.392236,0.023485,0.073161,0.073161,0.059548,-0.011278,-0.010198,0.071563,0.146222,0.185914,0.240914,0.146222,0.030314,11,1,1,1,
93,12.882799,1,19,0.705827,-0.441849,0.390772,0.023563,0.020769,0.020769,0.021041,0.009560,0.002958,0.018200,0.142053,0.184403,0.239403,0.142053,0.014532,12,1,1,1,
94,13.054004,1,20,0.700080,-0.445645,0.391062,0.000000,0.007951,0.007951,0.130109,-0.007159,0.003095,-0.001545,0.145428,0.186330,0.241330,0.145428,0.032792,13,1,1,1,
95,13.197954,1,21,0.694889,-0.440008,0.386858,0.000000,0.034482,0.034482,0.018342,-0.010135,0.031460,-0.009825,0.145336,0.187131,0.242131,0.145336,0.033762,0,0,0,0,"speed_ok,valid_streak_not_ready"
96,13.354217,1,22,0.686170,-0.423055,0.384339,0.015289,0.046492,0.046492,0.084953,-0.004715,0.044583,-0.012316,0.147149,0.184004,0.239004,0.147149,0.034263,0,0,0,0,"speed_ok,valid_streak_not_ready"
97,13.515466,1,23,0.689568,-0.419984,0.383099,0.022300,0.045091,0.045091,0.053668,-0.025899,0.034829,-0.012223,0.147950,0.181063,0.236063,0.147950,0.038358,0,0,0,0,"speed_ok,valid_streak_not_ready"
98,13.673238,1,24,0.690619,-0.425252,0.379007,0.000000,0.041065,0.041065,0.113582,-0.015230,0.032830,-0.019407,0.148694,0.181041,0.236041,0.148694,0.030979,0,0,0,0,"speed_ok,valid_streak_not_ready"
99,13.843114,1,25,0.705288,-0.415314,0.388800,0.011396,0.041812,0.041812,0.096440,0.016185,0.038434,0.003023,0.143189,0.180634,0.235634,0.143189,0.024003,0,0,0,0,"speed_ok,valid_streak_not_ready"
100,13.993654,1,26,0.683103,-0.412885,0.387658,0.015025,0.017588,0.017588,0.076768,-0.004848,0.016072,0.005246,0.146045,0.185462,0.240462,0.146045,0.035039,0,0,0,0,"speed_ok,valid_streak_not_ready"
101,14.150903,1,27,0.697986,-0.401420,0.375445,0.022060,0.034252,0.034252,0.079554,0.013243,0.029204,-0.012040,0.148234,0.194821,0.249821,0.148234,0.030831,0,0,0,0,"speed_ok,valid_streak_not_ready"
102,14.303143,1,28,0.693577,-0.394037,0.384502,0.027947,0.050557,0.050557,0.052110,0.004697,0.049576,0.008727,0.149412,0.184824,0.239824,0.149412,0.028104,0,0,0,0,"speed_ok,valid_streak_not_ready"
103,14.459775,1,29,0.685139,-0.389350,0.384596,0.031459,0.053501,0.053501,0.076839,-0.032535,0.041926,-0.006788,0.152763,0.197522,0.252522,0.152763,0.032939,0,0,0,0,"speed_ok,valid_streak_not_ready"
104,14.618101,1,30,0.691380,-0.378889,0.380979,0.035830,0.056387,0.056387,0.068624,0.013102,0.053815,-0.010573,0.145461,0.189492,0.244492,0.145461,0.030627,0,0,0,0,"speed_ok,valid_streak_not_ready"
105,14.776411,1,31,0.700256,-0.380289,0.386020,0.034211,0.037824,0.037824,0.012626,0.003616,0.033670,0.016849,0.146596,0.187880,0.242880,0.146596,0.023786,0,0,0,0,"speed_ok,valid_streak_not_ready"
106,14.949684,1,32,0.671740,-0.372250,0.375253,0.035453,0.050128,0.050128,0.026772,-0.033991,0.033913,-0.014396,0.148799,0.186042,0.241042,0.148799,0.045704,0,0,0,0,"speed_ok,valid_streak_not_ready"
107,15.111330,1,33,0.695519,-0.367363,0.391499,0.034274,0.039218,0.039218,0.074808,0.016106,0.034117,0.010711,0.142501,0.189978,0.244978,0.142501,0.025546,0,0,0,0,"speed_ok,valid_streak_not_ready"
108,15.252273,1,34,0.681637,-0.369742,0.389661,0.000000,0.025120,0.025120,0.057220,-0.015357,0.014418,0.013686,0.144993,0.188654,0.243654,0.144993,0.038184,0,0,0,0,"speed_ok,valid_streak_not_ready"
109,15.396407,1,35,0.692862,-0.360863,0.379845,0.011306,0.034799,0.034799,0.038569,-0.011866,0.031176,-0.009909,0.152169,0.187999,0.242999,0.152169,0.033180,0,0,0,0,"speed_ok,valid_streak_not_ready"
110,15.552294,1,36,0.677643,-0.360449,0.389732,0.014587,0.032378,0.032378,0.011698,0.009757,0.019506,0.023930,0.153076,0.188761,0.243761,0.153076,0.035474,0,0,0,0,"speed_ok,valid_streak_not_ready"
111,15.707337,1,37,0.692128,-0.352374,0.382887,0.019088,0.029140,0.029140,0.036308,-0.005608,0.024795,-0.014245,0.145423,0.191690,0.246690,0.145423,0.026987,0,0,0,0,"speed_ok,valid_streak_not_ready"
112,15.873377,1,38,0.681513,-0.349851,0.379396,0.000000,0.036126,0.036126,0.033182,-0.000200,0.032103,-0.016567,0.147318,0.187812,0.242812,0.147318,0.034772,0,0,0,0,"speed_ok,valid_streak_not_ready"
113,16.026225,1,39,0.686884,-0.356378,0.391456,0.000000,0.021964,0.021964,0.032692,-0.009509,0.007134,0.018469,0.143998,0.184589,0.239589,0.143998,0.029863,0,0,0,0,"speed_ok,valid_streak_not_ready"
114,16.175977,1,40,0.681706,-0.350101,0.384256,0.000000,0.019770,0.019770,0.070611,0.006482,0.016508,-0.008737,0.145088,0.188019,0.243019,0.145088,0.037137,0,0,0,0,"speed_ok,valid_streak_not_ready"
115,16.322797,1,41,0.666276,-0.365595,0.370924,0.015736,0.051194,0.051194,0.111431,-0.042143,-0.021552,-0.019502,0.157194,0.197167,0.252167,0.157194,0.050313,0,0,0,0,"speed_ok,valid_streak_not_ready"
116,16.475430,1,42,0.684761,-0.354474,0.385368,0.000000,0.013615,0.013615,0.068030,0.005379,-0.007656,0.009891,0.148441,0.199671,0.254671,0.148441,0.032181,0,0,0,0,"speed_ok,valid_streak_not_ready"
117,16.631017,1,43,0.685211,-0.358790,0.393937,0.000000,0.006382,0.006382,0.040318,-0.002779,-0.004006,0.004119,0.144551,0.194739,0.249739,0.144551,0.034688,0,0,0,0,"speed_ok,valid_streak_not_ready"
118,16.785257,1,44,0.690938,-0.345376,0.383567,0.000000,0.017105,0.017105,0.042019,0.015193,0.007777,-0.001133,0.147295,0.191650,0.246650,0.147295,0.030317,0,0,0,0,"speed_ok,valid_streak_not_ready"
119,16.943794,1,45,0.693066,-0.343801,0.395752,0.000000,0.068394,0.068394,0.023721,0.043079,0.035044,0.039924,0.143267,0.190278,0.245278,0.143267,0.024542,0,0,0,0,"speed_ok,valid_streak_not_ready"
120,17.104147,1,46,0.689619,-0.331754,0.387591,0.011092,0.037323,0.037323,0.040644,0.007770,0.036332,0.003555,0.139815,0.187890,0.242890,0.139815,0.027892,0,0,0,0,"speed_ok,valid_streak_not_ready"
121,17.253819,1,47,0.692503,-0.334732,0.386996,0.000000,0.041635,0.041635,0.044530,0.011642,0.038408,-0.011081,0.146320,0.193614,0.248614,0.146320,0.027263,0,0,0,0,"speed_ok,valid_streak_not_ready"
122,17.406990,1,48,0.683527,-0.334815,0.384030,0.000000,0.020742,0.020742,0.021588,-0.011907,0.016968,0.000743,0.142435,0.195699,0.250699,0.142435,0.035250,0,0,0,0,"speed_ok,valid_streak_not_ready"
123,17.571487,1,49,0.668804,-0.336845,0.381961,0.011294,0.046400,0.046400,0.044262,-0.039141,0.011223,-0.022248,0.150183,0.198065,0.253065,0.150183,0.045539,0,0,0,0,"speed_ok,valid_streak_not_ready"
124,17.727526,1,50,0.675534,-0.322707,0.383074,0.015452,0.027767,0.027767,0.050658,-0.022556,0.014488,-0.007235,0.148997,0.190889,0.245889,0.148997,0.037860,0,0,0,0,"speed_ok,valid_streak_not_ready"
125,17.878781,1,51,0.689008,-0.321509,0.386597,0.014883,0.021943,0.021943,0.047840,-0.005605,0.021205,-0.000640,0.145868,0.203039,0.258039,0.145868,0.030182,0,0,0,0,"speed_ok,valid_streak_not_ready"
126,18.032228,1,52,0.687251,-0.309426,0.390904,0.022641,0.042514,0.042514,0.054779,0.005959,0.040631,0.011001,0.145210,0.192481,0.247481,0.145210,0.027149,0,0,0,0,"speed_ok,valid_streak_not_ready"
127,18.188321,1,53,0.687142,-0.296753,0.380876,0.031742,0.070748,0.070748,0.083569,0.029418,0.064318,-0.001740,0.144707,0.192297,0.247297,0.144707,0.030014,0,0,0,0,"speed_ok,valid_streak_not_ready"
128,18.340669,1,54,0.695613,-0.282804,0.391271,0.042231,0.073843,0.073843,0.071913,0.032647,0.064879,0.013328,0.143567,0.191541,0.246541,0.143567,0.018391,0,0,0,0,"speed_ok,valid_streak_not_ready"
129,18.503141,1,55,0.688274,-0.263069,0.391801,0.054520,0.095090,0.095090,0.089850,-0.001190,0.094708,0.008433,0.147612,0.190113,0.245113,0.147612,0.019539,1,1,1,0,valid_streak_not_ready
