frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.191954,0,1,0,178,0.636467,-0.579769,0.369671,0.122031,0.156307,0.164646,0.202680,
2,0.346159,0,1,0,160,0.638908,-0.578484,0.378336,0.114176,0.154824,0.150633,0.210396,0.052870
3,0.492674,0,1,0,172,0.644679,-0.579949,0.368191,0.117157,0.152429,0.159987,0.206187,0.080642
4,0.644845,0,1,0,183,0.641224,-0.578749,0.365083,0.119040,0.185232,0.167865,0.206023,0.031075
5,0.793553,0,1,0,170,0.644962,-0.580261,0.379616,0.109107,0.130598,0.144609,0.197554,0.100460
6,0.958051,0,1,0,183,0.639973,-0.578476,0.373107,0.116602,0.149584,0.149925,0.208811,0.054526
7,1.105570,0,1,0,184,0.640503,-0.578468,0.364703,0.121050,0.168820,0.153200,0.214603,0.053308
8,1.254425,0,1,0,159,0.646703,-0.579618,0.370739,0.116099,0.147176,0.150351,0.194395,0.059208
9,1.397422,0,1,0,180,0.643341,-0.580437,0.369931,0.114030,0.162569,0.135138,0.199330,0.025103
10,1.538809,0,1,0,173,0.639701,-0.576851,0.365442,0.115787,0.147314,0.164281,0.215064,0.046224
11,1.692049,0,1,0,177,0.639456,-0.576996,0.367918,0.116356,0.173814,0.153467,0.208293,0.016555
12,1.859078,0,1,0,169,0.639762,-0.576789,0.364310,0.120740,0.159516,0.169191,0.207699,0.022439
13,2.015150,0,1,0,187,0.634813,-0.575637,0.378405,0.114539,0.140142,0.135460,0.199490,0.094176
14,2.166579,0,1,0,186,0.640374,-0.581273,0.374301,0.118842,0.147849,0.165564,0.207258,0.058203
15,2.314753,0,1,0,172,0.644937,-0.581363,0.365144,0.115582,0.164238,0.155094,0.206431,0.068537
16,2.465759,0,1,0,167,0.640576,-0.574978,0.367127,0.119076,0.173144,0.162024,0.218167,0.053453
17,2.629976,0,1,0,168,0.645088,-0.579995,0.372409,0.118155,0.133510,0.159655,0.200435,0.053907
18,2.775036,0,1,0,181,0.640763,-0.578589,0.369345,0.118481,0.157873,0.152135,0.208410,0.036251
19,2.929640,0,1,0,174,0.646750,-0.578478,0.369383,0.114023,0.137914,0.168359,0.202962,0.038900
20,3.082480,0,1,0,158,0.643592,-0.579111,0.368528,0.117393,0.134047,0.156016,0.212505,0.021720
21,3.233616,0,1,0,173,0.643279,-0.576394,0.367471,0.118590,0.158350,0.156853,0.205189,0.019697
22,3.385842,0,1,0,169,0.641727,-0.579475,0.368444,0.122038,0.159259,0.167763,0.219628,0.023323
23,3.542089,0,1,0,165,0.633842,-0.578016,0.376204,0.117752,0.152305,0.160863,0.204169,0.072913
24,3.695060,0,1,0,182,0.636055,-0.579245,0.378821,0.116011,0.147984,0.162975,0.197084,0.023337
25,3.845682,0,1,0,178,0.644036,-0.580996,0.364187,0.124602,0.151927,0.172212,0.212997,0.110261
26,4.007100,0,1,0,184,0.637074,-0.578056,0.364572,0.123677,0.194177,0.162105,0.212158,0.050307
27,4.156201,0,1,0,173,0.639226,-0.583238,0.380631,0.114528,0.140438,0.175645,0.190438,0.107875
28,4.309360,0,1,0,183,0.643371,-0.579547,0.362929,0.121239,0.156976,0.160109,0.207413,0.122859
