frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092360,1786454303.832672,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,93.5302,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.191954,1786454303.926231,2542,50000,2,0,0,0.306908,left_link,0,0.636467,-0.579769,0.369671,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.122031,1,0.022932,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.314452,,0,1.000000,SAFE,1,current,50000,171.9801,0.00000000,0.00000734,1.57080734,-0.00000367,1.57079637,0.00000000,0.00000000,0.00007366,0.00007301,-0.00003683,0.00000000,0.00000000
2,0.346159,1786454304.098228,2586,50000,2,0,0,0.304089,left_link,0,0.638908,-0.578484,0.378336,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.076641,-0.011019,-0.004346,0.075720,0.114176,2,0.025434,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.315059,,0,1.000000,SAFE,1,current,50000,145.8567,0.00000000,-0.00216780,1.56876063,-0.00155891,1.57079637,0.00000000,0.00000000,-0.01410551,-0.01327261,-0.01008556,0.00000000,0.00000000
3,0.492674,1786454304.244100,2587,50000,1,1,0,0.306228,left_link,0,0.644679,-0.579949,0.368191,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.019969,-0.003839,-0.016597,0.010420,0.117157,3,0.030906,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.313562,,0,1.000000,SAFE,1,current,50000,154.4253,0.00000000,-0.01120583,1.55957222,-0.00441264,1.57079637,0.00000000,0.00000000,-0.06168672,-0.06271318,-0.01947738,0.00000000,0.00000000
4,0.644845,1786454304.398552,2625,50000,1,1,0,0.302393,left_link,0,0.641224,-0.578749,0.365083,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.008431,-0.000379,0.007699,-0.003414,0.119040,4,0.025594,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.304695,,0,1.000000,SAFE,1,current,50000,150.1154,0.00000000,-0.02994945,1.54079914,-0.00710864,1.57079637,0.00000000,0.00000000,-0.12317426,-0.12336783,-0.01771684,0.00000000,0.00000000
5,0.793553,1786454304.548683,2669,50000,1,1,0,0.299706,left_link,0,0.644962,-0.580261,0.379616,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.037092,0.031994,0.011070,0.015154,0.109107,5,0.014801,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.013710,0.000000,0.311076,,0,1.000000,SAFE,1,current,50000,153.9093,0.00000000,-0.05691679,1.51234639,-0.00995136,1.57080007,0.00000000,0.00000000,-0.18134481,-0.19133361,-0.01911619,0.00002485,0.00000000
6,0.958051,1786454304.702609,2634,50000,1,1,0,0.297323,left_link,0,0.639973,-0.578476,0.373107,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.024774,0.015713,0.015366,-0.011434,0.116602,6,0.017655,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.307536,,0,1.000000,SAFE,1,current,50000,157.9463,0.00000000,-0.09018214,1.47144413,-0.01296648,1.57079637,0.00000000,0.00000000,-0.20222309,-0.24864856,-0.01832918,-0.00002247,0.00000000
7,1.105570,1786454304.860575,2583,50000,2,1,0,0.293437,left_link,0,0.640503,-0.578468,0.364703,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.013281,-0.000355,0.013257,-0.000724,0.121050,7,0.024949,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.305948,,0,1.000000,SAFE,1,current,50000,147.4201,0.00000000,-0.12064511,1.43082809,-0.01576518,1.57079637,0.00000000,0.00000000,-0.20650207,-0.27532761,-0.01897184,0.00000000,0.00000000
8,1.254425,1786454305.008007,2572,50000,1,1,0,0.294513,left_link,0,0.646703,-0.579618,0.370739,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.016397,0.011201,0.005297,0.010740,0.116099,8,0.023982,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.308873,,0,1.000000,SAFE,1,current,50000,141.5633,0.00000000,-0.15104939,1.39307666,-0.01854555,1.57079637,0.00000000,0.00000000,-0.20425477,-0.25361264,-0.01867839,0.00000000,0.00000000
9,1.397422,1786454305.149601,2567,50000,1,1,0,0.290639,left_link,0,0.643341,-0.580437,0.369931,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.037072,-0.034958,0.001837,-0.012205,0.114030,9,0.028965,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.305612,,0,1.000000,SAFE,1,current,50000,147.1037,0.00000000,-0.17704470,1.36522174,-0.02106915,1.57079637,0.00000000,0.00000000,-0.18178871,-0.19479318,-0.01764789,0.00000000,0.00000000
