tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.094759743,left_link,medium,0.204928413
0.040000,0.092240466,left_link,medium,0.205288808
0.080000,0.088458941,left_link,medium,0.205649202
0.120000,0.083734891,left_link,medium,0.206009597
0.160000,0.079406115,left_link,medium,0.206369992
0.200000,0.077024910,left_link,medium,0.206730387
0.240000,0.077567662,left_link,medium,0.207090782
0.280000,0.080917098,left_link,medium,0.207451176
0.320000,0.086038430,left_link,medium,0.207811571
0.360000,0.091433690,left_link,medium,0.208171966
0.400000,0.095618397,left_link,medium,0.208532361
0.440000,0.097601258,left_link,medium,0.208892756
0.480000,0.097193314,left_link,medium,0.209253150
0.520000,0.094756948,left_link,medium,0.209613545
0.560000,0.090796933,left_link,medium,0.209973940
0.600000,0.086676548,left_link,medium,0.210334335
0.640000,0.083123707,left_link,medium,0.210694730
0.680000,0.080389801,left_link,medium,0.211055124
0.720000,0.078320630,left_link,medium,0.211415519
0.760000,0.076540617,left_link,medium,0.211775914
0.800000,0.074640899,left_link,medium,0.212136309
0.840000,0.072363801,left_link,medium,0.212496703
0.880000,0.069713965,left_link,medium,0.212857098
0.920000,0.066884135,left_link,medium,0.213217493
0.960000,0.064107586,left_link,medium,0.213577888
1.000000,0.061503691,left_link,medium,0.213938283
