t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.55986577,-0.18069440,1.36891544,-0.02105815,1.57087326,0.55985844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.55985952,-0.18069610,1.36892092,-0.02106214,1.57086777,0.55985654,-0.00183441,-0.00049753,0.00160692,-0.00117043,-0.00161161,-0.00056098,-0.35098874,-0.09497241,0.30688609,-0.22394242,-0.30825664,-0.10856424
0.020000,0.55981894,-0.18070707,1.36895639,-0.02108803,1.57083213,0.55984396,-0.00671459,-0.00181228,0.00585950,-0.00428392,-0.00589496,-0.00210111,-0.61042079,-0.16379398,0.53030577,-0.38940485,-0.53546108,-0.19607550
0.030000,0.55971801,-0.18073423,1.36904425,-0.02115242,1.57074356,0.55981193,-0.01376296,-0.00369326,0.01195824,-0.00877945,-0.01207291,-0.00441723,-0.78589326,-0.20856919,0.67728918,-0.50114469,-0.68829077,-0.26400862
0.040000,0.55953913,-0.18078206,1.36919927,-0.02126651,1.57058673,0.55975366,-0.02217791,-0.00591052,0.01917393,-0.01414359,-0.01943512,-0.00732094,-0.88500325,-0.23140253,0.75486644,-0.56391932,-0.77342317,-0.31383848
0.050000,0.55927233,-0.18085286,1.36942925,-0.02143663,1.57035307,0.55966414,-0.03123380,-0.00825518,0.02684765,-0.01991048,-0.02733798,-0.01063857,-0.91534789,-0.23439846,0.77006770,-0.58248615,-0.79753574,-0.34703993
0.060000,0.55891450,-0.18094696,1.36973578,-0.02166466,1.57004010,0.55954004,-0.04028097,-0.01053938,0.03439080,-0.02566181,-0.03520469,-0.01421122,-0.88452429,-0.21966147,0.72992308,-0.56160256,-0.76730594,-0.36508783
0.070000,0.55846866,-0.18106289,1.37011490,-0.02194857,1.56965080,0.55937954,-0.04874572,-0.01259632,0.04128506,-0.03102688,-0.04252521,-0.01789473,-0.80012955,-0.18929603,0.64146271,-0.50602597,-0.68941123,-0.36945704
0.080000,0.55794319,-0.18119764,1.37055782,-0.02228283,1.56919290,0.55918221,-0.05613032,-0.01428022,0.04708243,-0.03568255,-0.04885629,-0.02155968,-0.66976078,-0.14540661,0.51171673,-0.42051375,-0.57052907,-0.36162242
0.090000,0.55735107,-0.18134683,1.37105162,-0.02265893,1.56867824,0.55894880,-0.06201301,-0.01546638,0.05140521,-0.03935323,-0.05382143,-0.02509142,-0.50101511,-0.09009770,0.34771528,-0.30982332,-0.41733691,-0.34305883
0.100000,0.55670910,-0.18150496,1.37157997,-0.02306585,1.56812207,0.55868116,-0.06604802,-0.01605113,0.05394599,-0.04181094,-0.05711092,-0.02839001,-0.30148963,-0.02547377,0.15648848,-0.17871206,-0.23651223,-0.31524114
0.110000,0.55603717,-0.18166557,1.37212380,-0.02349050,1.56754242,0.55838206,-0.06796553,-0.01595182,0.05446766,-0.04287526,-0.05848182,-0.03137031,-0.07878147,0.04636071,-0.05493354,-0.03193737,-0.03473246,-0.27964419
0.120000,0.55535750,-0.18182151,1.37266203,-0.02391826,1.56695942,0.55805505,-0.06757170,-0.01510689,0.05280343,-0.04241334,-0.05775798,-0.03396188,0.15951228,0.12330125,-0.27952063,0.12574336,0.18132491,-0.23774286
0.130000,0.55469384,-0.18196509,1.37317226,-0.02433339,1.56639461,0.55770430,-0.06474866,-0.01347579,0.04885680,-0.04033990,-0.05482999,-0.03610907,0.40579448,0.20324338,-0.51024268,0.28957272,0.40498245,-0.19101200
0.140000,0.55407077,-0.18208834,1.37363146,-0.02471955,1.56587032,0.55733449,-0.05945450,-0.01103903,0.04260156,-0.03661725,-0.04965525,-0.03777094,0.65246804,0.28408263,-0.74006954,0.45479332,0.62956267,-0.14092648
0.150000,0.55351289,-0.18218318,1.37401673,-0.02506026,1.56540893,0.55695059,-0.05172331,-0.00779817,0.03408183,-0.03125525,-0.04225792,-0.03892133,0.89193585,0.36371451,-0.96197108,0.61664777,0.84838814,-0.08896114
0.160000,0.55304407,-0.18224169,1.37430593,-0.02533938,1.56503227,0.55655780,-0.04166513,-0.00377578,0.02341199,-0.02431137,-0.03272893,-0.03954881,1.11660078,0.44003455,-1.16891717,0.77037867,1.05478139,-0.03659086
0.170000,0.55268673,-0.18225624,1.37447841,-0.02554156,1.56476093,0.55616135,-0.02946596,0.00098447,0.01077677,-0.01589062,-0.02122599,-0.03965671,1.31886573,0.51093827,-1.35387768,0.91122862,1.24206495,0.01470951
0.180000,0.55246102,-0.18221976,1.37451575,-0.02565277,1.56461359,0.55576634,-0.01538780,0.00641791,-0.00356884,-0.00614559,-0.00797359,-0.03926311,1.49113359,0.57432120,-1.50982247,1.03444023,1.40356137,0.06346510
0.190000,0.55238412,-0.18212592,1.37440241,-0.02566072,1.56460633,0.55537765,0.00023139,0.01243881,-0.01929953,0.00472354,0.00673702,-0.03840081,1.62580725,0.62807886,-1.62972141,1.13525610,1.53259319,0.10820107
0.200000,0.55246942,-0.18196937,1.37412646,-0.02555538,1.56475200,0.55499973,0.01697770,0.01894039,-0.03601968,0.01646902,0.02254780,-0.03711740,1.71528959,0.67010677,-1.70654438,1.20891884,1.62248296,0.14744254
0.210000,0.55272581,-0.18174593,1.37368025,-0.02532939,1.56505955,0.55463650,0.03436629,0.02579612,-0.05326814,0.02879858,0.03903832,-0.03547439,1.75400848,0.69881472,-1.73515749,1.25188472,1.66830018,0.18003529
0.220000,0.55315721,-0.18145271,1.37306092,-0.02497847,1.56553358,0.55429122,0.05189709,0.03287384,-0.07057030,0.04140876,0.05577376,-0.03353843,1.74449168,0.71466950,-1.71801197,1.26546478,1.67210228,0.20610766
0.230000,0.55376269,-0.18108813,1.37227013,-0.02450122,1.56617450,0.55396650,0.06911051,0.04004993,-0.08749034,0.05401834,0.07235299,-0.03137248,1.69129193,0.71865219,-1.65945527,1.25218370,1.63769366,0.22610861
0.240000,0.55453698,-0.18065177,1.37131370,-0.02389896,1.56697891,0.55366434,0.08559249,0.04721058,-0.10363586,0.06637131,0.08841294,-0.02903500,1.59896197,0.71174385,-1.56383487,1.21456619,1.56887871,0.24048712
