tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.094759743,left_link,medium,0.204928413
0.040000,0.092515334,left_link,medium,0.205288808
0.080000,0.090034889,left_link,medium,0.205649202
0.120000,0.087270125,left_link,medium,0.206009597
0.160000,0.084319867,left_link,medium,0.206369992
0.200000,0.081344904,left_link,medium,0.206730387
0.240000,0.078485700,left_link,medium,0.207090782
0.280000,0.075806085,left_link,medium,0.207451176
0.320000,0.073297885,left_link,medium,0.207811571
0.360000,0.070628094,left_link,medium,0.208171966
0.400000,0.067950028,left_link,medium,0.208532361
0.440000,0.065254526,left_link,medium,0.208892756
0.480000,0.062508255,left_link,medium,0.209253150
0.520000,0.059708276,left_link,medium,0.209613545
0.560000,0.056873274,left_link,medium,0.209973940
0.600000,0.054034578,left_link,medium,0.210334335
0.640000,0.051227346,left_link,medium,0.210694730
0.680000,0.048482771,left_link,medium,0.211055124
0.720000,0.045822612,left_link,medium,0.211415519
0.760000,0.043254752,left_link,medium,0.211775914
0.800000,0.040768961,left_link,medium,0.212136309
0.840000,0.038333108,left_link,medium,0.212496703
0.880000,0.035896261,left_link,medium,0.212857098
0.920000,0.033408672,left_link,medium,0.213217493
0.960000,0.030847797,left_link,medium,0.213577888
1.000000,0.028243604,left_link,medium,0.213938283
