tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.101107522,upperArm_Link,medium,0.204928413
0.040000,0.099023887,upperArm_Link,medium,0.205288808
0.080000,0.097009570,upperArm_Link,medium,0.205649202
0.120000,0.095077217,upperArm_Link,medium,0.206009597
0.160000,0.093211221,upperArm_Link,medium,0.206369992
0.200000,0.091382001,upperArm_Link,medium,0.206730387
0.240000,0.089561372,upperArm_Link,medium,0.207090782
0.280000,0.087734576,upperArm_Link,medium,0.207451176
0.320000,0.085901028,upperArm_Link,medium,0.207811571
0.360000,0.084070075,upperArm_Link,medium,0.208171966
0.400000,0.082256127,upperArm_Link,medium,0.208532361
0.440000,0.080473449,upperArm_Link,medium,0.208892756
0.480000,0.078731953,upperArm_Link,medium,0.209253150
0.520000,0.077036210,upperArm_Link,medium,0.209613545
0.560000,0.075385808,upperArm_Link,medium,0.209973940
0.600000,0.073775795,upperArm_Link,medium,0.210334335
0.640000,0.072197188,upperArm_Link,medium,0.210694730
0.680000,0.070638189,upperArm_Link,medium,0.211055124
0.720000,0.069087174,upperArm_Link,medium,0.211415519
0.760000,0.067536573,upperArm_Link,medium,0.211775914
0.800000,0.065987021,upperArm_Link,medium,0.212136309
0.840000,0.064451577,upperArm_Link,medium,0.212496703
0.880000,0.062956225,upperArm_Link,medium,0.212857098
0.920000,0.061530294,upperArm_Link,medium,0.213217493
0.960000,0.060192314,upperArm_Link,medium,0.213577888
1.000000,0.058934821,upperArm_Link,medium,0.213938283
