tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.100796117,left_link,medium,0.204928413
0.040000,0.098817703,left_link,medium,0.205288808
0.080000,0.096187061,left_link,medium,0.205649202
0.120000,0.093227530,left_link,medium,0.206009597
0.160000,0.090872840,left_link,medium,0.206369992
0.200000,0.090140982,left_link,medium,0.206730387
0.240000,0.091615970,left_link,medium,0.207090782
0.280000,0.095116450,left_link,medium,0.207451176
0.320000,0.099836036,left_link,medium,0.207811571
0.360000,0.104669984,left_link,medium,0.208171966
0.400000,0.107663909,upperArm_Link,medium,0.208532361
0.440000,0.105475051,upperArm_Link,medium,0.208892756
0.480000,0.103677499,upperArm_Link,medium,0.209253150
0.520000,0.102207494,upperArm_Link,medium,0.209613545
0.560000,0.100946675,upperArm_Link,medium,0.209973940
0.600000,0.099756595,upperArm_Link,medium,0.210334335
0.640000,0.098518319,upperArm_Link,medium,0.210694730
0.680000,0.097164847,upperArm_Link,medium,0.211055124
0.720000,0.095682488,upperArm_Link,medium,0.211415519
0.760000,0.094097450,upperArm_Link,medium,0.211775914
0.800000,0.092459873,upperArm_Link,medium,0.212136309
0.840000,0.090826620,upperArm_Link,medium,0.212496703
0.880000,0.089246147,upperArm_Link,medium,0.212857098
0.920000,0.087750472,upperArm_Link,medium,0.213217493
0.960000,0.086349943,upperArm_Link,medium,0.213577888
1.000000,0.085027915,upperArm_Link,medium,0.213938283
