t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.55986577,-0.18069440,1.36891544,-0.02105815,1.57087326,0.55985844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.55985990,-0.18069585,1.36892088,-0.02106147,1.57086867,0.55985705,-0.00172394,-0.00042631,0.00159501,-0.00097586,-0.00134889,-0.00041044,-0.32957858,-0.08153178,0.30461575,-0.18682715,-0.25810449,-0.07943969
0.020000,0.55982180,-0.18070528,1.36895609,-0.02108308,1.57083882,0.55984784,-0.00629957,-0.00155883,0.00581621,-0.00357610,-0.00493779,-0.00153762,-0.57155526,-0.14152089,0.52640134,-0.32552046,-0.44891966,-0.14352827
0.030000,0.55972721,-0.18072869,1.36904330,-0.02113686,1.57076460,0.55982440,-0.01288743,-0.00319050,0.01187015,-0.00733869,-0.01012130,-0.00323339,-0.73324778,-0.18164087,0.67232233,-0.41994227,-0.57793979,-0.19333256
0.040000,0.55955990,-0.18077012,1.36919718,-0.02123231,1.57063306,0.55978174,-0.02072130,-0.00513099,0.01903300,-0.01184025,-0.01630892,-0.00536022,-0.82197389,-0.20356523,0.74934424,-0.47395494,-0.65065915,-0.22991939
0.050000,0.55931095,-0.18083176,1.36942547,-0.02137485,1.57043687,0.55971619,-0.02910808,-0.00720673,0.02665059,-0.01669597,-0.02296512,-0.00779127,-0.84505134,-0.20896753,0.76443263,-0.49142080,-0.67257200,-0.25435560
0.060000,0.55897797,-0.18091418,1.36972975,-0.02156625,1.57017380,0.55962529,-0.03742789,-0.00926085,0.03413842,-0.02155971,-0.02960932,-0.01041038,-0.80979786,-0.19952130,0.72455303,-0.47620219,-0.64917262,-0.26770801
0.070000,0.55856444,-0.18101644,1.37010608,-0.02180504,1.56984615,0.55950771,-0.04513400,-0.01115324,0.04098164,-0.02612394,-0.03581585,-0.01311204,-0.72353121,-0.17690006,0.63667099,-0.43216147,-0.58595528,-0.27104345
0.080000,0.55807892,-0.18113629,1.37054574,-0.02208683,1.56946018,0.55936309,-0.05175286,-0.01276051,0.04673505,-0.03011974,-0.04121401,-0.01580142,-0.59356912,-0.14277734,0.50775204,-0.36316096,-0.48841425,-0.26542877
0.090000,0.55753435,-0.18127034,1.37103589,-0.02240477,1.56902562,0.55919200,-0.05688412,-0.01397602,0.05102311,-0.03331683,-0.04548804,-0.01839434,-0.42722934,-0.09882670,0.34476173,-0.27306302,-0.36204380,-0.25193078
0.100000,0.55694730,-0.18141420,1.37156029,-0.02274986,1.56855504,0.55899577,-0.06020058,-0.01470986,0.05353994,-0.03552355,-0.04837710,-0.02081731,-0.23182961,-0.04672165,0.15466560,-0.16572999,-0.21233821,-0.23161631
0.110000,0.55633724,-0.18156269,1.37209999,-0.02311142,1.56806339,0.55877643,-0.06144824,-0.01488885,0.05404929,-0.03658686,-0.04967533,-0.02300750,-0.01468768,0.01186427,-0.05557081,-0.04502421,-0.04479174,-0.20555221
0.120000,0.55572584,-0.18170994,1.37263402,-0.02347740,1.56756735,0.55853657,-0.06044625,-0.01445655,0.05238460,-0.03639234,-0.04923178,-0.02491275,0.21687871,0.07525752,-0.27898195,0.08519198,0.13510133,-0.17480529
0.130000,0.55513619,-0.18184964,1.37314010,-0.02383482,1.56708488,0.55827927,-0.05708698,-0.01337326,0.04844895,-0.03486419,-0.04695046,-0.02649155,0.45555182,0.14178458,-0.50860229,0.22105623,0.32184674,-0.14044239
0.140000,0.55459208,-0.18197516,1.37359533,-0.02417011,1.56663461,0.55800793,-0.05133592,-0.01161599,0.04221508,-0.03196526,-0.04279032,-0.02771310,0.69401390,0.20977190,-0.73746629,0.35870620,0.50995020,-0.10353034
0.150000,0.55411732,-0.18207970,1.37397688,-0.02446955,1.56623530,0.55772626,-0.04323179,-0.00917853,0.03372537,-0.02769699,-0.03676525,-0.02855722,0.92494720,0.27754596,-0.95860840,0.49427955,0.69391745,-0.06513597
0.160000,0.55373493,-0.18215649,1.37426269,-0.02471962,1.56590530,0.55743808,-0.03288647,-0.00607136,0.02309187,-0.02209946,-0.02894407,-0.02901443,1.14103399,0.34343323,-1.16506308,0.62391394,0.86825422,-0.02632611
0.170000,0.55346645,-0.18219898,1.37443217,-0.02490737,1.56566200,0.55714726,-0.02048499,-0.00232173,0.01049628,-0.01525138,-0.01945058,-0.02908591,1.33495652,0.40576016,-1.34986479,0.74374701,1.02746624,0.01183240
0.180000,0.55333123,-0.18220093,1.37446690,-0.02502086,1.56552127,0.55685761,-0.00628561,0.00202639,-0.00381003,-0.00727007,-0.00846348,-0.02878351,1.49939704,0.46285322,-1.50604799,0.84991644,1.16605923,0.04827275
0.190000,0.55334564,-0.18215666,1.37435133,-0.02504951,1.56549693,0.55657276,0.00938028,0.00691231,-0.01950606,0.00168853,0.00378356,-0.02812974,1.62703781,0.51303888,-1.62664714,0.93855987,1.27853893,0.08192809
0.200000,0.55352238,-0.18206115,1.37407344,-0.02498448,1.56560019,0.55629608,0.02610809,0.01225857,-0.03620114,0.01142983,0.01700194,-0.02715779,1.71056110,0.55464362,-1.70469670,1.00581496,1.35941106,0.11173160
0.210000,0.55386976,-0.18191026,1.37362549,-0.02481907,1.56583908,0.55603052,0.04342495,0.01797195,-0.05343963,0.02172306,0.03085165,-0.02591094,1.74460908,0.58637646,-1.73510352,1.04878024,1.40459604,0.13684384
