t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.55986577,-0.18069440,1.36891544,-0.02105815,1.57087326,0.55985844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.55985991,-0.18069600,1.36892124,-0.02106068,1.57086877,0.55985704,-0.00172008,-0.00046936,0.00170243,-0.00074216,-0.00131730,-0.00041383,-0.32881943,-0.08975691,0.32555290,-0.14223067,-0.25207746,-0.08014270
0.020000,0.55982190,-0.18070638,1.36895888,-0.02107713,1.57083963,0.55984775,-0.00628467,-0.00171592,0.00622429,-0.00272525,-0.00482282,-0.00155211,-0.57012301,-0.15574802,0.56507650,-0.24865145,-0.43853585,-0.14506211
0.030000,0.55972754,-0.18073215,1.36905237,-0.02111817,1.57076713,0.55982407,-0.01285521,-0.00351131,0.01274096,-0.00560516,-0.00988712,-0.00326776,-0.73122747,-0.19983456,0.72570224,-0.32206238,-0.56472569,-0.19578892
0.040000,0.55956067,-0.18077773,1.36921783,-0.02119116,1.57063861,0.55978093,-0.02066628,-0.00564580,0.02049912,-0.00906580,-0.01593427,-0.00542402,-0.81944954,-0.22387775,0.81456156,-0.36526347,-0.63599751,-0.23335383
0.050000,0.55931239,-0.18084555,1.36946421,-0.02130046,1.57044691,0.55971455,-0.02902564,-0.00792826,0.02881675,-0.01281906,-0.02244185,-0.00789440,-0.84210597,-0.22973880,0.83878592,-0.38105475,-0.65770183,-0.25878752
0.060000,0.55898040,-0.18093621,1.36979398,-0.02144765,1.57018981,0.55962238,-0.03731423,-0.01018617,0.03708316,-0.01660486,-0.02894092,-0.01056276,-0.80651350,-0.21927894,0.80550675,-0.37223623,-0.63518920,-0.27312070
0.070000,0.55856817,-0.18104868,1.37020389,-0.02163188,1.56986951,0.55950299,-0.04498614,-0.01226564,0.04475897,-0.02019109,-0.03501608,-0.01332325,-0.71998885,-0.19435940,0.72185549,-0.34160794,-0.57381012,-0.27738406
0.080000,0.55808431,-0.18118048,1.37068563,-0.02185012,1.56949211,0.55935593,-0.05156863,-0.01403136,0.05137613,-0.02337365,-0.04030540,-0.01608031,-0.58984877,-0.15684138,0.59496359,-0.29196990,-0.47891514,-0.27260830
0.090000,0.55754177,-0.18132787,1.37122656,-0.02209742,1.56906706,0.55918168,-0.05666212,-0.01536667,0.05653788,-0.02597645,-0.04450049,-0.01874872,-0.42340999,-0.10858612,0.43196250,-0.22612214,-0.35585478,-0.25982410
0.100000,0.55695713,-0.18148605,1.37181044,-0.02236722,1.56860661,0.55898150,-0.05994022,-0.01617350,0.05991879,-0.02785139,-0.04734645,-0.02125354,-0.22798925,-0.05145482,0.23998365,-0.14686467,-0.20997957,-0.24006217
0.110000,0.55634987,-0.18164931,1.37241814,-0.02265162,1.56812530,0.55875737,-0.06114969,-0.01637239,0.06126473,-0.02887838,-0.04864187,-0.02353014,-0.01090329,0.01269128,0.02615849,-0.05699752,-0.04664004,-0.21435320
0.120000,0.55574164,-0.18181126,1.37302833,-0.02294165,1.56763944,0.55851184,-0.06011046,-0.01590250,0.06039291,-0.02896531,-0.04823887,-0.02552421,0.22053115,0.08199096,-0.20238154,0.04067930,0.12881329,-0.18372789
0.130000,0.55515552,-0.18196499,1.37361823,-0.02322758,1.56716651,0.55824797,-0.05671563,-0.01472159,0.05719182,-0.02804810,-0.04604306,-0.02719175,0.45899734,0.15458301,-0.43850499,0.14336575,0.31102988,-0.14921692
0.140000,0.55461530,-0.18210325,1.37416426,-0.02349914,1.56672470,0.55796921,-0.05093146,-0.01280607,0.05162130,-0.02609063,-0.04201356,-0.02849904,0.69717854,0.22860620,-0.67508043,0.24826182,0.49465921,-0.11185100
0.150000,0.55414473,-0.18221864,1.37464285,-0.02374589,1.56633231,0.55767927,-0.04279739,-0.01015090,0.04371248,-0.02308483,-0.03616300,-0.02942269,0.92775802,0.30219932,-0.90497640,0.35256749,0.67435075,-0.07266081
0.160000,0.55376682,-0.18230384,1.37503105,-0.02395741,1.56600729,0.55738208,-0.03242603,-0.00676972,0.03356781,-0.01905058,-0.02855751,-0.02994961,1.14341902,0.37350114,-1.12106146,0.45348273,0.84475398,-0.03267706
0.170000,0.55350306,-0.18235172,1.37530732,-0.02412363,1.56576662,0.55708161,-0.02000313,-0.00269472,0.02136106,-0.01403581,-0.01931672,-0.03007702,1.33684483,0.44065044,-1.31620417,0.54820752,1.00051835,0.00706956
0.180000,0.55337274,-0.18235559,1.37545221,-0.02423511,1.56562584,0.55678185,-0.00578764,0.00202325,0.00733731,-0.00811640,-0.00861377,-0.02981244,1.50071870,0.50178600,-1.48327309,0.63394184,1.13629335,0.04554836
0.190000,0.55339218,-0.18230934,1.37544906,-0.02428329,1.56559847,0.55648661,0.00988835,0.00731475,-0.00818705,-0.00139627,0.00332468,-0.02917371,1.62772389,0.55504660,-1.61513678,0.70788566,1.24672844,0.08172863
0.200000,0.55357403,-0.18220767,1.37528475,-0.02426080,1.56569552,0.55619953,0.02661956,0.01309172,-0.02482431,0.00599268,0.01621849,-0.02818897,1.71054366,0.59857102,-1.70466378,0.76723898,1.32647310,0.11457970
0.210000,0.55392652,-0.18204624,1.37495038,-0.02416173,1.56592492,0.55592386,0.04393245,0.01924859,-0.04212015,0.01389219,0.02973744,-0.02689614,1.74382345,0.63093081,-1.74660745,0.80986373,1.37155130,0.14327597
0.220000,0.55445299,-0.18182181,1.37444172,-0.02398181,1.56629121,0.55566249,0.06133920,0.02567413,-0.05960549,0.02213589,0.04353904,-0.02533731,1.73005733,0.65242864,-1.74326022,0.83626981,1.38348503,0.16781236
0.230000,0.55515211,-0.18153222,1.37375908,-0.02371839,1.56679559,0.55541787,0.07839163,0.03226341,-0.07684830,0.03056743,0.05730632,-0.02355309,1.67370155,0.66379994,-1.69879933,0.84762906,1.36517075,0.18838886
0.240000,0.55601829,-0.18117632,1.37290687,-0.02337032,1.56743626,0.55519205,0.09468612,0.03891883,-0.09345835,0.03904222,0.07075128,-0.02158207,1.57921233,0.66578014,-1.61740201,0.84511335,1.31950496,0.20520551
0.250000,0.55704211,-0.18075392,1.37189319,-0.02293784,1.56820867,0.55498673,0.10986362,0.04555016,-0.10908715,0.04742736,0.08361490,-0.01946085,1.45104593,0.65910469,-1.50324549,0.82989454,1.24938414,0.21846231
0.260000,0.55821079,-0.18026567,1.37072942,-0.02242247,1.56910585,0.55480322,0.12360964,0.05207452,-0.12342799,0.05560167,0.09566710,-0.01722402,1.29365859,0.64450902,-1.36050701,0.80314447,1.15770476,0.22835928
0.270000,0.55950862,-0.17971304,1.36942981,-0.02182688,1.57011864,0.55464252,0.13565425,0.05841639,-0.13621594,0.06345572,0.10670679,-0.01490419,1.11150655,0.62272857,-1.19336379,0.76603501,1.04736332,0.23509645
0.280000,0.56091744,-0.17909818,1.36801103,-0.02115476,1.57123603,0.55450531,0.14577208,0.06450760,-0.14722784,0.07089175,0.11656182,-0.01253196,0.90904605,0.59449877,-1.00599307,0.71973801,0.92125629,0.23887382
0.290000,0.56241704,-0.17842393,1.36649178,-0.02041072,1.57244544,0.55439196,0.15378233,0.07028732,-0.15628230,0.07782376,0.12508902,-0.01013592,0.69073334,0.56055506,-0.80257208,0.66542534,0.78228015,0.23989140
