tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.097961921,left_link,medium,0.204928413
0.040000,0.095354054,left_link,medium,0.205288808
0.080000,0.091585337,left_link,medium,0.205649202
0.120000,0.086933207,left_link,medium,0.206009597
0.160000,0.082608744,left_link,medium,0.206369992
0.200000,0.079999565,left_link,medium,0.206730387
0.240000,0.079912820,left_link,medium,0.207090782
0.280000,0.082562306,left_link,medium,0.207451176
0.320000,0.087035644,left_link,medium,0.207811571
0.360000,0.091964509,left_link,medium,0.208171966
0.400000,0.095954983,left_link,medium,0.208532361
0.440000,0.098029039,left_link,medium,0.208892756
0.480000,0.097919279,left_link,medium,0.209253150
0.520000,0.095969450,left_link,medium,0.209613545
0.560000,0.092876009,left_link,medium,0.209973940
0.600000,0.089422263,left_link,medium,0.210334335
0.640000,0.086216477,left_link,medium,0.210694730
0.680000,0.083517188,left_link,medium,0.211055124
0.720000,0.081276892,left_link,medium,0.211415519
0.760000,0.079270354,left_link,medium,0.211775914
0.800000,0.077224545,left_link,medium,0.212136309
0.840000,0.074945899,left_link,medium,0.212496703
0.880000,0.072401581,left_link,medium,0.212857098
0.920000,0.069683894,left_link,medium,0.213217493
0.960000,0.066927745,left_link,medium,0.213577888
1.000000,0.064223289,left_link,medium,0.213938283
