tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.119213912,left_link,medium,0.204928413
0.040000,0.116396145,left_link,medium,0.205288808
0.080000,0.113403373,left_link,medium,0.205649202
0.120000,0.110198169,left_link,medium,0.206009597
0.160000,0.106849374,left_link,medium,0.206369992
0.200000,0.103472217,left_link,medium,0.206730387
0.240000,0.100169745,left_link,medium,0.207090782
0.280000,0.096991878,left_link,medium,0.207451176
0.320000,0.093937131,left_link,medium,0.207811571
0.360000,0.090970767,left_link,medium,0.208171966
0.400000,0.088043264,left_link,medium,0.208532361
0.440000,0.085108375,left_link,medium,0.208892756
0.480000,0.082136561,left_link,medium,0.209253150
0.520000,0.079117064,left_link,medium,0.209613545
0.560000,0.076055512,left_link,medium,0.209973940
0.600000,0.072971351,left_link,medium,0.210334335
0.640000,0.069895189,left_link,medium,0.210694730
0.680000,0.066864242,left_link,medium,0.211055124
0.720000,0.063913010,left_link,medium,0.211415519
0.760000,0.061062255,left_link,medium,0.211775914
0.800000,0.058308159,left_link,medium,0.212136309
0.840000,0.055612123,left_link,medium,0.212496703
0.880000,0.052901699,left_link,medium,0.212857098
0.920000,0.050099187,left_link,medium,0.213217493
0.960000,0.047160577,left_link,medium,0.213577888
1.000000,0.044113877,left_link,medium,0.213938283
