tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.042603324,upperArm_Link,medium,0.204928413
0.040000,0.040440220,upperArm_Link,medium,0.205288808
0.080000,0.038348050,upperArm_Link,medium,0.205649202
0.120000,0.036339675,upperArm_Link,medium,0.206009597
0.160000,0.034400886,upperArm_Link,medium,0.206369992
0.200000,0.032503714,upperArm_Link,medium,0.206730387
0.240000,0.030621107,upperArm_Link,medium,0.207090782
0.280000,0.028738717,upperArm_Link,medium,0.207451176
0.320000,0.026855875,upperArm_Link,medium,0.207811571
0.360000,0.024981672,upperArm_Link,medium,0.208171966
0.400000,0.023130317,upperArm_Link,medium,0.208532361
0.440000,0.021316057,upperArm_Link,medium,0.208892756
0.480000,0.019548998,upperArm_Link,medium,0.209253150
0.520000,0.017834051,upperArm_Link,medium,0.209613545
0.560000,0.016171204,upperArm_Link,medium,0.209973940
0.600000,0.014555886,upperArm_Link,medium,0.210334335
0.640000,0.012979413,upperArm_Link,medium,0.210694730
0.680000,0.011430154,upperArm_Link,medium,0.211055124
0.720000,0.009896522,upperArm_Link,medium,0.211415519
0.760000,0.008370905,upperArm_Link,medium,0.211775914
0.800000,0.006853937,upperArm_Link,medium,0.212136309
0.840000,0.005358890,upperArm_Link,medium,0.212496703
0.880000,0.003912327,upperArm_Link,medium,0.212857098
0.920000,0.002544465,upperArm_Link,medium,0.213217493
0.960000,0.001274719,upperArm_Link,medium,0.213577888
1.000000,0.000095993,upperArm_Link,medium,0.213938283
