tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.052306174,upperArm_Link,medium,0.204928413
0.040000,0.050158510,upperArm_Link,medium,0.205288808
0.080000,0.048081504,upperArm_Link,medium,0.205649202
0.120000,0.046087976,upperArm_Link,medium,0.206009597
0.160000,0.044163433,upperArm_Link,medium,0.206369992
0.200000,0.042279577,upperArm_Link,medium,0.206730387
0.240000,0.040409121,upperArm_Link,medium,0.207090782
0.280000,0.038537630,upperArm_Link,medium,0.207451176
0.320000,0.036664447,upperArm_Link,medium,0.207811571
0.360000,0.034798713,upperArm_Link,medium,0.208171966
0.400000,0.032954673,upperArm_Link,medium,0.208532361
0.440000,0.031146577,upperArm_Link,medium,0.208892756
0.480000,0.029384488,upperArm_Link,medium,0.209253150
0.520000,0.027673246,upperArm_Link,medium,0.209613545
0.560000,0.026012753,upperArm_Link,medium,0.209973940
0.600000,0.024398358,upperArm_Link,medium,0.210334335
0.640000,0.022821311,upperArm_Link,medium,0.210694730
0.680000,0.021269942,upperArm_Link,medium,0.211055124
0.720000,0.019732651,upperArm_Link,medium,0.211415519
0.760000,0.018201830,upperArm_Link,medium,0.211775914
0.800000,0.016678108,upperArm_Link,medium,0.212136309
0.840000,0.015174715,upperArm_Link,medium,0.212496703
0.880000,0.013718094,upperArm_Link,medium,0.212857098
0.920000,0.012338287,upperArm_Link,medium,0.213217493
0.960000,0.011054529,upperArm_Link,medium,0.213577888
1.000000,0.009859649,upperArm_Link,medium,0.213938283
