t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.55986577,-0.18069440,1.36891544,-0.02105815,1.57087326,0.55985844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.55986453,-0.18069397,1.36891598,-0.02105806,1.57087325,0.55985720,-0.00036732,0.00012835,0.00015866,0.00002777,-0.00000188,-0.00036734,-0.07111803,0.02484951,0.03071774,0.00537651,-0.00036379,-0.07112254
0.020000,0.55985629,-0.18069109,1.36891954,-0.02105743,1.57087321,0.55984895,-0.00137704,0.00048114,0.00059475,0.00010410,-0.00000704,-0.00137713,-0.12863989,0.04494251,0.05555399,0.00972488,-0.00065594,-0.12864795
0.030000,0.55983528,-0.18068375,1.36892861,-0.02105584,1.57087310,0.55982795,-0.00289799,0.00101246,0.00125152,0.00021908,-0.00001478,-0.00289817,-0.17352303,0.06061440,0.07492359,0.01311752,-0.00088165,-0.17353376
0.040000,0.55979703,-0.18067038,1.36894513,-0.02105295,1.57087291,0.55978969,-0.00480856,0.00167980,0.00207638,0.00036351,-0.00002447,-0.00480886,-0.20672493,0.07220052,0.08924135,0.01562687,-0.00104611,-0.20673752
0.050000,0.55973819,-0.18064983,1.36897053,-0.02104850,1.57087261,0.55973085,-0.00699674,0.00244397,0.00302089,0.00052892,-0.00003551,-0.00699717,-0.22920304,0.08003627,0.09892208,0.01732533,-0.00115450,-0.22921675
0.060000,0.55965651,-0.18062130,1.36900579,-0.02104233,1.57087220,0.55964917,-0.00936007,0.00326915,0.00404075,0.00070755,-0.00004739,-0.00936064,-0.24191481,0.08445701,0.10438060,0.01828535,-0.00121204,-0.24192899
0.070000,0.55955071,-0.18058435,1.36905146,-0.02103433,1.57087166,0.55954336,-0.01180567,0.00412285,0.00509581,0.00089240,-0.00005960,-0.01180639,-0.24581772,0.08579813,0.10603173,0.01857933,-0.00122390,-0.24583178
0.080000,0.55942040,-0.18053885,1.36910771,-0.02102448,1.57087101,0.55941304,-0.01425025,0.00497596,0.00615008,0.00107716,-0.00007173,-0.01425110,-0.24186923,0.08439498,0.10429028,0.01827971,-0.00119528,-0.24188264
0.090000,0.55926596,-0.18048492,1.36917436,-0.02101281,1.57087023,0.55925859,-0.01662008,0.00580272,0.00717169,0.00125626,-0.00008339,-0.01662106,-0.23102678,0.08058295,0.09957108,0.01745890,-0.00113138,-0.23103913
0.100000,0.55908846,-0.18042296,1.36925094,-0.02099939,1.57086934,0.55908109,-0.01885100,0.00658071,0.00813295,0.00142484,-0.00009426,-0.01885210,-0.21424785,0.07469741,0.09228892,0.01618933,-0.00103739,-0.21425876
0.110000,0.55888959,-0.18035353,1.36933674,-0.02098436,1.57086835,0.55888220,-0.02088844,0.00729087,0.00901031,0.00157879,-0.00010405,-0.02088964,-0.19248990,0.06707373,0.08285864,0.01454342,-0.00091850,-0.19249908
0.120000,0.55867149,-0.18027742,1.36943080,-0.02096788,1.57086726,0.55866409,-0.02268739,0.00791751,0.00978435,0.00171470,-0.00011256,-0.02268867,-0.16671038,0.05804729,0.07169506,0.01259360,-0.00077991,-0.16671761
0.130000,0.55843675,-0.18019550,1.36953203,-0.02095014,1.57086610,0.55842934,-0.02421243,0.00844826,0.01043982,0.00182989,-0.00011960,-0.02421377,-0.13786675,0.04795346,0.05921297,0.01041228,-0.00062681,-0.13787191
0.140000,0.55818824,-0.18010880,1.36963917,-0.02093135,1.57086488,0.55818081,-0.02543771,0.00887414,0.01096560,0.00192242,-0.00012507,-0.02543909,-0.10691649,0.03712761,0.04582721,0.00807190,-0.00046439,-0.10691949
0.150000,0.55792905,-0.18001839,1.36975088,-0.02091177,1.57086361,0.55792161,-0.02634693,0.00918949,0.01135473,0.00199104,-0.00012888,-0.02634833,-0.07481704,0.02590513,0.03195259,0.00564488,-0.00029785,-0.07481789
0.160000,0.55766238,-0.17992539,1.36986579,-0.02089162,1.57086230,0.55765493,-0.02693341,0.00939203,0.01160440,0.00203527,-0.00013103,-0.02693481,-0.04252587,0.01462137,0.01800393,0.00320363,-0.00013237,-0.04252466
0.170000,0.55739145,-0.17983092,1.36998251,-0.02087114,1.57086099,0.55738398,-0.02720000,0.00948283,0.01171594,0.00205531,-0.00013155,-0.02720138,-0.01100044,0.00361172,0.00439604,0.00082058,0.00002684,-0.01099732
0.180000,0.55711941,-0.17973609,1.37009967,-0.02085059,1.57085968,0.55711192,-0.02715916,0.00946630,0.01169484,0.00205211,-0.00013053,-0.02716050,0.01880180,-0.00678844,-0.00845626,-0.00143184,0.00017459,0.01880659
0.190000,0.55684922,-0.17964193,1.37021600,-0.02083017,1.57085838,0.55684172,-0.02683290,0.00935021,0.01155072,0.00202735,-0.00012811,-0.02683418,0.04592337,-0.01624376,-0.02013816,-0.00348121,0.00030570,0.04592954
0.200000,0.55658360,-0.17954938,1.37033032,-0.02081010,1.57085712,0.55657609,-0.02625282,0.00914569,0.01129736,0.00198341,-0.00012449,-0.02625403,0.06940681,-0.02441885,-0.03023483,-0.00525511,0.00041496,0.06941398
0.210000,0.55632488,-0.17945926,1.37044164,-0.02079056,1.57085590,0.55631735,-0.02545956,0.00886704,0.01095246,0.00192337,-0.00011990,-0.02546070,0.08850413,-0.03105192,-0.03842255,-0.00669697,0.00049840,0.08851187
0.220000,0.55607497,-0.17937224,1.37054913,-0.02077168,1.57085472,0.55606744,-0.02449706,0.00852969,0.01053514,0.00185055,-0.00011460,-0.02449812,0.10330509,-0.03617554,-0.04474191,-0.00781364,0.00055690,0.10331299
0.230000,0.55583536,-0.17928882,1.37065216,-0.02075358,1.57085361,0.55582782,-0.02340678,0.00814820,0.01006341,0.00176810,-0.00010884,-0.02340777,0.11410893,-0.03989584,-0.04932459,-0.00862780,0.00059257,0.11411662
0.240000,0.55560713,-0.17920937,1.37075027,-0.02073634,1.57085255,0.55559958,-0.02222721,0.00773609,0.00955400,0.00167893,-0.00010282,-0.02222812,0.12121486,-0.04231898,-0.05230227,-0.00916216,0.00060750,0.12122203
0.250000,0.55539099,-0.17913415,1.37084317,-0.02072001,1.57085155,0.55538343,-0.02099381,0.00730579,0.00902228,0.00158572,-0.00009675,-0.02099465,0.12492213,-0.04355108,-0.05380664,-0.00943942,0.00060379,0.12492850
0.260000,0.55518733,-0.17906328,1.37093069,-0.02070463,1.57085061,0.55517976,-0.01973909,0.00686869,0.00848234,0.00149092,-0.00009080,-0.01973988,0.12552996,-0.04369831,-0.05396936,-0.00948227,0.00058356,0.12553529
0.270000,0.55499619,-0.17899677,1.37101283,-0.02069019,1.57084973,0.55498861,-0.01849255,0.00643509,0.00794693,0.00139678,-0.00008513,-0.01849328,0.12333757,-0.04286680,-0.05292214,-0.00931340,0.00054889,0.12334169
0.280000,0.55481736,-0.17893454,1.37108968,-0.02067669,1.57084891,0.55480977,-0.01728068,0.00601426,0.00742749,0.00130528,-0.00007986,-0.01728138,0.11864420,-0.04116270,-0.05079663,-0.00895553,0.00050189,0.11864696
0.290000,0.55465038,-0.17887641,1.37116146,-0.02066407,1.57084814,0.55464279,-0.01612700,0.00561439,0.00693415,0.00121822,-0.00007512,-0.01612768,0.11174907,-0.03869215,-0.04772454,-0.00843134,0.00044466,0.11175037
0.300000,0.55449456,-0.17882215,1.37122848,-0.02065230,1.57084741,0.55448696,-0.01505204,0.00524262,0.00647571,0.00113713,-0.00007100,-0.01505272,0.10295141,-0.03556130,-0.04383752,-0.00776353,0.00037930,0.10295120
0.310000,0.55434902,-0.17877145,1.37129112,-0.02064131,1.57084671,0.55434141,-0.01407332,0.00490501,0.00605968,0.00106335,-0.00006756,-0.01407400,0.09255045,-0.03187628,-0.03926728,-0.00697480,0.00030790,0.09254872
0.320000,0.55421272,-0.17872392,1.37134984,-0.02063101,1.57084605,0.55420511,-0.01320538,0.00460659,0.00569221,0.00099797,-0.00006485,-0.01320609,0.08084542,-0.02774325,-0.03414548,-0.00608785,0.00023258,0.08084220
0.330000,0.55408450,-0.17867917,1.37140514,-0.02062132,1.57084541,0.55407688,-0.01245976,0.00435129,0.00537817,0.00094185,-0.00006291,-0.01246051,0.06813554,-0.02326835,-0.02860380,-0.00512537,0.00015543,0.06813091
0.340000,0.55396309,-0.17863674,1.37145759,-0.02061214,1.57084479,0.55395546,-0.01184502,0.00414200,0.00512109,0.00089563,-0.00006174,-0.01184582,0.05472004,-0.01855771,-0.02277393,-0.00411006,0.00007856,0.05471413
0.350000,0.55384714,-0.17859617,1.37150776,-0.02060337,1.57084418,0.55383951,-0.01136671,0.00398056,0.00492321,0.00085975,-0.00006133,-0.01136758,0.04089816,-0.01371749,-0.01678756,-0.00306462,0.00000405,0.04089113
0.360000,0.55373529,-0.17855697,1.37155625,-0.02059491,1.57084356,0.55372765,-0.01102741,0.00386773,0.00478542,0.00083437,-0.00006165,-0.01102836,0.02696912,-0.00885384,-0.01077634,-0.00201175,-0.00006598,0.02696118
0.370000,0.55362613,-0.17851866,1.37160367,-0.02058665,1.57084294,0.55361848,-0.01082669,0.00380321,0.00470733,0.00081946,-0.00006263,-0.01082772,0.01323215,-0.00407288,-0.00487198,-0.00097413,-0.00012943,0.01322355
0.380000,0.55351831,-0.17848075,1.37165059,-0.02057848,1.57084231,0.55351064,-0.01076113,0.00378565,0.00468719,0.00081476,-0.00006421,-0.01076225,-0.00001353,0.00051923,0.00079385,0.00002552,-0.00018421,-0.00002249
0.390000,0.55341048,-0.17844279,1.37169760,-0.02057032,1.57084166,0.55340281,-0.01082433,0.00381261,0.00472197,0.00081977,-0.00006628,-0.01082553,-0.01246869,0.00481634,0.00608948,0.00096451,-0.00022822,-0.01247765
0.400000,0.55330142,-0.17840436,1.37174520,-0.02056206,1.57084098,0.55329373,-0.01100687,0.00388064,0.00480730,0.00083377,-0.00006873,-0.01100816,-0.02383409,0.00871233,0.01088321,0.00182014,-0.00025935,-0.02384268
0.410000,0.55318999,-0.17836506,1.37179389,-0.02055362,1.57084028,0.55318229,-0.01129652,0.00398522,0.00493758,0.00085583,-0.00007142,-0.01129789,-0.03386667,0.01212152,0.01506896,0.00257401,-0.00027610,-0.03387447
0.420000,0.55307518,-0.17832455,1.37184408,-0.02054492,1.57083955,0.55306746,-0.01167970,0.00412143,0.00510665,0.00088491,-0.00007420,-0.01168115,-0.04254803,0.01504025,0.01864300,0.00322486,-0.00027937,-0.04255465
0.430000,0.55295613,-0.17828254,1.37189613,-0.02053590,1.57083880,0.55294840,-0.01214310,0.00428445,0.00530848,0.00091999,-0.00007696,-0.01214461,-0.04991591,0.01748531,0.02162718,0.00377571,-0.00027066,-0.04992100
0.440000,0.55283209,-0.17823879,1.37195034,-0.02052650,1.57083801,0.55282435,-0.01267377,0.00446961,0.00553730,0.00096010,-0.00007958,-0.01267532,-0.05600805,0.01947353,0.02404336,0.00422958,-0.00025146,-0.05601131
0.450000,0.55270247,-0.17819309,1.37200695,-0.02051668,1.57083720,0.55269471,-0.01325914,0.00467245,0.00578753,0.00100427,-0.00008196,-0.01326070,-0.06086223,0.02102172,0.02591340,0.00458951,-0.00022328,-0.06086339
0.460000,0.55256677,-0.17814529,1.37206615,-0.02050641,1.57083637,0.55255899,-0.01388701,0.00488864,0.00605382,0.00105159,-0.00008402,-0.01388858,-0.06451617,0.02214668,0.02725915,0.00485852,-0.00018761,-0.06451503
0.470000,0.55242463,-0.17809529,1.37212806,-0.02049564,1.57083553,0.55241683,-0.01454559,0.00511403,0.00633103,0.00110115,-0.00008570,-0.01454713,-0.06700764,0.02286522,0.02810247,0.00503964,-0.00014595,-0.06700401
