tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.106704874,left_link,medium,0.204928413
0.040000,0.104041194,left_link,medium,0.205288808
0.080000,0.100129604,left_link,medium,0.205649202
0.120000,0.095377496,left_link,medium,0.206009597
0.160000,0.090729445,left_link,medium,0.206369992
0.200000,0.087320211,left_link,medium,0.206730387
0.240000,0.085951087,left_link,medium,0.207090782
0.280000,0.086728771,left_link,medium,0.207451176
0.320000,0.089153717,left_link,medium,0.207811571
0.360000,0.092381908,left_link,medium,0.208171966
0.400000,0.095492745,left_link,medium,0.208532361
0.440000,0.097753922,left_link,medium,0.208892756
0.480000,0.098799153,left_link,medium,0.209253150
0.520000,0.098591200,left_link,medium,0.209613545
0.560000,0.097306847,left_link,medium,0.209973940
0.600000,0.095230342,left_link,medium,0.210334335
0.640000,0.092660357,left_link,medium,0.210694730
0.680000,0.089846137,left_link,medium,0.211055124
0.720000,0.086975546,left_link,medium,0.211415519
0.760000,0.084175120,left_link,medium,0.211775914
0.800000,0.081505286,left_link,medium,0.212136309
0.840000,0.078954872,left_link,medium,0.212496703
0.880000,0.076448207,left_link,medium,0.212857098
0.920000,0.073884796,left_link,medium,0.213217493
0.960000,0.071192695,left_link,medium,0.213577888
1.000000,0.068384002,left_link,medium,0.213938283
