tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.126961246,left_link,medium,0.204928413
0.040000,0.124118242,left_link,medium,0.205288808
0.080000,0.121103925,left_link,medium,0.205649202
0.120000,0.117881818,left_link,medium,0.206009597
0.160000,0.114519249,left_link,medium,0.206369992
0.200000,0.111128779,left_link,medium,0.206730387
0.240000,0.107810973,left_link,medium,0.207090782
0.280000,0.104614471,left_link,medium,0.207451176
0.320000,0.101537747,left_link,medium,0.207811571
0.360000,0.098546859,left_link,medium,0.208171966
0.400000,0.095593477,left_link,medium,0.208532361
0.440000,0.092632482,left_link,medium,0.208892756
0.480000,0.089635062,left_link,medium,0.209253150
0.520000,0.086590716,left_link,medium,0.209613545
0.560000,0.083504925,left_link,medium,0.209973940
0.600000,0.080396638,left_link,medium,0.210334335
0.640000,0.077295687,left_link,medium,0.210694730
0.680000,0.074238339,left_link,medium,0.211055124
0.720000,0.071258199,left_link,medium,0.211415519
0.760000,0.068375466,left_link,medium,0.211775914
0.800000,0.065586384,left_link,medium,0.212136309
0.840000,0.062853305,left_link,medium,0.212496703
0.880000,0.060105605,left_link,medium,0.212857098
0.920000,0.057267543,left_link,medium,0.213217493
0.960000,0.054296190,left_link,medium,0.213577888
1.000000,0.051218711,left_link,medium,0.213938283
