t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.55986577,-0.18069440,1.36891544,-0.02105815,1.57087326,0.55985844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.55986502,-0.18069369,1.36891579,-0.02105804,1.57087345,0.55985722,-0.00022392,0.00021028,0.00010386,0.00003284,0.00005534,-0.00035971,-0.04391302,0.04039092,0.02032211,0.00633768,0.01049343,-0.06967477
0.020000,0.55985992,-0.18068901,1.36891815,-0.02105730,1.57087466,0.55984915,-0.00086110,0.00077583,0.00039762,0.00012233,0.00019889,-0.00134967,-0.08267877,0.07118518,0.03799860,0.01134792,0.01769462,-0.12620125
0.030000,0.55984659,-0.18067729,1.36892429,-0.02105545,1.57087762,0.55982855,-0.00186084,0.00160466,0.00085536,0.00025571,0.00039931,-0.00284296,-0.11644802,0.09318136,0.05313472,0.01513179,0.02191900,-0.17049418
0.040000,0.55982166,-0.18065632,1.36893572,-0.02105208,1.57088274,0.55979100,-0.00317391,0.00261279,0.00145220,0.00042121,0.00062840,-0.00472182,-0.14537156,0.10717804,0.06583572,0.01779036,0.02348199,-0.20346830
0.050000,0.55978223,-0.18062469,1.36895372,-0.02104695,1.57089020,0.55973319,-0.00475262,0.00372422,0.00216431,0.00060810,0.00086113,-0.00687764,-0.16960016,0.11397381,0.07620686,0.01942469,0.02269903,-0.22603833
0.060000,0.55972587,-0.18058172,1.36897931,-0.02103988,1.57089990,0.55965286,-0.00655077,0.00487093,0.00296892,0.00080663,0.00107562,-0.00921096,-0.18928462,0.11436725,0.08435338,0.02013585,0.01988554,-0.23911901
0.070000,0.55965063,-0.18052736,1.36901333,-0.02103081,1.57091159,0.55954869,-0.00852367,0.00599288,0.00384431,0.00100808,0.00125313,-0.01163144,-0.20457570,0.10915694,0.09038055,0.02002492,0.01535695,-0.24362509
0.080000,0.55955496,-0.18046212,1.36905637,-0.02101974,1.57092479,0.55942021,-0.01062814,0.00703805,0.00476982,0.00120473,0.00137809,-0.01405793,-0.21562420,0.09914146,0.09439360,0.01919294,0.00942869,-0.24047128
0.090000,0.55943777,-0.18038700,1.36910883,-0.02100675,1.57093893,0.55926775,-0.01282251,0.00796236,0.00572582,0.00138987,0.00143809,-0.01641838,-0.22258089,0.08511941,0.09649780,0.01774100,0.00241620,-0.23057232
0.100000,0.55929834,-0.18030340,1.36917092,-0.02099200,1.57095330,0.55909228,-0.01506662,0.00872974,0.00669376,0.00155782,0.00142385,-0.01864994,-0.22559656,0.06788935,0.09679840,0.01577016,-0.00536510,-0.21484295
0.110000,0.55913640,-0.18021302,1.36924268,-0.02097567,1.57096714,0.55889536,-0.01732181,0.00931211,0.00765613,0.00170388,0.00132927,-0.02069886,-0.22482198,0.04824989,0.09540065,0.01338149,-0.01359979,-0.19419790
0.120000,0.55895200,-0.18011784,1.36932397,-0.02095800,1.57097961,0.55867906,-0.01955093,0.00968937,0.00859647,0.00182439,0.00115139,-0.02252056,-0.22040793,0.02699959,0.09240979,0.01067606,-0.02197242,-0.16955190
0.130000,0.55874558,-0.18001996,1.36941449,-0.02093927,1.57098989,0.55844582,-0.02171834,0.00984940,0.00949937,0.00191668,0.00089042,-0.02407961,-0.21250521,0.00493704,0.08793109,0.00775492,-0.03016758,-0.14181970
0.140000,0.55851795,-0.17992159,1.36951379,-0.02091977,1.57099715,0.55819843,-0.02378991,0.00978807,0.01035048,0.00197911,0.00054969,-0.02534971,-0.20126458,-0.01713917,0.08206979,0.00471915,-0.03786983,-0.11191601
0.150000,0.55827021,-0.17982493,1.36962128,-0.02089979,1.57100064,0.55793985,-0.02573301,0.00950923,0.01113651,0.00201102,0.00013571,-0.02631374,-0.18683684,-0.03843047,0.07493115,0.00166983,-0.04476374,-0.08075558
0.160000,0.55800382,-0.17973209,1.36973626,-0.02087965,1.57099966,0.55767320,-0.02751652,0.00902474,0.01184520,0.00201279,-0.00034184,-0.02696369,-0.16937275,-0.05813826,0.06662042,-0.00129200,-0.05053389,-0.04925314
