frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
71,9.259631,1,1,0.561294,-0.638915,0.357764,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.113731,0.138216,0.193216,0.113731,0.030689,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
72,9.414944,1,2,0.561393,-0.645195,0.353551,0.000000,0.050320,0.050320,0.064733,0.000656,-0.041784,-0.028032,0.119502,0.138969,0.193969,0.119502,0.035885,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
73,9.574320,1,3,0.574067,-0.644165,0.350962,0.000000,0.049500,0.049500,0.082983,0.041071,-0.016883,-0.021871,0.120626,0.142344,0.197344,0.120626,0.033330,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
74,9.738846,1,4,0.575142,-0.627258,0.345784,0.010967,0.045813,0.045813,0.028396,0.029227,0.024603,-0.025284,0.123239,0.149889,0.204889,0.123239,0.033101,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
75,9.888373,1,5,0.589051,-0.619819,0.363251,0.022682,0.054247,0.054247,0.045466,0.044111,0.030346,0.008720,0.115268,0.145873,0.200873,0.115268,0.021136,0,0,0,0,"speed_ok,valid_streak_not_ready"
76,10.056620,1,6,0.584991,-0.615748,0.345572,0.026548,0.060027,0.060027,0.065962,0.036726,0.045829,-0.012417,0.125045,0.155175,0.210175,0.125045,0.027684,0,0,0,0,"speed_ok,valid_streak_not_ready"
77,10.233724,1,7,0.583831,-0.629754,0.355321,0.000000,0.027309,0.027309,0.058922,0.014858,0.021931,0.006633,0.112875,0.144920,0.199920,0.112875,0.029094,0,0,0,0,"speed_ok,valid_streak_not_ready"
78,10.394906,1,8,0.578311,-0.635611,0.360115,0.000000,0.025597,0.025597,0.056331,0.004802,-0.012661,0.021722,0.113643,0.141433,0.196433,0.113643,0.027580,0,0,0,0,"speed_ok,valid_streak_not_ready"
79,10.542150,1,9,0.577156,-0.641963,0.352454,0.000000,0.042016,0.042016,0.022963,-0.018270,-0.034009,-0.016583,0.115169,0.140325,0.195325,0.115169,0.034752,0,0,0,0,"speed_ok,valid_streak_not_ready"
80,10.691248,1,10,0.571484,-0.638370,0.347582,0.000000,0.041503,0.041503,0.037267,-0.021216,-0.035531,0.003157,0.122229,0.145840,0.200840,0.122229,0.035802,0,0,0,0,"speed_ok,valid_streak_not_ready"
