frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.122967,1786542719.536888,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,124.2705,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.225209,1786542719.661186,2585,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,163.4451,0.00000000,0.00000734,1.57080364,-0.00000367,1.57079637,0.00000000,0.00000000,0.00007175,0.00003498,-0.00003588,0.00000000,0.00000000
2,0.366794,1786542719.824656,2545,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.9649,0.00000000,-0.00185969,1.56912374,-0.00137551,1.57079637,0.00000000,0.00000000,-0.01318655,-0.01186488,-0.00968913,0.00000000,0.00000000
3,0.498215,1786542719.955636,2508,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,138.3186,0.00000000,-0.00901235,1.56176925,-0.00392846,1.57079637,0.00000000,0.00000000,-0.05442575,-0.05596161,-0.01942580,0.00000000,0.00000000
4,0.637836,1786542720.093980,2627,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.4988,0.00000000,-0.02472618,1.54606652,-0.00648874,1.57079637,0.00000000,0.00000000,-0.11254590,-0.11246635,-0.01833731,0.00000000,0.00000000
5,0.767708,1786542720.224504,2671,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.1745,0.00000000,-0.04634920,1.52388227,-0.00890597,1.57079637,0.00000000,0.00000000,-0.16649571,-0.17081713,-0.01861249,0.00000000,0.00000000
6,0.901294,1786542720.352694,2687,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.6209,0.00000000,-0.07296808,1.49346328,-0.01144791,1.57079637,0.00000000,0.00000000,-0.19926344,-0.22771031,-0.01902846,0.00000000,0.00000000
7,1.027233,1786542720.486329,2591,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.5964,0.00000000,-0.09830682,1.46064544,-0.01371476,1.57079637,0.00000000,0.00000000,-0.20119864,-0.26058538,-0.01799953,0.00000000,0.00000000
8,1.160547,1786542720.616954,2589,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2800,0.00000000,-0.12472028,1.42551672,-0.01613932,1.57079637,0.00000000,0.00000000,-0.19812942,-0.26350318,-0.01818686,0.00000000,0.00000000
9,1.285446,1786542720.746247,2494,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,117.4484,0.00000000,-0.15004069,1.39421737,-0.01845752,1.57079637,0.00000000,0.00000000,-0.20272778,-0.25059823,-0.01856062,0.00000000,0.00000000
10,1.403425,1786542720.863710,2584,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.5243,0.00000000,-0.17281547,1.36955738,-0.02062165,1.57079637,0.00000000,0.00000000,-0.19304032,-0.20901942,-0.01834334,0.00000000,0.00000000
11,1.536122,1786542720.994260,2608,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.5712,0.00000000,-0.19286859,1.34942341,-0.02318194,1.57079637,0.00000000,0.00000000,-0.15111976,-0.15172907,-0.01929423,0.00000000,0.00000000
12,1.666591,1786542721.125846,2583,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.9725,0.00000000,-0.20465396,1.33755744,-0.02551114,1.57079637,0.00000000,0.00000000,-0.09033076,-0.09094853,-0.01785249,0.00000000,0.00000000
13,1.796614,1786542721.255846,2591,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.7349,0.00000000,-0.20941871,1.33276701,-0.02782933,1.57079637,0.00000000,0.00000000,-0.03664537,-0.03684284,-0.01782906,0.00000000,0.00000000
14,1.926351,1786542721.383596,2556,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.7133,0.00000000,-0.21019635,1.33211040,-0.02857027,1.57079637,0.00000000,0.00000000,-0.00599393,-0.00506106,-0.00571112,0.00000000,0.00000000
15,2.056374,1786542721.514337,2545,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.5138,0.00000000,-0.21021469,1.33206272,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00014108,-0.00036673,-0.00011284,0.00000000,0.00000000
16,2.189402,1786542721.647879,2549,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590834,0.869682,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7029,0.00027877,-0.21059616,1.33164454,-0.02895174,1.57079637,0.00017240,0.00209558,-0.00286760,-0.00314361,-0.00275733,0.00000000,0.00129595
17,2.318425,1786542721.777598,2520,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.588636,0.865860,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8315,0.00400549,-0.21423484,1.32788849,-0.03179080,1.57079637,0.00399448,0.02888415,-0.02820186,-0.02911147,-0.02200429,0.00000000,0.02962331
18,2.447406,1786542721.905444,2481,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.582598,0.855692,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,120.1241,0.01414025,-0.22254659,1.31824160,-0.03572659,1.57079637,0.01429064,0.07857528,-0.06444137,-0.07479281,-0.03051437,0.00000000,0.07982656
19,2.565248,1786542722.025585,2618,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.573056,0.840701,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,116.3103,0.02913148,-0.23139755,1.30610049,-0.03910485,1.57079637,0.02926720,0.12721534,-0.07510913,-0.10302926,-0.02866781,0.00000000,0.12709085
20,2.682594,1786542722.141911,2530,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.560233,0.819041,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.2893,0.05079119,-0.24071801,1.29266441,-0.04281322,1.57080007,0.05104795,0.18457884,-0.07942667,-0.11449905,-0.03160191,0.00003149,0.18561035
21,2.814952,1786542722.274216,2471,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.541217,0.788611,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.8970,0.08122115,-0.25077942,1.27802908,-0.04664998,1.57080007,0.08155860,0.22990803,-0.07601717,-0.11057452,-0.02898793,0.00000000,0.23051767
